,Home,Away,Day,Time
0,GB,SF,Fri,01:20
1,DEN,ATL,Sun,18:00
2,SEA,BUF,Sun,18:00
3,CHI,TEN,Sun,18:00
4,BAL,IND,Sun,18:00
5,CAR,KC,Sun,18:00
6,DET,MIN,Sun,18:00
7,NYG,WSH,Sun,18:00
8,HOU,JAX,Sun,18:00
9,LV,LAC,Sun,21:05
10,PIT,DAL,Sun,21:25
11,MIA,ARI,Sun,21:25
12,NO,TB,Mon,01:20
13,NE,NYJ,Tue,01:15
