,Home,Away,Day,Time
0,ATL,CAR,Fri,00:20
1,NE,BUF,Sun,18:00
2,TEN,CIN,Sun,18:00
3,LV,CLE,Sun,18:00
4,IND,DET,Sun,18:00
5,MIN,GB,Sun,18:00
6,NYJ,KC,Sun,18:00
7,LAR,MIA,Sun,18:00
8,PIT,BAL,Sun,18:00
9,LAC,DEN,Sun,21:05
10,NO,CHI,Sun,21:25
11,SF,SEA,Sun,21:25
12,DAL,PHI,Mon,01:20
13,TB,NYG,Tue,01:15
