,Home,Away,Day,Time
0,MIN,NO,N/A,N/A
1,SF,ARI,N/A,N/A
2,MIA,LV,Sun,01:15
3,TB,DET,N/A,N/A
4,ATL,KC,Sun,18:00
5,CLE,NYJ,Sun,18:00
6,IND,PIT,Sun,18:00
7,CHI,JAX,Sun,18:00
8,NYG,BAL,Sun,18:00
9,CIN,HOU,Sun,18:00
10,DEN,LAC,Sun,21:05
11,CAR,WSH,Sun,21:05
12,PHI,DAL,Sun,21:25
13,LAR,SEA,Sun,21:25
14,TEN,GB,Mon,01:20
