,Home,Away,Day,Time
0,HOU,DET,N/A,N/A
1,WSH,DAL,N/A,N/A
2,LV,ATL,Sun,18:00
3,LAC,BUF,Sun,18:00
4,NYG,CIN,Sun,18:00
5,TEN,IND,Sun,18:00
6,CAR,MIN,Sun,18:00
7,ARI,NE,Sun,18:00
8,MIA,NYJ,Sun,18:00
9,CLE,JAX,Sun,18:00
10,NO,DEN,Sun,21:05
11,SF,LAR,Sun,21:05
12,KC,TB,Sun,21:25
13,CHI,GB,Mon,01:20
14,SEA,PHI,Tue,01:15
