,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,ATL,DEF,5,1,4,0,1,0,0,6,28.0,28
1,1,CAR,DEF,2,0,3,0,2,0,0,28,19.0,19
2,2,SF,DEF,2,2,2,0,1,0,0,14,17.0,17
3,3,HOU,DEF,4,1,2,0,1,0,0,25,16.0,16
4,4,WSH,DEF,4,1,1,0,1,0,0,16,15.0,15
5,5,GB,DEF,3,2,1,0,1,0,0,25,15.0,15
6,6,LAR,DEF,2,1,2,0,1,0,0,17,15.0,15
7,7,MIA,DEF,3,2,0,0,0,0,0,3,14.0,14
8,8,NO,DEF,1,2,1,0,0,0,0,3,14.0,14
10,10,TEN,DEF,2,1,0,0,0,0,1,26,10.0,10
11,11,CIN,DEF,0,0,1,0,0,0,1,19,9.0,9
12,12,LAC,DEF,3,1,2,0,0,0,0,27,9.0,9
13,13,NYG,DEF,2,1,2,0,0,0,0,17,9.0,9
14,14,NYJ,DEF,4,0,2,0,0,0,0,20,9.0,9
15,15,SEA,DEF,6,1,0,0,0,0,0,17,9.0,9
16,16,ARI,DEF,3,2,0,0,0,0,0,20,8.0,8
18,18,BUF,DEF,3,1,0,0,0,0,0,17,6.0,6
19,19,KC,DEF,1,2,0,0,0,0,0,24,5.0,5
20,20,NE,DEF,2,1,0,0,0,0,0,17,5.0,5
21,21,DEN,DEF,3,1,0,0,0,0,0,31,4.0,4
22,22,TB,DEF,2,0,1,0,0,0,0,27,4.0,4
23,23,JAX,DEF,2,0,1,0,0,0,0,27,4.0,4
24,24,MIN,DEF,0,1,0,0,0,0,0,15,3.0,3
25,25,PHI,DEF,2,0,0,0,0,0,0,23,2.0,2
26,26,DAL,DEF,3,1,0,0,0,0,0,35,1.0,1
27,27,CLE,DEF,0,0,0,0,0,0,0,25,0.0,0
28,28,DET,DEF,2,0,1,0,0,0,0,35,0.0,0
29,29,LV,DEF,1,1,0,0,0,0,0,37,-1.0,-1
30,30,IND,DEF,1,0,0,0,0,0,0,45,-3.0,-3
31,31,CHI,DEF,0,0,0,0,0,0,0,35,-4.0,-4
