,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,KC,DEF,2,3,1,0,1,0,0,10,20.0,20
1,1,PHI,DEF,5,2,1,0,1,0,0,20,18.0,18
2,2,LAR,DEF,5,1,0,0,0,0,0,9,11.0,11
3,3,NYJ,DEF,0,3,0,0,1,0,0,37,8.0,8
4,4,IND,DEF,1,1,0,0,0,0,0,11,7.0,7
5,5,SF,DEF,3,1,0,0,0,0,0,19,6.0,6
6,6,BUF,DEF,2,0,2,0,0,0,0,23,6.0,6
7,7,DEN,DEF,6,0,0,0,0,0,0,22,6.0,6
8,8,TB,DEF,2,1,1,0,0,0,0,25,6.0,6
9,9,BAL,DEF,3,0,1,0,0,0,0,17,6.0,6
10,10,CIN,DEF,3,1,0,0,0,0,0,25,5.0,5
11,11,CLE,DEF,3,1,2,0,0,0,0,38,5.0,5
12,12,NYG,DEF,2,0,1,0,0,0,0,17,5.0,5
13,13,GB,DEF,4,0,0,0,0,0,0,16,5.0,5
14,14,SEA,DEF,1,2,0,0,0,0,0,23,5.0,5
15,15,MIN,DEF,3,0,1,0,0,0,0,23,5.0,5
16,16,LAC,DEF,0,1,0,0,1,0,0,38,4.0,4
17,17,WSH,DEF,1,2,0,0,0,0,0,31,4.0,4
18,18,NE,DEF,1,0,1,0,0,0,0,20,4.0,4
19,19,NO,DEF,3,1,0,0,0,0,0,29,4.0,4
20,20,MIA,DEF,2,1,0,0,0,0,0,31,3.0,3
21,21,CAR,DEF,1,0,1,0,0,0,0,21,3.0,3
22,22,CHI,DEF,1,0,0,0,0,0,0,19,2.0,2
23,23,JAX,DEF,1,1,0,0,0,0,0,33,2.0,2
24,24,HOU,DEF,3,0,0,0,0,0,0,31,2.0,2
25,25,ARI,DEF,0,1,0,0,0,0,0,31,1.0,1
26,26,ATL,DEF,1,0,0,0,0,0,0,30,0.0,0
27,27,DET,DEF,2,1,0,0,0,0,0,35,0.0,0
28,28,LV,DEF,1,0,0,0,0,0,0,30,0.0,0
29,29,DAL,DEF,2,0,0,0,0,0,0,49,-2.0,-2
