,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,KC,DEF,3,2,2,0,1,0,1,16,24.0,24
1,1,SF,DEF,2,4,0,0,0,0,0,6,17.0,17
2,2,WSH,DEF,6,1,0,1,0,0,0,3,17.0,17
3,3,LAR,DEF,4,2,0,0,0,0,0,4,15.0,15
4,4,BUF,DEF,6,2,0,0,0,0,0,10,14.0,14
5,5,CHI,DEF,1,0,1,0,1,0,0,24,9.0,9
6,6,PHI,DEF,3,1,2,0,0,0,0,21,9.0,9
7,7,CLE,DEF,4,1,1,0,0,0,0,34,7.0,7
8,8,ARI,DEF,2,3,0,0,0,0,0,34,7.0,7
9,9,TB,DEF,3,1,0,0,0,0,0,20,6.0,6
10,10,LAC,DEF,5,0,1,0,0,0,0,29,6.0,6
11,11,GB,DEF,3,0,1,0,0,0,0,20,6.0,6
12,12,TEN,DEF,0,3,0,0,0,0,0,27,6.0,6
13,13,NYG,DEF,3,1,0,0,0,0,0,22,5.0,5
14,14,NYJ,DEF,2,0,1,0,0,0,0,18,5.0,5
15,15,DET,DEF,2,0,1,0,0,0,0,22,4.0,4
16,16,NE,DEF,1,2,0,0,0,0,0,33,4.0,4
17,17,JAX,DEF,1,0,0,0,1,0,0,39,3.0,3
18,18,CAR,DEF,1,0,1,0,0,0,0,27,3.0,3
19,19,DEN,DEF,4,0,1,0,0,0,0,37,2.0,2
20,20,DAL,DEF,2,0,0,0,0,0,0,23,2.0,2
21,21,ATL,DEF,2,0,0,0,0,0,0,23,2.0,2
22,22,PIT,DEF,2,0,0,0,0,0,0,24,2.0,2
23,23,NO,DEF,1,0,0,0,0,0,0,24,1.0,1
24,24,SEA,DEF,0,1,1,0,0,0,0,37,0.0,0
25,25,CIN,DEF,0,1,0,0,0,0,0,37,-2.0,-2
26,26,LV,DEF,0,0,0,0,0,0,0,45,-4.0,-4
27,27,HOU,DEF,0,0,0,0,0,0,0,35,-4.0,-4
