,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,WSH,DEF,8,2,1,0,0,0,0,17,15.0,15
1,1,BAL,DEF,2,1,2,0,0,0,0,6,15.0,15
2,2,NO,DEF,3,2,1,0,1,0,0,23,15.0,15
3,3,LAC,DEF,3,1,1,0,0,0,0,13,11.0,11
4,4,NE,DEF,1,3,0,0,0,0,0,11,11.0,11
5,5,BUF,DEF,3,1,1,0,0,0,0,17,8.0,8
6,6,PIT,DEF,3,2,0,0,0,0,0,16,8.0,8
7,7,KC,DEF,4,1,0,0,0,0,0,20,7.0,7
8,8,NYJ,DEF,3,0,2,0,0,0,0,27,7.0,7
9,9,JAX,DEF,1,2,0,0,0,0,0,20,6.0,6
10,10,SEA,DEF,2,1,1,0,0,0,0,25,6.0,6
11,11,GB,DEF,2,1,0,1,0,0,0,34,5.0,5
12,12,SF,DEF,2,1,0,0,0,0,0,24,4.0,4
13,13,ARI,DEF,3,0,0,0,0,0,0,20,4.0,4
14,14,IND,DEF,4,0,0,0,0,0,0,27,4.0,4
15,15,DAL,DEF,1,1,0,0,0,0,0,20,4.0,4
16,16,MIA,DEF,2,0,1,0,0,0,0,21,4.0,4
17,17,NYG,DEF,2,0,1,0,0,0,0,26,4.0,4
18,18,LAR,DEF,3,0,0,0,0,0,0,17,4.0,4
19,19,CHI,DEF,1,1,0,0,0,0,0,23,3.0,3
20,20,CIN,DEF,2,0,0,0,0,0,0,16,3.0,3
21,21,PHI,DEF,3,0,0,0,0,0,0,27,3.0,3
24,24,DET,DEF,1,0,0,0,0,0,0,27,1.0,1
25,25,CLE,DEF,2,0,1,0,0,0,0,38,0.0,0
26,26,TB,DEF,1,0,0,0,0,0,0,28,0.0,0
27,27,LV,DEF,1,0,0,0,0,0,0,30,0.0,0
28,28,HOU,DEF,1,0,0,0,0,0,0,34,0.0,0
29,29,ATL,DEF,3,0,0,0,0,0,0,38,-1.0,-1
30,30,CAR,DEF,0,0,0,0,0,0,0,34,-1.0,-1
31,31,MIN,DEF,0,0,0,0,0,0,0,41,-4.0,-4
