,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,CLE,DEF,5,2,1,1,1,0,0,17,20.0,20
1,1,CAR,DEF,5,0,1,0,0,0,0,0,17.0,17
2,2,PIT,DEF,2,4,0,0,0,0,0,3,17.0,17
3,3,NO,DEF,8,2,0,0,0,0,0,9,16.0,16
4,4,DEN,DEF,6,1,0,0,0,0,0,13,12.0,12
5,5,WSH,DEF,4,1,1,0,0,0,0,9,12.0,12
6,6,LAC,DEF,1,1,0,0,1,0,0,26,9.0,9
7,7,IND,DEF,1,1,3,0,0,0,0,31,8.0,8
8,8,PHI,DEF,3,0,1,0,0,0,0,14,6.0,6
9,9,NYJ,DEF,3,0,1,1,0,0,0,28,6.0,6
10,10,DET,DEF,1,2,0,0,0,0,0,20,6.0,6
11,11,CIN,DEF,2,1,0,0,0,0,0,20,5.0,5
12,12,DAL,DEF,2,0,2,0,0,0,0,28,5.0,5
13,13,MIA,DEF,0,1,1,0,0,0,0,20,5.0,5
14,14,ATL,DEF,3,0,1,0,0,0,0,24,5.0,5
15,15,LAR,DEF,1,2,0,0,0,0,0,24,5.0,5
16,16,SEA,DEF,3,0,0,1,0,0,0,21,5.0,5
17,17,TB,DEF,0,2,0,0,0,0,0,27,4.0,4
18,18,GB,DEF,1,1,1,0,0,0,0,34,4.0,4
19,19,ARI,DEF,3,0,0,0,0,0,0,26,3.0,3
20,20,BAL,DEF,2,1,0,0,0,0,0,30,3.0,3
21,21,HOU,DEF,2,0,0,0,0,0,0,20,3.0,3
22,22,TEN,DEF,1,1,0,0,0,0,0,24,3.0,3
23,23,JAX,DEF,0,1,0,0,0,0,0,27,2.0,2
24,24,MIN,DEF,1,1,0,0,0,0,0,31,2.0,2
25,25,KC,DEF,0,1,0,0,0,0,0,31,1.0,1
26,26,NE,DEF,0,0,0,0,0,0,0,27,0.0,0
27,27,LV,DEF,0,1,0,0,0,0,0,35,-2.0,-2
