,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,IND,DEF,3,3,0,1,0,0,0,11,15.0,15
1,1,BAL,DEF,4,1,1,0,1,0,0,16,15.0,15
2,2,TB,DEF,5,2,2,0,0,0,0,17,14.0,14
3,3,PIT,DEF,7,1,1,1,0,0,0,21,13.0,13
4,4,CHI,DEF,4,1,1,0,0,0,0,13,12.0,12
5,5,GB,DEF,4,1,0,0,1,0,0,21,12.0,12
6,6,ARI,DEF,4,0,2,0,0,0,0,15,9.0,9
7,7,NYG,DEF,4,2,0,0,0,0,0,17,9.0,9
8,8,LAR,DEF,0,2,1,0,0,0,0,19,7.0,7
9,9,NE,DEF,2,1,0,0,1,0,0,35,6.0,6
10,10,SF,DEF,1,0,0,0,0,0,0,13,5.0,5
11,11,DEN,DEF,1,1,1,0,0,0,0,24,5.0,5
12,12,KC,DEF,2,1,0,0,0,0,0,20,5.0,5
13,13,TEN,DEF,2,2,0,0,0,0,0,30,5.0,5
14,14,CLE,DEF,3,0,1,0,0,0,0,30,4.0,4
15,15,WSH,DEF,3,1,0,0,0,0,0,30,4.0,4
16,16,NYJ,DEF,3,1,0,0,0,0,0,31,4.0,4
18,18,HOU,DEF,4,0,0,0,0,0,0,27,4.0,4
19,19,MIN,DEF,2,1,0,0,0,0,0,26,4.0,4
20,20,ATL,DEF,1,0,3,0,0,0,0,40,3.0,3
21,21,CAR,DEF,0,1,1,0,0,0,0,31,3.0,3
22,22,SEA,DEF,1,1,0,0,0,0,0,24,3.0,3
23,23,BUF,DEF,3,0,0,0,0,0,0,28,2.0,2
24,24,MIA,DEF,1,0,1,0,0,0,0,31,2.0,2
26,26,LAC,DEF,1,0,0,0,0,0,0,23,1.0,1
27,27,JAX,DEF,1,0,0,0,0,0,0,33,0.0,0
28,28,PHI,DEF,1,0,1,0,0,0,0,37,-1.0,-1
29,29,CIN,DEF,0,1,0,0,0,0,0,35,-2.0,-2
30,30,DAL,DEF,1,0,0,0,0,0,0,39,-3.0,-3
31,31,DET,DEF,1,0,0,0,0,0,0,36,-3.0,-3
