,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
211,55,Jamison Crowder,NYJ,WR,0.0,11/22/2020,@Chargers,L 28 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.1
212,63,Jared Cook,NO,TE,0.0,11/22/2020,Falcons,W 24 - 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.1
213,147,Jared Goff,LAR,QB,0.0,11/24/2020,@Buccaneers,W 27 - 24,39.0,51.0,376.0,7.4,3.0,2.0,0.0,0.0,99.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.04
215,252,Jarvis Landry,CLE,WR,0.0,11/22/2020,Eagles,W 22 - 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,23.0,11.5,13.0,0.0,0.0,0.0,0.0,0.0,3.6000000000000005
217,415,Jason Witten,LV,TE,0.0,11/23/2020,Chiefs,L 31 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.6
221,361,Jeff Smith,NYJ,WR,0.0,11/22/2020,@Chargers,L 28 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
222,271,Jeremy McNichols,TEN,RB,0.0,11/22/2020,@Ravens,W 30 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7
224,230,Jerry Jeudy,DEN,WR,0.0,11/22/2020,Dolphins,W 20 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,12.3,22.0,0.0,0.0,0.0,0.0,0.0,5.2
225,234,Jesse James,DET,TE,0.0,11/22/2020,@Panthers,L 0 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8
226,18,Joe Burrow,CIN,QB,0.0,11/22/2020,@Football Team,L 9 - 20,22.0,34.0,203.0,6.0,1.0,0.0,0.0,0.0,90.7,2.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.32
227,126,Joe Flacco,NYJ,QB,0.0,11/22/2020,@Chargers,L 28 - 34,15.0,30.0,205.0,6.8,2.0,1.0,1.0,9.0,80.6,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.399999999999999
233,403,Jonathan Taylor,IND,RB,0.0,11/22/2020,Packers,W 34 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,90.0,4.1,18.0,0.0,4.0,24.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,13.4
236,360,Jonnu Smith,TEN,TE,0.0,11/22/2020,@Ravens,W 30 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,10.0
237,8,Jordan Akins,HOU,TE,0.0,11/22/2020,Patriots,W 27 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,83.0,16.6,25.0,0.0,0.0,0.0,0.0,0.0,10.8
239,397,Jordan Thomas,NE,TE,0.0,11/22/2020,@Texans,L 20 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,426,Jordan Wilkins,IND,RB,0.0,11/22/2020,Packers,W 34 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,5.3,8.0,0.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,4.1
242,235,Josh Jacobs,LV,RB,0.0,11/23/2020,Chiefs,L 31 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,55.0,3.2,13.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,12.9
