,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,MIA,DEF,2,2,2,0,1,0,1,17,23.0,23
1,1,PHI,DEF,4,0,2,1,1,0,0,9,20.0,20
2,2,PIT,DEF,4,2,2,0,1,0,0,24,18.0,18
3,3,IND,DEF,5,1,1,0,1,0,0,21,15.0,15
4,4,DAL,DEF,4,2,2,0,0,0,0,15,13.0,13
5,5,LV,DEF,0,0,1,0,0,0,0,6,9.0,9
6,6,TB,DEF,3,2,0,0,0,0,0,23,7.0,7
7,7,KC,DEF,1,0,1,0,0,0,0,9,7.0,7
8,8,NO,DEF,5,1,0,0,0,0,0,23,7.0,7
9,9,SEA,DEF,3,1,1,0,0,0,0,27,7.0,7
10,10,ATL,DEF,3,1,0,0,0,0,0,17,6.0,6
11,11,DEN,DEF,2,2,0,0,0,0,0,30,5.0,5
12,12,LAR,DEF,1,0,2,0,0,0,0,22,5.0,5
13,13,CIN,DEF,1,1,0,0,0,0,0,20,4.0,4
14,14,BUF,DEF,2,0,1,0,0,0,0,21,4.0,4
15,15,NYG,DEF,2,0,1,0,0,0,0,25,4.0,4
16,16,CAR,DEF,2,1,0,0,0,0,0,25,4.0,4
17,17,BAL,DEF,2,0,1,0,0,0,0,22,4.0,4
18,18,CLE,DEF,2,0,0,0,0,0,0,16,3.0,3
19,19,LAC,DEF,2,1,0,0,0,0,0,31,3.0,3
20,20,NE,DEF,1,1,0,0,0,0,0,24,3.0,3
21,21,MIN,DEF,1,0,1,0,0,0,0,22,3.0,3
22,22,CHI,DEF,1,0,0,0,0,0,0,26,1.0,1
23,23,GB,DEF,1,0,0,0,0,0,0,28,0.0,0
24,24,TEN,DEF,0,0,0,0,0,0,0,31,-1.0,-1
25,25,SF,DEF,2,0,0,0,0,0,0,37,-2.0,-2
26,26,DET,DEF,2,0,0,0,0,0,0,35,-2.0,-2
27,27,NYJ,DEF,0,0,0,0,0,0,0,35,-4.0,-4
