,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
0,27,A.J. Brown,TEN,WR,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,153.0,25.5,73.0,1.0,0.0,0.0,0.0,0.0,24.3
1,86,A.J. Dillon,GB,RB,0.0,10/25/2020,@Texans,W 35 - 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,2.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1
2,129,A.J. Green,CIN,WR,0.0,10/25/2020,Browns,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,82.0,11.7,22.0,0.0,0.0,0.0,0.0,0.0,11.700000000000001
5,317,Aaron Rodgers,GB,QB,0.0,10/25/2020,@Texans,W 35 - 20,23.0,34.0,283.0,8.3,4.0,0.0,0.0,0.0,132.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.32
6,156,Adam Humphries,TEN,WR,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004
7,373,Adam Trautman,NO,TE,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,300,Adrian Peterson,DET,RB,0.0,10/25/2020,@Falcons,W 23 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,2.6,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004
9,291,Albert Okwuegbunam,DEN,TE,0.0,10/25/2020,Chiefs,L 16 - 43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,8.6,17.0,0.0,0.0,0.0,0.0,0.0,9.5
13,319,Allen Robinson,CHI,WR,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,70.0,17.5,42.0,0.0,0.0,0.0,0.0,0.0,9.0
15,237,Alvin Kamara,NO,RB,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,83.0,5.9,32.0,0.0,8.0,65.0,8.1,17.0,0.0,0.0,0.0,0.0,0.0,18.8
16,60,Amari Cooper,DAL,WR,0.0,10/25/2020,@Football Team,L 3 - 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,0.0,7.0,80.0,11.4,32.0,0.0,0.0,0.0,0.0,0.0,12.0
19,94,Andy Dalton,DAL,QB,0.0,10/25/2020,@Football Team,L 3 - 25,9.0,19.0,75.0,3.9,0.0,1.0,3.0,30.0,36.1,3.0,16.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6
20,196,Andy Isabella,ARI,WR,0.0,10/26/2020,Seahawks,W 37 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002
22,118,Anthony Firkser,TEN,TE,0.0,10/25/2020,Steelers,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002
23,272,Anthony McFarland,PIT,RB,0.0,10/25/2020,@Titans,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001
24,261,Anthony Miller,CHI,WR,0.0,10/27/2020,@Rams,L 10 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,6.7,8.0,0.0,0.0,0.0,0.0,0.0,3.5
25,142,Antonio Gibson,WSH,RB,0.0,10/25/2020,Cowboys,W 25 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,128.0,6.4,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8
27,390,Auden Tate,CIN,WR,0.0,10/25/2020,Browns,L 34 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,74,Austin Carr,0,WR,0.0,10/25/2020,Panthers,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.1
31,278,Baker Mayfield,CLE,QB,0.0,10/25/2020,@Bengals,W 37 - 34,22.0,28.0,297.0,10.6,5.0,1.0,0.0,0.0,135.6,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.78
32,85,Ben DiNucci,DAL,QB,0.0,10/25/2020,@Football Team,L 3 - 25,2.0,3.0,39.0,13.0,0.0,0.0,3.0,25.0,109.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.56
33,315,Ben Roethlisberger,PIT,QB,0.0,10/25/2020,@Titans,W 27 - 24,32.0,49.0,268.0,5.5,2.0,3.0,0.0,0.0,67.4,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62
34,343,Benny Snell,PIT,RB,0.0,10/25/2020,@Titans,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
38,361,Boston Scott,PHI,RB,0.0,10/23/2020,Giants,W 22 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8,12.0,0.0,3.0,46.0,15.3,18.0,1.0,0.0,0.0,0.0,0.0,16.700000000000003
39,61,Brandin Cooks,HOU,WR,0.0,10/25/2020,Packers,L 20 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,9.5
40,11,Brandon Aiyuk,SF,WR,0.0,10/25/2020,@Patriots,W 33 - 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.2,35.0,0.0,0.0,0.0,0.0,0.0,14.5
