,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,Indianapolis Colts,DEF,2,3,0,1,2,0,0,7,26.0,26
1,1,Tampa Bay Buccaneers,DEF,6,2,0,1,0,0,0,10,16.0,16
2,2,New England Patriots,DEF,2,0,3,0,1,0,0,20,15.0,15
3,3,Cleveland Browns,DEF,3,3,2,0,0,0,0,20,14.0,14
4,4,San Francisco 49ers,DEF,2,1,2,0,0,0,0,9,12.0,12
5,5,Miami Dolphins,DEF,4,1,1,0,0,0,0,13,12.0,12
6,6,Carolina Panthers,DEF,2,1,3,0,0,0,0,16,11.0,11
7,7,Seattle Seahawks,DEF,2,2,1,1,0,0,0,31,9.0,9
8,8,Philadelphia Eagles,DEF,8,0,0,0,0,0,0,23,8.0,8
9,9,Cincinnati Bengals,DEF,3,2,0,0,0,0,0,23,7.0,7
10,10,Kansas City Chiefs,DEF,4,0,1,0,0,0,0,20,7.0,7
11,11,Detroit Lions,DEF,1,3,0,0,0,0,0,23,7.0,7
12,12,Baltimore Ravens,DEF,0,0,1,0,0,0,1,34,7.0,1
13,13,Pittsburgh Steelers,DEF,5,1,0,0,0,0,0,21,7.0,7
14,14,Tennessee Titans,DEF,2,2,1,0,0,0,0,30,7.0,7
15,15,Buffalo Bills,DEF,2,1,1,0,0,0,0,32,5.0,5
16,16,Atlanta Falcons,DEF,2,2,0,0,0,0,0,30,5.0,5
17,17,Chicago Bears,DEF,2,1,0,0,0,0,0,26,4.0,4
18,18,Arizona Cardinals,DEF,4,0,0,0,0,0,0,26,4.0,4
19,19,Los Angeles Rams,DEF,4,1,1,0,0,0,0,35,4.0,4
20,20,Green Bay Packers,DEF,2,0,1,0,0,0,0,30,3.0,3
21,21,Las Vegas Raiders,DEF,2,1,0,0,0,0,0,30,3.0,3
22,22,Minnesota Vikings,DEF,2,1,0,0,0,0,0,31,3.0,3
23,23,Denver Broncos,DEF,2,0,0,0,0,0,0,26,2.0,2
24,24,Los Angeles Chargers,DEF,2,0,0,0,0,0,0,21,2.0,2
25,25,Dallas Cowboys,DEF,4,0,1,0,0,0,0,36,2.0,2
26,26,Washington Football Team,DEF,2,0,0,0,0,0,0,34,1.0,1
27,27,Houston Texans,DEF,2,0,0,0,0,0,0,28,1.0,1
28,28,Jacksonville Jaguars,DEF,1,0,0,0,0,0,0,31,0.0,0
29,29,New York Jets,DEF,0,0,0,0,0,0,0,22,0.0,0
30,30,New York Giants,DEF,2,0,0,0,0,0,0,36,-2.0,-2
31,31,New Orleans Saints,DEF,1,0,0,0,0,0,0,37,-3.0,-3
