,Unnamed: 0,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total,Paddy
0,0,NO,DEF,3,3,0,0,0,0,0,3,16.0,16
1,1,BAL,DEF,0,1,1,0,1,0,0,10,14.0,14
2,2,TEN,DEF,3,0,2,0,1,0,0,17,14.0,14
3,3,NYG,DEF,2,3,2,0,0,0,0,20,13.0,13
4,4,BUF,DEF,5,2,2,0,0,0,0,34,12.0,12
5,5,MIN,DEF,2,3,0,0,0,0,0,20,9.0,9
6,6,MIA,DEF,1,0,1,0,1,0,0,31,8.0,8
7,7,PIT,DEF,2,1,1,0,0,0,0,19,7.0,7
8,8,GB,DEF,1,1,1,0,0,0,0,17,6.0,6
9,9,IND,DEF,2,0,1,0,0,0,0,18,5.0,5
10,10,WSH,DEF,5,0,0,0,0,0,0,23,5.0,5
11,11,CHI,DEF,3,0,0,0,0,0,0,18,4.0,4
12,12,JAX,DEF,2,0,1,0,0,0,0,27,4.0,4
13,13,LV,DEF,2,0,1,0,0,0,0,26,4.0,4
14,14,HOU,DEF,2,1,0,0,0,0,0,25,4.0,4
15,15,DEN,DEF,2,1,0,0,0,0,0,34,3.0,3
16,16,ATL,DEF,1,1,0,0,0,0,0,27,3.0,3
17,17,CAR,DEF,2,0,1,0,0,0,0,33,3.0,3
18,18,NE,DEF,1,1,0,0,0,0,0,27,3.0,3
19,19,SEA,DEF,7,0,0,0,0,0,0,44,3.0,3
20,20,ARI,DEF,3,0,0,0,0,0,0,28,2.0,2
21,21,LAC,DEF,1,0,1,0,0,0,0,31,2.0,2
22,22,TB,DEF,1,0,2,0,0,0,0,38,1.0,1
23,23,KC,DEF,2,0,0,0,0,0,0,31,1.0,1
24,24,SF,DEF,1,0,0,0,0,0,0,34,0.0,0
25,25,DAL,DEF,0,0,0,0,0,0,0,24,0.0,0
26,26,DET,DEF,1,0,0,0,0,0,0,34,0.0,0
27,27,NYJ,DEF,0,0,0,0,0,0,0,30,-1.0,-1
