,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,Indianapolis Colts,DEF,2,3,-,1,2,-,-,7,26.00
1,Tampa Bay Buccaneers,DEF,6,2,-,1,-,-,-,10,16.00
2,New England Patriots,DEF,2,-,3,-,1,-,-,20,15.00
3,Cleveland Browns,DEF,3,3,2,-,-,-,-,20,14.00
4,San Francisco 49ers,DEF,2,1,2,-,-,-,-,9,12.00
5,Miami Dolphins,DEF,4,1,1,-,-,-,-,13,12.00
6,Carolina Panthers,DEF,2,1,3,-,-,-,-,16,11.00
7,Seattle Seahawks,DEF,2,2,1,1,-,-,-,31,9.00
8,Philadelphia Eagles,DEF,8,-,-,-,-,-,-,23,8.00
9,Cincinnati Bengals,DEF,3,2,-,-,-,-,-,23,7.00
10,Kansas City Chiefs,DEF,4,-,1,-,-,-,-,20,7.00
11,Detroit Lions,DEF,1,3,-,-,-,-,-,23,7.00
12,Baltimore Ravens,DEF,-,-,1,-,-,-,1,34,7.00
13,Pittsburgh Steelers,DEF,5,1,-,-,-,-,-,21,7.00
14,Tennessee Titans,DEF,2,2,1,-,-,-,-,30,7.00
15,Buffalo Bills,DEF,2,1,1,-,-,-,-,32,5.00
16,Atlanta Falcons,DEF,2,2,-,-,-,-,-,30,5.00
17,Chicago Bears,DEF,2,1,-,-,-,-,-,26,4.00
18,Arizona Cardinals,DEF,4,-,-,-,-,-,-,26,4.00
19,Los Angeles Rams,DEF,4,1,1,-,-,-,-,35,4.00
20,Green Bay Packers,DEF,2,-,1,-,-,-,-,30,3.00
21,Las Vegas Raiders,DEF,2,1,-,-,-,-,-,30,3.00
22,Minnesota Vikings,DEF,2,1,-,-,-,-,-,31,3.00
23,Denver Broncos,DEF,2,-,-,-,-,-,-,26,2.00
24,Los Angeles Chargers,DEF,2,-,-,-,-,-,-,21,2.00
25,Dallas Cowboys,DEF,4,-,1,-,-,-,-,36,2.00
26,Washington Football Team,DEF,2,-,-,-,-,-,-,34,1.00
27,Houston Texans,DEF,2,-,-,-,-,-,-,28,1.00
28,Jacksonville Jaguars,DEF,1,-,-,-,-,-,-,31,0.00
29,New York Jets,DEF,-,-,-,-,-,-,-,22,0.00
30,New York Giants,DEF,2,-,-,-,-,-,-,36,-2.00
31,New Orleans Saints,DEF,1,-,-,-,-,-,-,37,-3.00
