,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total
69,Kenyan Drake,RB,ARI,-,-,-,60,1,2,5,-,-,-,-,,14.50
70,Drew Brees,QB,NO,160,2,-,-,-,-,-,-,-,-,-,,14.40
71,Adrian Peterson,RB,DET,-,-,-,93,-,3,21,-,-,-,-,,14.40
72,J.K. Dobbins,RB,BAL,-,-,-,22,2,-,-,-,-,-,-,,14.20
73,Parris Campbell,WR,IND,-,-,-,9,-,6,71,-,-,-,-,,14.00
74,David Njoku,TE,CLE,-,-,-,-,-,3,50,1,-,-,-,,14.00
75,Chris Godwin,WR,TB,-,-,-,-,-,6,79,-,-,-,-,,13.90
76,Todd Gurley,RB,ATL,-,-,-,56,1,2,1,-,-,-,-,,13.70
77,Laviska Shenault Jr.,WR,JAX,-,-,-,10,-,3,37,1,-,-,-,,13.70
78,Logan Thomas,TE,WAS,-,-,-,-,-,4,37,1,-,-,-,,13.70
79,O.J. Howard,TE,TB,-,-,-,-,-,4,36,1,-,-,-,,13.60
80,Jonnu Smith,TE,TEN,-,-,-,-,-,4,36,1,-,-,-,,13.60
81,Derek Carr,QB,LV,239,1,-,-,-,-,-,-,-,-,-,,13.56
82,Chase Edmonds,RB,ARI,-,-,-,26,-,3,19,1,-,-,-,,13.50
83,Jerick McKinnon,RB,SF,-,-,-,24,-,3,20,1,-,-,-,,13.40
84,Drew Lock,QB,DEN,216,1,-,5,-,-,-,-,-,-,-,,13.14
85,Danny Amendola,WR,DET,-,-,-,-,-,5,81,-,-,-,-,,13.10
86,Jared Cook,TE,NO,-,-,-,-,-,5,80,-,-,-,-,,13.00
87,Julian Edelman,WR,NE,-,-,-,23,-,5,57,-,-,-,-,,13.00
88,Carson Wentz,QB,PHI,270,2,2,2,-,-,-,-,-,-,-,,13.00
89,Scott Miller,WR,TB,-,-,-,6,-,5,73,-,-,-,-,,12.90
90,Dwayne Haskins,QB,WAS,178,1,-,17,-,-,-,-,-,-,-,,12.82
91,Saquon Barkley,RB,NYG,-,-,-,6,-,6,60,-,-,-,-,,12.60
92,Greg Olsen,TE,SEA,-,-,-,-,-,4,24,1,-,-,-,,12.40
93,Hunter Henry,TE,LAC,-,-,-,-,-,5,73,-,-,-,-,,12.30
94,Allen Robinson,WR,CHI,-,-,-,-1,-,5,74,-,-,-,-,,12.30
95,Kareem Hunt,RB,CLE,-,-,-,72,-,4,9,-,-,-,-,,12.10
96,Joshua Kelley,RB,LAC,-,-,-,60,1,-,-,-,-,-,-,,12.00
97,Alexander Mattison,RB,MIN,-,-,-,50,-,4,30,-,-,-,-,,12.00
98,Jordan Akins,TE,HOU,-,-,-,-,-,2,39,1,-,-,-,,11.90
99,Zack Moss,RB,BUF,-,-,-,11,-,3,16,1,-,-,-,,11.70
100,D.J. Chark,WR,JAX,-,-,-,-,-,3,25,1,-,-,-,,11.50
101,Jimmy Graham,TE,CHI,-,-,-,-,-,3,25,1,-,-,-,,11.50
102,James Washington,WR,PIT,-,-,-,-,-,2,34,1,-,-,-,,11.40
103,Benny Snell,RB,PIT,-,-,-,113,-,-,-,-,-,-,-,,11.30
104,D'Andre Swift,RB,DET,-,-,-,8,1,3,15,-,-,-,-,,11.30
105,Sam Darnold,QB,NYJ,215,1,1,6,-,-,-,-,-,-,-,,11.20
106,Jarvis Landry,WR,CLE,-,-,-,-,-,5,61,-,-,-,-,,11.10
107,Terry McLaurin,WR,WAS,-,-,-,-,-,5,61,-,-,-,-,,11.10
108,CeeDee Lamb,WR,DAL,-,-,-,-,-,5,59,-,-,-,-,,10.90
109,Mike Williams,WR,LAC,-,-,-,-,-,4,69,-,-,-,-,,10.90
110,Zach Ertz,TE,PHI,-,-,-,-,-,3,18,1,-,-,-,,10.80
111,Adam Humphries,WR,TEN,-,-,-,-,-,6,47,-,-,-,-,,10.70
112,Sterling Shepard,WR,NYG,-,-,-,-,-,6,47,-,-,-,-,,10.70
113,Myles Gaskin,RB,MIA,-,-,-,40,-,4,26,-,-,-,-,,10.60
114,Jared Goff,QB,LA,275,-,1,15,-,-,-,-,-,-,-,,10.50
115,Emmanuel Sanders,WR,NO,-,-,-,-,-,3,15,1,-,-,-,,10.50
116,Darren Waller,TE,LV,-,-,-,-,-,6,45,-,-,-,-,,10.50
117,Devin Singletary,RB,BUF,-,-,-,30,-,5,23,-,-,-,-,,10.30
118,Josh Adams,RB,,-,-,-,8,1,2,14,-,-,-,-,,10.20
119,Ronald Jones,RB,TB,-,-,-,66,-,2,16,-,-,-,-,,10.20
120,A.J. Green,WR,CIN,-,-,-,-,-,5,51,-,-,-,-,,10.10
121,James Robinson,RB,JAX,-,-,-,62,-,1,28,-,-,-,-,,10.00
122,Baker Mayfield,QB,CLE,189,1,1,3,-,-,-,-,-,-,-,,9.86
123,Cole Beasley,WR,BUF,-,-,-,-,-,4,58,-,-,-,-,,9.80
124,Austin Ekeler,RB,LAC,-,-,-,84,-,1,3,-,-,-,-,,9.70
125,Diontae Johnson,WR,PIT,-,-,-,-,-,6,57,-,-,-,-,,9.70
126,Sony Michel,RB,NE,-,-,-,37,1,-,-,-,-,-,-,,9.70
127,Jerry Jeudy,WR,DEN,-,-,-,-,-,4,56,-,-,-,-,,9.60
128,Henry Ruggs III,WR,LV,-,-,-,11,-,3,55,-,-,-,-,,9.60
129,Marvin Jones,WR,DET,-,-,-,-,-,4,55,-,-,-,-,,9.50
130,D.J. Moore,WR,CAR,-,-,-,-,-,4,54,-,-,-,-,,9.40
131,Nelson Agholor,WR,LV,-,-,-,-,-,1,23,1,-,-,-,,9.30
132,T.Y. Hilton,WR,IND,-,-,-,-,-,4,53,-,-,-,-,,9.30
133,George Kittle,TE,SF,-,-,-,9,-,4,44,-,-,-,-,,9.30
134,Curtis Samuel,WR,CAR,-,-,-,5,-,5,38,-,-,-,-,,9.30
135,Tyrod Taylor,QB,LAC,208,-,-,7,-,-,-,-,-,-,-,,9.02
136,A.J. Brown,WR,TEN,-,-,-,-,-,5,39,-,-,-,-,,8.90
137,DeVante Parker,WR,MIA,-,-,-,-,-,4,47,-,-,-,-,,8.70
138,Bisi Johnson,WR,MIN,-,-,-,-,-,3,56,-,-,-,-,,8.60
139,Marlon Mack,RB,IND,-,-,-,26,-,3,30,-,-,-,-,,8.60
140,C.J. Uzomah,TE,CIN,-,-,-,-,-,4,45,-,-,-,-,,8.50
141,David Montgomery,RB,CHI,-,-,-,64,-,1,10,-,-,-,-,,8.40
142,Carlos Hyde,RB,SEA,-,-,-,23,1,-,-,-,-,-,-,,8.30
143,Devontae Booker,RB,LV,-,-,-,29,-,3,23,-,-,-,-,,8.20
144,James White,RB,NE,-,-,-,22,-,3,30,-,-,-,-,,8.20
145,Jamaal Williams,RB,GB,-,-,-,21,-,4,21,-,-,-,-,,8.20
146,Greg Ward,WR,PHI,-,-,-,-,-,5,31,-,-,-,-,,8.10
147,Michael Gallup,WR,DAL,-,-,-,-,-,3,50,-,-,-,-,,8.00
148,Cooper Kupp,WR,LA,-,-,-,-,-,4,40,-,-,-,-,,8.00
149,Steven Sims,WR,WAS,-,-,-,-,-,3,50,-,-,-,-,,8.00
150,Jack Doyle,TE,IND,-,-,-,-,-,3,49,-,-,-,-,,7.90
151,Keenan Allen,WR,LAC,-,-,-,-,-,4,37,-,-,-,-,,7.70
152,Chris Herndon,TE,NYJ,-,-,-,-,-,6,37,-,-,-,-,,7.70
153,Larry Fitzgerald,WR,ARI,-,-,-,-,-,4,34,-,-,-,-,,7.40
154,Boston Scott,RB,PHI,-,-,-,35,-,2,19,-,-,-,-,,7.40
155,Tyler Boyd,WR,CIN,-,-,-,-,-,4,33,-,-,-,-,,7.30
156,Quintez Cephus,WR,DET,-,-,-,-,-,3,43,-,-,-,-,,7.30
157,Mike Evans,WR,TB,-,-,-,-,-,1,2,1,-,-,-,,7.20
158,MyCole Pruitt,TE,TEN,-,-,-,-,-,1,1,1,-,-,-,,7.10
159,Javon Wims,WR,CHI,-,-,-,-,-,1,1,1,-,-,-,,7.10
160,Tyler Higbee,TE,LA,-,-,-,-,-,3,40,-,-,-,-,,7.00
161,David Moore,WR,SEA,-,-,-,12,-,3,28,-,-,-,-,,7.00
162,N'Keal Harry,WR,NE,-,-,-,-,-,5,39,-,-,-,-,,6.90
163,Tim Patrick,WR,DEN,-,-,-,-,-,4,29,-,-,-,-,,6.90
164,Giovani Bernard,RB,CIN,-,-,-,7,-,4,21,-,-,-,-,,6.80
165,Hayden Hurst,TE,ATL,-,-,-,-,-,3,38,-,-,-,-,,6.80
166,Darnell Mooney,WR,CHI,-,-,-,-,-,3,38,-,-,-,-,,6.80
167,Miles Boykin,WR,BAL,-,-,-,-,-,3,37,-,-,-,-,,6.70
168,Chase Claypool,WR,PIT,-,-,-,8,-,2,39,-,-,-,-,,6.70
169,Tarik Cohen,RB,CHI,-,-,-,41,-,2,6,-,-,-,-,,6.70
170,Jordan Howard,RB,MIA,-,-,-,7,1,-,-,-,-,-,-,,6.70
171,Le'Veon Bell,RB,NYJ,-,-,-,14,-,2,32,-,-,-,-,,6.60
172,DeSean Jackson,WR,PHI,-,-,-,-,-,2,46,-,-,-,-,,6.60
