,Team,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,,DEF,7,1,2,-,1,-,-,3,26.00
1,,DEF,1,2,-,1,1,-,-,23,13.00
2,,DEF,5,2,1,-,-,-,-,17,12.00
3,,DEF,8,-,-,-,-,-,-,10,12.00
4,,DEF,1,2,-,-,-,-,1,24,11.00
5,,DEF,2,1,1,-,1,-,-,31,11.00
6,,DEF,2,-,1,-,1,-,-,28,9.00
7,,DEF,4,-,2,-,-,-,-,14,9.00
8,,DEF,5,2,-,-,-,-,-,29,8.00
9,,DEF,1,2,1,-,-,-,-,16,8.00
10,,DEF,3,-,-,-,-,-,-,10,7.00
11,,DEF,3,1,1,-,-,-,-,26,7.00
12,,DEF,3,-,1,-,-,-,-,19,6.00
13,,DEF,3,1,-,-,-,-,-,20,6.00
14,,DEF,4,1,-,-,-,-,-,27,6.00
15,,DEF,2,1,-,-,-,-,-,16,5.00
16,,DEF,1,2,-,-,-,-,-,30,4.00
17,,DEF,3,1,-,-,-,-,-,32,4.00
18,,DEF,1,1,-,-,-,-,-,21,3.00
19,,DEF,2,1,-,-,-,-,-,30,3.00
20,,DEF,3,-,-,-,-,-,-,27,3.00
21,,DEF,1,1,-,-,-,-,-,30,2.00
22,,DEF,1,1,-,-,-,-,-,30,2.00
23,,DEF,-,-,-,-,-,-,-,23,0.00
24,,DEF,1,1,-,-,-,-,-,40,-1.00
25,,DEF,1,-,1,-,-,-,-,38,-1.00
26,,DEF,2,-,-,-,-,-,-,43,-2.00
27,,DEF,-,-,-,-,-,-,-,42,-4.00
28,,DEF,-,-,-,-,-,-,-,-,0.00
29,,DEF,-,-,-,-,-,-,-,-,0.00
30,,DEF,-,-,-,-,-,-,-,-,0.00
31,,DEF,-,-,-,-,-,-,-,-,0.00
