,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH TD,FUM,FUM LOST
3,1,09/13/2020,Browns,W 38 - 6,20,25,275,11,3,0,2,14,152.1,7,45,6.4,0,1,0
1,2,09/20/2020,@Texans,W 33 - 16,18,24,204,8.5,1,0,4,27,113.9,16,54,3.4,0,,
0,3,09/29/2020,Chiefs,L 20 - 34,15,28,97,3.5,1,0,4,27,73.1,9,83,9.2,0,2,1
5,4,10/04/2020,@Football Team,W 31 - 17,14,21,193,9.2,2,1,1,2,107.8,7,53,7.6,1,,
4,5,10/11/2020,Bengals,W 27 - 3,19,37,180,4.9,2,1,1,9,71.9,2,3,1.5,0,,
2,6,10/18/2020,@Eagles,W 30 - 28,16,27,186,6.9,1,0,3,13,92.5,9,108,12,1,,
