,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
350,NE,NYJ,2016-12-24,16,True,8.0,24.0,33.3,136.0,0.0,3.0,2.0,5.67,29.0,111.0,4,0.0,1.0
351,NE,MIA,2017-01-01,17,False,24.0,34.0,70.6,205.0,2.0,1.0,0.0,6.03,23.0,75.0,3,0.0,3.0
352,NO,LV,2016-09-11,1,True,24.0,38.0,63.2,319.0,1.0,0.0,0.0,8.39,26.0,167.0,6,3.0,1.0
353,NO,NYG,2016-09-18,2,False,32.0,41.0,78.0,368.0,0.0,0.0,2.0,8.98,32.0,64.0,2,0.0,3.0
354,NO,ATL,2016-09-26,3,True,20.0,30.0,66.7,240.0,2.0,0.0,2.0,8.0,31.0,217.0,7,3.0,0.0
355,NO,LAC,2016-10-02,4,False,28.0,43.0,65.1,321.0,2.0,1.0,3.0,7.47,21.0,38.0,2,2.0,4.0
356,NO,CAR,2016-10-16,6,True,27.0,47.0,57.4,322.0,2.0,1.0,2.0,6.85,27.0,103.0,4,3.0,1.0
357,NO,KC,2016-10-23,7,False,17.0,24.0,70.8,214.0,2.0,0.0,0.0,8.92,28.0,112.0,4,0.0,0.0
358,NO,SEA,2016-10-30,8,True,23.0,35.0,65.7,296.0,0.0,1.0,1.0,8.46,17.0,74.0,4,1.0,0.0
359,NO,SF,2016-11-06,9,False,24.0,39.0,61.5,398.0,2.0,1.0,1.0,10.21,17.0,93.0,5,0.0,3.0
360,NO,DEN,2016-11-13,10,True,25.0,40.0,62.5,258.0,2.0,2.0,6.0,6.45,37.0,103.0,3,0.0,0.0
361,NO,CAR,2016-11-17,11,False,14.0,33.0,42.4,192.0,1.0,0.0,2.0,5.82,27.0,50.0,2,1.0,1.0
362,NO,LAR,2016-11-27,12,True,20.0,32.0,62.5,214.0,3.0,1.0,3.0,6.69,17.0,69.0,4,0.0,1.0
363,NO,DET,2016-12-04,13,True,30.0,42.0,71.4,341.0,2.0,0.0,2.0,8.12,23.0,85.0,3,0.0,0.0
364,NO,TB,2016-12-11,14,False,16.0,26.0,61.5,184.0,0.0,0.0,2.0,7.08,35.0,104.0,3,1.0,0.0
365,NO,ARI,2016-12-18,15,False,28.0,40.0,70.0,318.0,2.0,0.0,1.0,7.95,15.0,116.0,7,3.0,2.0
366,NO,TB,2016-12-24,16,True,23.0,35.0,65.7,277.0,2.0,2.0,2.0,7.91,21.0,89.0,4,1.0,0.0
367,NO,ATL,2017-01-01,17,False,27.0,36.0,75.0,331.0,4.0,0.0,1.0,9.19,22.0,142.0,6,1.0,0.0
368,NYG,DAL,2016-09-11,1,False,25.0,45.0,55.6,227.0,0.0,0.0,0.0,5.04,29.0,98.0,3,1.0,0.0
369,NYG,NO,2016-09-18,2,True,29.0,44.0,65.9,263.0,1.0,0.0,2.0,5.98,13.0,41.0,3,0.0,0.0
370,NYG,WSH,2016-09-25,3,True,21.0,35.0,60.0,296.0,2.0,0.0,2.0,8.46,30.0,90.0,3,0.0,2.0
371,NYG,MIN,2016-10-03,4,False,26.0,36.0,72.2,262.0,1.0,0.0,0.0,7.28,33.0,104.0,3,2.0,0.0
372,NYG,GB,2016-10-09,5,False,23.0,45.0,51.1,259.0,2.0,2.0,0.0,5.76,31.0,146.0,4,0.0,1.0
373,NYG,BAL,2016-10-16,6,True,26.0,48.0,54.2,307.0,0.0,0.0,2.0,6.4,26.0,98.0,4,2.0,0.0
374,NYG,LAR,2016-10-23,7,False,32.0,53.0,60.4,291.0,1.0,4.0,3.0,5.49,20.0,74.0,3,0.0,4.0
375,NYG,PHI,2016-11-06,9,True,27.0,47.0,57.4,364.0,0.0,2.0,2.0,7.74,25.0,96.0,4,2.0,1.0
376,NYG,CIN,2016-11-14,10,True,16.0,29.0,55.2,204.0,1.0,1.0,3.0,7.03,23.0,78.0,3,1.0,0.0
377,NYG,CHI,2016-11-20,11,True,17.0,30.0,56.7,252.0,1.0,1.0,4.0,8.4,25.0,93.0,3,1.0,2.0
378,NYG,CLE,2016-11-27,12,False,25.0,44.0,56.8,322.0,1.0,0.0,7.0,7.32,21.0,58.0,3,0.0,3.0
379,NYG,PIT,2016-12-04,13,False,24.0,37.0,64.9,289.0,2.0,1.0,2.0,7.81,30.0,117.0,4,0.0,1.0
380,NYG,DAL,2016-12-11,14,True,17.0,37.0,45.9,165.0,1.0,2.0,3.0,4.46,25.0,108.0,4,0.0,2.0
381,NYG,DET,2016-12-18,15,True,24.0,39.0,61.5,273.0,0.0,1.0,1.0,7.0,19.0,56.0,3,0.0,2.0
382,NYG,PHI,2016-12-22,16,False,14.0,25.0,56.0,168.0,1.0,1.0,0.0,6.72,30.0,118.0,4,1.0,0.0
383,NYG,WSH,2017-01-01,17,False,22.0,35.0,62.9,287.0,1.0,2.0,4.0,8.2,15.0,38.0,2,0.0,2.0
384,NYJ,CIN,2016-09-11,1,True,23.0,30.0,76.7,366.0,1.0,1.0,7.0,12.2,19.0,57.0,3,1.0,0.0
385,NYJ,BUF,2016-09-15,2,False,19.0,31.0,61.3,307.0,3.0,1.0,0.0,9.9,19.0,86.0,4,0.0,1.0
386,NYJ,KC,2016-09-25,3,False,25.0,33.0,75.8,237.0,1.0,0.0,2.0,7.18,27.0,72.0,2,0.0,1.0
387,NYJ,SEA,2016-10-02,4,True,23.0,32.0,71.9,309.0,3.0,0.0,2.0,9.66,26.0,66.0,2,0.0,0.0
388,NYJ,PIT,2016-10-09,5,False,34.0,47.0,72.3,380.0,4.0,0.0,1.0,8.09,23.0,64.0,3,0.0,1.0
389,NYJ,ARI,2016-10-17,6,False,24.0,35.0,68.6,225.0,1.0,0.0,0.0,6.43,35.0,171.0,5,3.0,3.0
390,NYJ,BAL,2016-10-23,7,True,25.0,44.0,56.8,248.0,0.0,2.0,2.0,5.64,11.0,11.0,1,0.0,0.0
391,NYJ,CLE,2016-10-30,8,False,27.0,51.0,52.9,345.0,2.0,2.0,1.0,6.76,18.0,68.0,3,1.0,1.0
392,NYJ,MIA,2016-11-06,9,False,17.0,29.0,58.6,149.0,1.0,0.0,1.0,5.14,31.0,137.0,4,1.0,1.0
393,NYJ,LAR,2016-11-13,10,True,17.0,30.0,56.7,165.0,0.0,0.0,3.0,5.5,34.0,125.0,3,0.0,1.0
394,NYJ,NE,2016-11-27,12,True,30.0,50.0,60.0,286.0,2.0,0.0,0.0,5.72,21.0,91.0,4,0.0,1.0
395,NYJ,IND,2016-12-05,13,True,23.0,29.0,79.3,289.0,4.0,0.0,1.0,9.97,40.0,139.0,3,1.0,1.0
396,NYJ,SF,2016-12-11,14,False,15.0,26.0,57.7,133.0,1.0,0.0,2.0,5.12,27.0,248.0,9,1.0,0.0
397,NYJ,MIA,2016-12-17,15,True,12.0,18.0,66.7,236.0,4.0,1.0,1.0,13.11,27.0,67.0,2,0.0,1.0
398,NYJ,NE,2016-12-24,16,False,18.0,29.0,62.1,220.0,3.0,0.0,1.0,7.59,40.0,114.0,3,2.0,1.0
399,NYJ,BUF,2017-01-01,17,True,15.0,31.0,48.4,182.0,0.0,1.0,3.0,5.87,28.0,68.0,2,1.0,2.0
400,PHI,CLE,2016-09-11,1,True,12.0,26.0,46.2,190.0,0.0,1.0,3.0,7.31,21.0,120.0,5,1.0,1.0
401,PHI,CHI,2016-09-19,2,False,21.0,29.0,72.4,235.0,0.0,1.0,3.0,8.1,18.0,64.0,3,1.0,2.0
402,PHI,PIT,2016-09-25,3,True,24.0,44.0,54.5,257.0,0.0,1.0,4.0,5.84,10.0,29.0,2,0.0,2.0
403,PHI,DET,2016-10-09,5,False,19.0,25.0,76.0,180.0,3.0,0.0,4.0,7.2,27.0,80.0,3,0.0,1.0
404,PHI,WSH,2016-10-16,6,False,18.0,34.0,52.9,263.0,2.0,1.0,0.0,7.74,33.0,230.0,7,1.0,0.0
