,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
43,BAL,SF,2019-12-01,13,True,14.0,23.0,60.9,105.0,1.0,0.0,1.0,4.57,38.0,178.0,4,1.0,1.0
44,BAL,BUF,2019-12-08,14,False,16.0,25.0,64.0,145.0,3.0,1.0,1.0,5.8,33.0,118.0,3,0.0,0.0
45,BAL,NYJ,2019-12-12,15,True,15.0,24.0,62.5,212.0,5.0,0.0,1.0,8.83,34.0,218.0,6,1.0,1.0
46,BAL,CLE,2019-12-22,16,False,20.0,31.0,64.5,238.0,3.0,0.0,0.0,7.68,40.0,243.0,6,1.0,3.0
47,BAL,PIT,2019-12-29,17,True,11.0,21.0,52.4,96.0,0.0,1.0,3.0,4.57,43.0,221.0,5,1.0,1.0
48,BUF,NYJ,2019-09-08,1,False,24.0,37.0,64.9,254.0,1.0,2.0,1.0,6.86,25.0,128.0,5,1.0,2.0
49,BUF,NYG,2019-09-15,2,False,19.0,30.0,63.3,253.0,1.0,0.0,3.0,8.43,34.0,151.0,4,3.0,0.0
50,BUF,CIN,2019-09-22,3,True,23.0,36.0,63.9,243.0,1.0,1.0,1.0,6.75,36.0,175.0,5,1.0,3.0
51,BUF,NE,2019-09-29,4,True,22.0,44.0,50.0,280.0,0.0,4.0,5.0,6.36,22.0,135.0,6,1.0,2.0
52,BUF,TEN,2019-10-06,5,False,23.0,32.0,71.9,219.0,2.0,1.0,4.0,6.84,27.0,109.0,4,0.0,0.0
53,BUF,MIA,2019-10-20,7,True,16.0,26.0,61.5,202.0,2.0,0.0,2.0,7.77,23.0,117.0,5,0.0,0.0
54,BUF,PHI,2019-10-27,8,True,16.0,34.0,47.1,169.0,2.0,0.0,4.0,4.97,20.0,98.0,4,0.0,3.0
55,BUF,WSH,2019-11-03,9,True,14.0,20.0,70.0,160.0,1.0,0.0,2.0,8.0,39.0,122.0,3,2.0,2.0
56,BUF,CLE,2019-11-10,10,False,22.0,41.0,53.7,266.0,0.0,0.0,1.0,6.49,20.0,84.0,4,2.0,1.0
57,BUF,MIA,2019-11-17,11,False,21.0,33.0,63.6,256.0,3.0,0.0,0.0,7.76,34.0,168.0,5,1.0,2.0
58,BUF,DEN,2019-11-24,12,True,15.0,25.0,60.0,185.0,2.0,1.0,1.0,7.4,47.0,244.0,5,0.0,1.0
59,BUF,DAL,2019-11-28,13,False,20.0,25.0,80.0,259.0,2.0,0.0,4.0,10.36,34.0,124.0,3,1.0,1.0
60,BUF,BAL,2019-12-08,14,True,17.0,39.0,43.6,146.0,1.0,0.0,6.0,3.74,23.0,104.0,4,0.0,2.0
61,BUF,PIT,2019-12-15,15,False,13.0,25.0,52.0,139.0,1.0,1.0,1.0,5.56,38.0,130.0,3,1.0,2.0
62,BUF,NE,2019-12-21,16,False,13.0,26.0,50.0,208.0,2.0,0.0,4.0,8.0,23.0,92.0,4,0.0,0.0
63,BUF,NYJ,2019-12-29,17,True,21.0,40.0,52.5,237.0,0.0,2.0,1.0,5.92,20.0,73.0,3,0.0,2.0
64,CAR,LAR,2019-09-08,1,True,25.0,38.0,65.8,239.0,0.0,1.0,3.0,6.29,23.0,127.0,5,3.0,2.0
65,CAR,TB,2019-09-12,2,True,25.0,51.0,49.0,333.0,0.0,0.0,3.0,6.53,19.0,39.0,2,0.0,3.0
66,CAR,ARI,2019-09-22,3,False,19.0,26.0,73.1,261.0,4.0,0.0,2.0,10.04,31.0,173.0,5,1.0,2.0
67,CAR,HOU,2019-09-29,4,False,24.0,34.0,70.6,232.0,0.0,0.0,3.0,6.82,28.0,94.0,3,1.0,3.0
68,CAR,JAX,2019-10-06,5,True,17.0,31.0,54.8,181.0,1.0,0.0,3.0,5.84,27.0,285.0,10,3.0,1.0
69,CAR,TB,2019-10-13,6,False,20.0,32.0,62.5,227.0,2.0,0.0,2.0,7.09,29.0,59.0,2,2.0,1.0
70,CAR,SF,2019-10-27,8,False,19.0,37.0,51.4,158.0,0.0,3.0,7.0,4.27,19.0,130.0,6,1.0,1.0
71,CAR,TEN,2019-11-03,9,True,17.0,32.0,53.1,232.0,2.0,1.0,3.0,7.25,32.0,151.0,4,2.0,0.0
72,CAR,GB,2019-11-10,10,False,28.0,43.0,65.1,307.0,1.0,1.0,3.0,7.14,23.0,120.0,5,1.0,2.0
73,CAR,ATL,2019-11-17,11,True,31.0,50.0,62.0,325.0,0.0,4.0,5.0,6.5,15.0,77.0,5,0.0,0.0
74,CAR,NO,2019-11-24,12,False,23.0,36.0,63.9,256.0,3.0,0.0,4.0,7.11,29.0,121.0,4,1.0,1.0
75,CAR,WSH,2019-12-01,13,True,27.0,46.0,58.7,278.0,2.0,1.0,7.0,6.04,20.0,65.0,3,1.0,2.0
76,CAR,ATL,2019-12-08,14,False,28.0,41.0,68.3,293.0,1.0,2.0,5.0,7.15,22.0,100.0,4,1.0,3.0
77,CAR,SEA,2019-12-15,15,True,25.0,42.0,59.5,277.0,1.0,3.0,1.0,6.6,29.0,145.0,5,2.0,2.0
78,CAR,IND,2019-12-22,16,False,27.0,44.0,61.4,224.0,0.0,3.0,5.0,5.09,21.0,87.0,4,0.0,0.0
79,CAR,NO,2019-12-29,17,True,26.0,49.0,53.1,299.0,0.0,2.0,2.0,6.1,18.0,41.0,2,1.0,1.0
80,CHI,GB,2019-09-05,1,True,26.0,45.0,57.8,228.0,0.0,1.0,5.0,5.07,15.0,46.0,3,0.0,0.0
81,CHI,DEN,2019-09-15,2,False,16.0,27.0,59.3,120.0,0.0,0.0,0.0,4.44,29.0,153.0,5,1.0,0.0
82,CHI,WSH,2019-09-23,3,False,25.0,31.0,80.6,231.0,3.0,1.0,3.0,7.45,24.0,90.0,3,0.0,0.0
83,CHI,MIN,2019-09-29,4,True,24.0,33.0,72.7,204.0,1.0,0.0,1.0,6.18,33.0,72.0,2,0.0,0.0
84,CHI,LV,2019-10-06,5,False,22.0,30.0,73.3,231.0,2.0,2.0,4.0,7.7,17.0,42.0,2,1.0,0.0
85,CHI,NO,2019-10-20,7,True,34.0,54.0,63.0,251.0,2.0,0.0,2.0,4.65,7.0,17.0,2,0.0,2.0
86,CHI,LAC,2019-10-27,8,True,23.0,35.0,65.7,253.0,0.0,1.0,4.0,7.23,38.0,162.0,4,1.0,1.0
