,team,opp,game_date,week_num,home_game,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_sacked,pass_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,fumbles
0,ARI,SFO,2020-09-13,1,False,19.0,33.0,57.6,259.0,2.0,0.0,3.0,7.85,25.0,123.0,5,0.0,0.0
1,ARI,WAS,2020-09-20,2,True,19.0,33.0,57.6,223.0,1.0,0.0,4.0,6.76,23.0,117.0,5,1.0,2.0
2,ARI,DET,2020-09-27,3,True,22.0,31.0,71.0,270.0,2.0,0.0,4.0,8.71,26.0,88.0,3,0.0,0.0
3,ARI,CAR,2020-10-04,4,False,26.0,37.0,70.3,276.0,2.0,1.0,0.0,7.46,35.0,168.0,5,2.0,0.0
4,ARI,NYJ,2020-10-11,5,False,18.0,33.0,54.5,195.0,1.0,0.0,2.0,5.91,28.0,123.0,4,0.0,0.0
5,ARI,DAL,2020-10-19,6,False,34.0,54.0,63.0,266.0,1.0,2.0,3.0,4.93,27.0,97.0,3,0.0,3.0
6,ARI,SEA,2020-10-25,7,True,33.0,50.0,66.0,388.0,3.0,3.0,2.0,7.76,30.0,200.0,6,1.0,0.0
7,ARI,MIA,2020-11-08,9,True,20.0,28.0,71.4,248.0,2.0,0.0,3.0,8.86,25.0,91.0,3,1.0,0.0
8,ARI,BUF,2020-11-15,10,True,33.0,50.0,66.0,296.0,3.0,2.0,0.0,5.92,18.0,73.0,4,0.0,0.0
9,ARI,SEA,2020-11-19,11,False,23.0,28.0,82.1,197.0,2.0,0.0,3.0,7.04,31.0,165.0,5,1.0,2.0
10,ARI,NWE,2020-11-29,12,False,9.0,18.0,50.0,84.0,0.0,2.0,3.0,4.67,30.0,110.0,3,2.0,0.0
11,ARI,LAR,2020-12-06,13,True,37.0,47.0,78.7,351.0,1.0,0.0,1.0,7.47,31.0,119.0,4,3.0,1.0
12,ARI,NYG,2020-12-13,14,False,13.0,24.0,54.2,145.0,0.0,0.0,8.0,6.04,17.0,78.0,4,1.0,5.0
13,ARI,PHI,2020-12-20,15,True,24.0,44.0,54.5,338.0,3.0,0.0,6.0,7.68,29.0,117.0,4,1.0,3.0
14,ARI,SFO,2020-12-26,16,True,13.0,22.0,59.1,182.0,3.0,0.0,3.0,8.27,30.0,227.0,7,0.0,1.0
15,ARI,LAR,2021-01-03,17,False,22.0,38.0,57.9,231.0,0.0,1.0,2.0,6.08,30.0,110.0,3,0.0,1.0
16,ATL,SEA,2020-09-13,1,True,31.0,35.0,88.6,322.0,4.0,0.0,3.0,9.2,20.0,84.0,4,1.0,1.0
17,ATL,DAL,2020-09-20,2,False,34.0,48.0,70.8,450.0,1.0,0.0,1.0,9.38,30.0,122.0,4,4.0,4.0
18,ATL,CHI,2020-09-27,3,True,29.0,51.0,56.9,316.0,4.0,2.0,2.0,6.2,25.0,130.0,5,0.0,2.0
19,ATL,GNB,2020-10-05,4,False,27.0,33.0,81.8,327.0,4.0,0.0,1.0,9.91,26.0,88.0,3,0.0,0.0
20,ATL,CAR,2020-10-11,5,True,27.0,36.0,75.0,313.0,2.0,0.0,0.0,8.69,27.0,124.0,4,0.0,0.0
21,ATL,MIN,2020-10-18,6,False,24.0,36.0,66.7,343.0,3.0,3.0,1.0,9.53,13.0,32.0,2,0.0,0.0
22,ATL,DET,2020-10-25,7,True,25.0,36.0,69.4,340.0,1.0,0.0,2.0,9.44,21.0,64.0,3,1.0,0.0
23,ATL,CAR,2020-10-29,8,False,16.0,27.0,59.3,179.0,1.0,1.0,3.0,6.63,21.0,119.0,5,1.0,0.0
24,ATL,DEN,2020-11-08,9,True,25.0,48.0,52.1,313.0,2.0,1.0,1.0,6.52,22.0,103.0,4,1.0,1.0
25,ATL,NOR,2020-11-22,11,False,18.0,23.0,78.3,233.0,0.0,0.0,3.0,10.13,36.0,166.0,4,3.0,1.0
26,ATL,LVR,2020-11-29,12,True,25.0,39.0,64.1,240.0,0.0,1.0,5.0,6.15,14.0,40.0,2,0.0,4.0
27,ATL,NOR,2020-12-06,13,True,27.0,37.0,73.0,232.0,2.0,0.0,2.0,6.27,36.0,207.0,5,1.0,3.0
28,ATL,LAC,2020-12-13,14,False,36.0,44.0,81.8,243.0,2.0,1.0,1.0,5.52,26.0,105.0,4,0.0,2.0
29,ATL,TAM,2020-12-20,15,True,31.0,45.0,68.9,390.0,2.0,0.0,3.0,8.67,18.0,51.0,3,2.0,1.0
30,ATL,KAN,2020-12-27,16,False,24.0,45.0,53.3,278.0,2.0,2.0,0.0,6.18,21.0,117.0,5,0.0,0.0
31,ATL,TAM,2021-01-03,17,False,26.0,41.0,63.4,399.0,4.0,1.0,1.0,9.73,22.0,94.0,4,1.0,0.0
32,BAL,CLE,2020-09-13,1,True,21.0,39.0,53.8,189.0,1.0,1.0,2.0,4.85,26.0,140.0,5,0.0,2.0
33,BAL,HOU,2020-09-20,2,False,25.0,36.0,69.4,275.0,1.0,1.0,4.0,7.64,17.0,51.0,3,0.0,1.0
34,BAL,KAN,2020-09-28,3,True,31.0,42.0,73.8,385.0,4.0,0.0,0.0,9.17,31.0,132.0,4,1.0,1.0
35,BAL,WAS,2020-10-04,4,False,32.0,45.0,71.1,314.0,0.0,0.0,3.0,6.98,22.0,69.0,3,2.0,1.0
36,BAL,CIN,2020-10-11,5,True,19.0,30.0,63.3,183.0,0.0,1.0,7.0,6.1,28.0,70.0,2,0.0,3.0
37,BAL,PHI,2020-10-18,6,False,21.0,40.0,52.5,213.0,2.0,0.0,6.0,5.33,18.0,194.0,10,1.0,4.0
38,BAL,PIT,2020-11-01,8,True,21.0,32.0,65.6,182.0,2.0,0.0,2.0,5.69,16.0,48.0,3,1.0,2.0
39,BAL,IND,2020-11-08,9,False,25.0,44.0,56.8,227.0,0.0,1.0,0.0,5.16,21.0,112.0,5,1.0,1.0
40,BAL,NWE,2020-11-15,10,False,14.0,18.0,77.8,142.0,2.0,0.0,1.0,7.89,39.0,173.0,4,1.0,0.0
41,BAL,TEN,2020-11-22,11,True,23.0,32.0,71.9,266.0,2.0,1.0,2.0,8.31,34.0,173.0,5,1.0,2.0
42,BAL,PIT,2020-12-02,12,False,36.0,51.0,70.6,266.0,1.0,1.0,0.0,5.22,4.0,8.0,1,0.0,3.0
43,BAL,DAL,2020-12-08,13,True,31.0,48.0,64.6,285.0,2.0,1.0,1.0,5.94,28.0,111.0,4,0.0,0.0
44,BAL,CLE,2020-12-14,14,False,29.0,48.0,60.4,355.0,2.0,1.0,0.0,7.4,28.0,138.0,5,4.0,7.0
45,BAL,JAX,2020-12-20,15,True,22.0,29.0,75.9,226.0,2.0,0.0,5.0,7.79,22.0,62.0,3,0.0,2.0
46,BAL,NYG,2020-12-27,16,True,24.0,41.0,58.5,252.0,1.0,0.0,6.0,6.15,12.0,54.0,4,0.0,0.0
47,BAL,CIN,2021-01-03,17,False,6.0,21.0,28.6,48.0,0.0,2.0,0.0,2.29,19.0,147.0,7,0.0,0.0
48,BUF,NYJ,2020-09-13,1,True,21.0,35.0,60.0,215.0,1.0,1.0,3.0,6.14,15.0,52.0,3,1.0,1.0
49,BUF,MIA,2020-09-20,2,False,31.0,47.0,66.0,328.0,2.0,0.0,3.0,6.98,22.0,99.0,4,1.0,1.0
50,BUF,LAR,2020-09-27,3,True,23.0,32.0,71.9,321.0,2.0,1.0,2.0,10.03,32.0,167.0,5,2.0,3.0
51,BUF,LVR,2020-10-04,4,False,32.0,44.0,72.7,311.0,2.0,0.0,2.0,7.07,23.0,86.0,3,0.0,3.0
52,BUF,TEN,2020-10-13,5,False,21.0,28.0,75.0,195.0,3.0,0.0,0.0,6.96,34.0,139.0,4,3.0,0.0
53,BUF,KAN,2020-10-19,6,True,21.0,26.0,80.8,225.0,2.0,0.0,1.0,8.65,46.0,245.0,5,1.0,2.0
54,BUF,NYJ,2020-10-25,7,False,12.0,23.0,52.2,120.0,0.0,2.0,6.0,5.22,22.0,100.0,4,1.0,1.0
55,BUF,NWE,2020-11-01,8,True,15.0,25.0,60.0,174.0,0.0,0.0,2.0,6.96,34.0,188.0,5,2.0,1.0
56,BUF,SEA,2020-11-08,9,True,28.0,41.0,68.3,390.0,2.0,2.0,5.0,9.51,17.0,57.0,3,2.0,2.0
57,BUF,ARI,2020-11-15,10,False,22.0,32.0,68.8,245.0,1.0,1.0,3.0,7.66,35.0,217.0,6,2.0,1.0
58,BUF,LAC,2020-11-29,12,True,31.0,52.0,59.6,316.0,1.0,1.0,3.0,6.08,24.0,76.0,3,1.0,2.0
59,BUF,SFO,2020-12-07,13,False,26.0,39.0,66.7,316.0,3.0,2.0,0.0,8.1,21.0,86.0,4,0.0,0.0
60,BUF,PIT,2020-12-13,14,True,21.0,37.0,56.8,187.0,2.0,2.0,1.0,5.05,14.0,33.0,2,0.0,1.0
61,BUF,DEN,2020-12-19,15,False,20.0,32.0,62.5,132.0,1.0,0.0,3.0,4.12,28.0,140.0,5,2.0,2.0
62,BUF,NWE,2020-12-28,16,False,9.0,21.0,42.9,78.0,0.0,0.0,3.0,3.71,24.0,145.0,6,1.0,0.0
63,BUF,MIA,2021-01-03,17,True,36.0,59.0,61.0,393.0,1.0,3.0,1.0,6.66,20.0,70.0,3,2.0,2.0
64,CAR,LVR,2020-09-13,1,True,22.0,30.0,73.3,239.0,1.0,0.0,0.0,7.97,31.0,133.0,4,3.0,1.0
65,CAR,TAM,2020-09-20,2,False,23.0,35.0,65.7,217.0,1.0,1.0,0.0,6.2,22.0,122.0,5,3.0,1.0
66,CAR,LAC,2020-09-27,3,False,35.0,49.0,71.4,330.0,1.0,1.0,2.0,6.73,23.0,117.0,5,1.0,4.0
67,CAR,ARI,2020-10-04,4,True,24.0,31.0,77.4,133.0,3.0,0.0,1.0,4.29,23.0,129.0,5,0.0,1.0
68,CAR,ATL,2020-10-11,5,False,21.0,37.0,56.8,226.0,0.0,1.0,2.0,6.11,23.0,165.0,7,1.0,1.0
69,CAR,CHI,2020-10-18,6,True,23.0,39.0,59.0,198.0,1.0,1.0,0.0,5.08,25.0,63.0,2,1.0,1.0
70,CAR,NOR,2020-10-25,7,False,30.0,37.0,81.1,287.0,2.0,0.0,1.0,7.76,29.0,138.0,4,1.0,1.0
71,CAR,ATL,2020-10-29,8,True,21.0,30.0,70.0,281.0,0.0,1.0,2.0,9.37,36.0,131.0,3,2.0,0.0
72,CAR,KAN,2020-11-08,9,False,30.0,45.0,66.7,372.0,4.0,0.0,2.0,8.27,11.0,36.0,3,0.0,1.0
73,CAR,TAM,2020-11-15,10,True,28.0,39.0,71.8,341.0,3.0,0.0,1.0,8.74,37.0,210.0,5,2.0,1.0
74,CAR,DET,2020-11-22,11,True,18.0,33.0,54.5,178.0,0.0,0.0,5.0,5.39,17.0,40.0,2,0.0,0.0
75,CAR,MIN,2020-11-29,12,False,34.0,45.0,75.6,307.0,3.0,0.0,2.0,6.82,24.0,96.0,4,0.0,3.0
76,CAR,DEN,2020-12-13,14,True,21.0,27.0,77.8,280.0,4.0,0.0,1.0,10.37,30.0,96.0,3,0.0,2.0
77,CAR,GNB,2020-12-19,15,False,20.0,29.0,69.0,143.0,1.0,0.0,5.0,4.93,27.0,195.0,7,2.0,0.0
78,CAR,WAS,2020-12-27,16,False,26.0,47.0,55.3,291.0,1.0,2.0,3.0,6.19,18.0,108.0,5,0.0,2.0
79,CAR,NOR,2021-01-03,17,True,22.0,32.0,68.8,201.0,3.0,0.0,2.0,6.28,12.0,51.0,4,1.0,1.0
80,CHI,DET,2020-09-13,1,False,24.0,42.0,57.1,297.0,1.0,1.0,1.0,7.07,29.0,138.0,4,1.0,0.0
81,CHI,NYG,2020-09-20,2,True,25.0,40.0,62.5,241.0,0.0,1.0,4.0,6.03,18.0,75.0,4,1.0,1.0
82,CHI,ATL,2020-09-27,3,False,19.0,38.0,50.0,238.0,1.0,1.0,2.0,6.26,25.0,144.0,5,2.0,1.0
83,CHI,IND,2020-10-04,4,True,16.0,29.0,55.2,190.0,1.0,0.0,1.0,6.55,38.0,103.0,3,0.0,0.0
84,CHI,TAM,2020-10-08,5,True,25.0,41.0,61.0,253.0,1.0,0.0,3.0,6.17,20.0,106.0,5,0.0,2.0
85,CHI,CAR,2020-10-18,6,False,16.0,29.0,55.2,216.0,0.0,2.0,4.0,7.45,29.0,112.0,4,1.0,1.0
86,CHI,LAR,2020-10-26,7,False,23.0,33.0,69.7,220.0,2.0,0.0,1.0,6.67,34.0,160.0,4,1.0,2.0
87,CHI,NOR,2020-11-01,8,True,31.0,41.0,75.6,280.0,2.0,0.0,1.0,6.83,30.0,122.0,4,0.0,3.0
88,CHI,TEN,2020-11-08,9,False,10.0,21.0,47.6,158.0,2.0,0.0,3.0,7.52,31.0,92.0,3,0.0,0.0
89,CHI,MIN,2020-11-16,10,True,25.0,36.0,69.4,292.0,2.0,1.0,1.0,8.11,33.0,99.0,3,0.0,2.0
90,CHI,GNB,2020-11-29,12,False,21.0,29.0,72.4,211.0,4.0,0.0,0.0,7.28,39.0,182.0,4,1.0,0.0
91,CHI,DET,2020-12-06,13,True,27.0,42.0,64.3,402.0,3.0,1.0,2.0,9.57,21.0,60.0,3,2.0,0.0
92,CHI,HOU,2020-12-13,14,True,21.0,30.0,70.0,219.0,1.0,0.0,7.0,7.3,27.0,108.0,4,0.0,2.0
93,CHI,MIN,2020-12-20,15,False,24.0,35.0,68.6,271.0,2.0,1.0,3.0,7.74,28.0,158.0,5,1.0,1.0
94,CHI,JAX,2020-12-27,16,False,24.0,37.0,64.9,211.0,2.0,2.0,1.0,5.7,16.0,76.0,4,0.0,0.0
95,CHI,GNB,2021-01-03,17,True,19.0,24.0,79.2,240.0,4.0,0.0,1.0,10.0,19.0,79.0,4,1.0,1.0
96,CIN,LAC,2020-09-13,1,True,16.0,30.0,53.3,208.0,0.0,0.0,2.0,6.93,39.0,155.0,4,1.0,0.0
97,CIN,CLE,2020-09-17,2,False,16.0,23.0,69.6,219.0,2.0,1.0,0.0,9.52,35.0,215.0,6,3.0,0.0
98,CIN,PHI,2020-09-27,3,False,29.0,47.0,61.7,225.0,1.0,2.0,3.0,4.79,36.0,172.0,5,1.0,2.0
99,CIN,JAX,2020-10-04,4,True,27.0,40.0,67.5,351.0,2.0,1.0,3.0,8.78,20.0,89.0,4,0.0,0.0
