,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,Tampa Bay Buccaneers,DEF,5,2,-,-,1,-,-,10,19.00
1,Pittsburgh Steelers,DEF,4,2,-,-,1,-,-,7,18.00
2,Arizona Cardinals,DEF,3,2,2,-,-,-,-,10,15.00
3,Miami Dolphins,DEF,3,1,-,-,-,-,-,0,15.00
4,Denver Broncos,DEF,4,2,1,-,-,-,-,12,14.00
5,New York Giants,DEF,3,1,1,-,1,-,-,19,14.00
6,Chicago Bears,DEF,4,2,1,-,-,-,-,16,11.00
7,Atlanta Falcons,DEF,1,3,-,-,-,-,-,23,7.00
8,New England Patriots,DEF,2,2,-,-,-,-,-,18,7.00
9,Baltimore Ravens,DEF,6,-,1,-,-,-,-,28,7.00
10,New York Jets,DEF,2,2,-,-,-,-,-,24,6.00
11,Detroit Lions,DEF,1,1,1,-,-,-,-,16,6.00
12,Cincinnati Bengals,DEF,1,1,1,-,-,-,-,31,4.00
13,Indianapolis Colts,DEF,2,1,-,-,-,-,-,27,4.00
14,Washington Football Team,DEF,1,1,-,-,-,-,-,14,4.00
15,San Francisco 49ers,DEF,-,1,-,-,-,-,-,16,3.00
16,Buffalo Bills,DEF,1,-,1,-,-,-,-,26,3.00
17,Kansas City Chiefs,DEF,-,1,-,-,-,-,-,17,3.00
18,Philadelphia Eagles,DEF,3,-,-,-,-,-,-,30,2.00
19,Carolina Panthers,DEF,-,1,-,-,-,-,-,23,2.00
20,Houston Texans,DEF,2,1,1,-,-,-,-,42,2.00
21,Cleveland Browns,DEF,2,-,-,-,-,-,-,32,1.00
22,Jacksonville Jaguars,DEF,-,1,-,-,-,-,-,34,1.00
23,Los Angeles Rams,DEF,-,-,-,-,-,-,-,24,0.00
24,Minnesota Vikings,DEF,2,-,1,-,-,-,-,40,0.00
25,Green Bay Packers,DEF,-,-,-,-,-,-,-,32,-1.00
26,Tennessee Titans,DEF,2,-,-,-,-,-,-,36,-2.00
27,Dallas Cowboys,DEF,1,-,-,-,-,-,-,38,-3.00
28,Los Angeles Chargers,DEF,-,-,-,-,-,-,-,-,0.00
29,Las Vegas Raiders,DEF,-,-,-,-,-,-,-,-,0.00
30,New Orleans Saints,DEF,-,-,-,-,-,-,-,-,0.00
31,Seattle Seahawks,DEF,-,-,-,-,-,-,-,-,0.00
