,Name,Team,Position,Salary
287,Paxton Lynch,PIT,QB,6000.0
761,Jacob Eason,IND,QB,6000.0
667,Steven Montez,WAS,QB,6000.0
660,Josh Love,LAR,QB,6000.0
465,Alex McGough,HOU,QB,6000.0
478,Clayton Thorson,NYG,QB,6000.0
1,Easton Stick,LAC,QB,6000.0
648,Kyle Shurmur,KC,QB,6000.0
506,Deebo Samuel,SF,WR,6000.0
512,John Wolford,LAR,QB,6000.0
519,Trace McSorley,BAL,QB,6000.0
628,Joe Burrow,CIN,QB,6000.0
541,DeShone Kizer,TEN,QB,6000.0
612,Nick Tiano,HOU,QB,6000.0
606,Travis Jonsen,TB,QB,6000.0
556,Bryce Perkins,LAR,QB,6000.0
600,Josh Rosen,TB,QB,6000.0
559,Jake Browning,MIN,QB,6000.0
593,Tommy Stevens,CAR,QB,6000.0
590,Josh Thomas,BUF,QB,6000.0
588,Riley Neal,DEN,QB,6000.0
572,Kendall Hinton,DEN,QB,6000.0
579,J'mar Smith,NE,QB,6000.0
432,David Blough,DET,QB,6000.0
418,Manny Wilkins,GB,QB,6000.0
416,Will Grier,CAR,QB,6000.0
336,Tim Boyle,GB,QB,6000.0
295,Blake Bortles,DEN,QB,6000.0
308,Chris Streveler,ARI,QB,6000.0
749,Khalil Tate,PHI,QB,6000.0
311,Danny Etling,SEA,QB,6000.0
312,Kurt Benkert,ATL,QB,6000.0
747,Jordan Love,GB,QB,6000.0
319,George Kittle,SF,TE,6000.0
320,Davis Webb,BUF,QB,6000.0
333,Joshua Dobbs,PIT,QB,6000.0
736,Matt Moore,KC,QB,6000.0
413,Jonnu Smith,TEN,TE,6000.0
735,Josh McCown,HOU,QB,6000.0
730,Matt Schaub,ATL,QB,6000.0
821,T.J. Hockenson,DET,TE,6000.0
384,David Fales,NYJ,QB,6000.0
390,Cooper Rush,DAL,QB,6000.0
393,Logan Woodside,TEN,QB,6000.0
396,Corey Davis,TEN,WR,6000.0
692,Brian Lewerke,NE,QB,6000.0
686,Damien Harris,NE,RB,6000.0
192,Nate Sudfeld,PHI,QB,6000.0
581,James Morgan,NYJ,QB,6000.0
93,Jalen Morton,GB,QB,6000.0
826,Anthony Gordon,SEA,QB,6000.0
30,Colt McCoy,NYG,QB,6000.0
927,Jordan Ta'amu,KC,QB,6000.0
128,Robert Griffin III,BAL,QB,6000.0
175,Geno Smith,SEA,QB,6000.0
923,Chase Daniel,DET,QB,6000.0
107,Blaine Gabbert,TB,QB,6000.0
138,Marvin Jones Jr.,DET,WR,6000.0
921,J.K. Dobbins,BAL,RB,6000.0
146,Alex Tanney,NYG,QB,6000.0
842,Cole McDonald,TEN,QB,6000.0
69,Reid Sinnett,MIA,QB,6000.0
85,Broc Rutter,SF,QB,6000.0
150,Chad Kelly,IND,QB,6000.0
889,Kyle Lauletta,CLE,QB,6000.0
82,Kevin Davidson,CLE,QB,6000.0
858,David Montgomery,CHI,RB,6000.0
96,Case Cookus,NYG,QB,6000.0
16,Jake Dolegala,NE,QB,6000.0
956,Devlin Hodges,PIT,QB,6000.0
863,Chad Henne,KC,QB,6000.0
941,Jake Fromm,BUF,QB,6000.0
656,Darius Slayton,NYG,WR,5900.0
337,Marquez Valdes-Scantling,GB,WR,5900.0
294,Breshad Perriman,NYJ,WR,5900.0
778,Darrell Henderson,LAR,RB,5900.0
433,Curtis Samuel,CAR,WR,5900.0
344,Hunter Henry,LAC,TE,5900.0
650,Jakobi Meyers,NE,WR,5800.0
445,Josh Reynolds,LAR,WR,5800.0
916,Salvon Ahmed,MIA,RB,5800.0
862,Jared Cook,NO,TE,5800.0
884,Robert Tonyan,GB,TE,5800.0
890,Chase Edmonds,ARI,RB,5800.0
263,Jarvis Landry,CLE,WR,5700.0
322,Wayne Gallman,NYG,RB,5700.0
820,Noah Fant,DEN,TE,5700.0
203,Carlos Hyde,SEA,RB,5700.0
467,John Brown,BUF,WR,5700.0
468,Jerick McKinnon,SF,RB,5700.0
914,Marquise Brown,BAL,WR,5700.0
161,Eric Ebron,PIT,TE,5700.0
934,Jerry Jeudy,DEN,WR,5700.0
754,Michael Pittman Jr.,IND,WR,5700.0
649,Nyheim Hines,IND,RB,5700.0
151,Sammy Watkins,KC,WR,5600.0
441,Leonard Fournette,TB,RB,5600.0
776,Zack Moss,BUF,RB,5600.0
565,Myles Gaskin,MIA,RB,5600.0
198,Le'Veon Bell,KC,RB,5600.0
378,J.D. McKissic,WAS,RB,5600.0
527,Allen Lazard,GB,WR,5600.0
518,Mike Gesicki,MIA,TE,5600.0
838,Denzel Mims,NYJ,WR,5600.0
32,Emmanuel Sanders,NO,WR,5600.0
33,Jimmy Graham,CHI,TE,5600.0
367,Evan Engram,NYG,TE,5600.0
532,Tim Patrick,DEN,WR,5500.0
928,Cam Akers,LAR,RB,5500.0
806,Mecole Hardman,KC,WR,5500.0
274,Malcolm Brown,LAR,RB,5500.0
865,Julian Edelman,NE,WR,5500.0
399,Jamaal Williams,GB,RB,5500.0
400,Rashard Higgins,CLE,WR,5500.0
955,Jalen Reagor,PHI,WR,5500.0
774,Michael Gallup,DAL,WR,5500.0
933,Henry Ruggs III,LV,WR,5500.0
419,Kalen Ballage,LAC,RB,5500.0
662,Hayden Hurst,ATL,TE,5500.0
451,Sony Michel,NE,RB,5500.0
792,Devin Singletary,BUF,RB,5500.0
108,Mark Ingram II,BAL,RB,5500.0
216,James White,NE,RB,5400.0
134,T.Y. Hilton,IND,WR,5400.0
248,Damiere Byrd,NE,WR,5400.0
243,Trey Burton,IND,TE,5400.0
186,Sterling Shepard,NYG,WR,5400.0
731,Adrian Peterson,DET,RB,5400.0
343,Alex Collins,SEA,RB,5400.0
140,Cole Beasley,BUF,WR,5400.0
111,Randall Cobb,HOU,WR,5400.0
811,La'Mical Perine,NYJ,RB,5400.0
491,Jeff Wilson Jr.,SF,RB,5400.0
356,Phillip Lindsay,DEN,RB,5300.0
298,Demarcus Robinson,KC,WR,5300.0
876,Keelan Cole Sr.,JAC,WR,5300.0
191,Tevin Coleman,SF,RB,5300.0
389,Willie Snead IV,BAL,WR,5300.0
769,Darnell Mooney,CHI,WR,5300.0
136,Lamar Miller,CHI,RB,5300.0
412,Tyler Higbee,LAR,TE,5300.0
249,Cordarrelle Patterson,CHI,WR,5300.0
721,JaMycal Hasty,SF,RB,5300.0
105,A.J. Green,CIN,WR,5300.0
474,Dalton Schultz,DAL,TE,5300.0
950,DeeJay Dallas,SEA,RB,5300.0
751,N'Keal Harry,NE,WR,5300.0
875,David Moore,SEA,WR,5200.0
738,Frank Gore,NYJ,RB,5200.0
330,Gus Edwards,BAL,RB,5200.0
439,Russell Gage,ATL,WR,5200.0
881,Kendrick Bourne,SF,WR,5200.0
232,Nelson Agholor,LV,WR,5200.0
848,Alexander Mattison,MIN,RB,5200.0
846,Irv Smith Jr.,MIN,TE,5200.0
886,Danny Amendola,DET,WR,5200.0
536,Jordan Akins,HOU,TE,5200.0
221,Richard Rodgers,PHI,TE,5200.0
580,Scotty Miller,TB,WR,5100.0
326,Austin Hooper,CLE,TE,5100.0
816,Travis Homer,SEA,RB,5100.0
548,Hunter Renfrow,LV,WR,5100.0
317,Devontae Booker,LV,RB,5100.0
28,Golden Tate,NYG,WR,5100.0
654,Tony Pollard,DAL,RB,5100.0
744,Larry Fitzgerald,ARI,WR,5100.0
239,Marvin Hall,DET,WR,5100.0
457,Brian Hill,ATL,RB,5100.0
448,Richie James Jr.,SF,WR,5100.0
324,Jack Doyle,IND,TE,5100.0
910,KJ Hamler,DEN,WR,5100.0
381,Boston Scott,PHI,RB,5100.0
370,Anthony Miller,CHI,WR,5100.0
366,Jordan Wilkins,IND,RB,5000.0
922,Laviska Shenault Jr.,JAC,WR,5000.0
496,James Washington,PIT,WR,5000.0
334,Greg Ward,PHI,WR,5000.0
26,Dez Bryant,BAL,WR,5000.0
447,Zach Pascal,IND,WR,5000.0
537,Tre'Quan Smith,NO,WR,5000.0
894,Ross Dwelley,SF,TE,5000.0
49,Miami Dolphins,MIA,DST,5000.0
480,Justin Jackson,LAC,RB,5000.0
296,Latavius Murray,NO,RB,5000.0
157,Devonta Freeman,NYG,RB,5000.0
797,Benny Snell Jr.,PIT,RB,5000.0
244,Jordan Reed,SF,TE,5000.0
172,Logan Thomas,WAS,TE,5000.0
147,Josh Gordon,SEA,WR,5000.0
799,Devin Duvernay,BAL,WR,4900.0
509,Bo Scarbrough,SEA,RB,4900.0
430,Rodney Smith,CAR,RB,4900.0
596,Ray-Ray McCloud,PIT,WR,4900.0
831,Quintez Cephus,DET,WR,4900.0
245,Chris Conley,JAC,WR,4900.0
882,Anthony Firkser,TEN,TE,4900.0
531,Ryan Nall,CHI,RB,4900.0
299,Darren Fells,HOU,TE,4900.0
498,D'Onta Foreman,TEN,RB,4900.0
470,Cameron Brate,TB,TE,4900.0
947,AJ Dillon,GB,RB,4900.0
655,Kerryon Johnson,DET,RB,4900.0
152,Adam Humphries,TEN,WR,4900.0
942,Joshua Kelley,LAC,RB,4900.0
39,Cleveland Browns,CLE,DST,4900.0
115,Dion Lewis,NYG,RB,4900.0
14,Deonte Harris,NO,WR,4800.0
288,C.J. Prosise,HOU,RB,4800.0
425,Samaje Perine,CIN,RB,4800.0
62,Washington Football Team,WAS,DST,4800.0
280,Jakeem Grant,MIA,WR,4800.0
148,Mo Alie-Cox,IND,TE,4800.0
446,Matt Breida,MIA,RB,4800.0
613,Preston Williams,MIA,WR,4800.0
52,New Orleans Saints,NO,DST,4800.0
485,David Njoku,CLE,TE,4800.0
741,Tyler Johnson,TB,WR,4800.0
874,Alex Armah,CAR,RB,4800.0
872,Jamal Agnew,DET,WR,4800.0
954,Gabriel Davis,BUF,WR,4800.0
456,Jacob Hollister,SEA,TE,4800.0
464,Cam Sims,WAS,WR,4800.0
502,Patrick Laird,MIA,RB,4800.0
185,Kenny Stills,HOU,WR,4700.0
275,Marcus Johnson,IND,WR,4700.0
494,Ito Smith,ATL,RB,4700.0
45,Indianapolis Colts,IND,DST,4700.0
791,Harrison Bryant,CLE,TE,4700.0
836,J.J. Taylor,NE,RB,4700.0
57,Pittsburgh Steelers,PIT,DST,4700.0
939,Donovan Peoples-Jones,CLE,WR,4700.0
803,Marquez Callaway,NO,WR,4700.0
450,Isaiah McKenzie,BUF,WR,4700.0
844,Troymaine Pope,LAC,RB,4700.0
522,Jeremy McNichols,TEN,RB,4700.0
428,Braxton Berrios,NYJ,WR,4700.0
632,Andy Isabella,ARI,WR,4700.0
765,Cedrick Wilson,DAL,WR,4700.0
703,Jalen Guyton,LAC,WR,4700.0
534,Gerald Everett,LAR,TE,4700.0
342,Corey Clement,PHI,RB,4700.0
361,DaeSean Hamilton,DEN,WR,4700.0
130,Alshon Jeffery,PHI,WR,4700.0
757,Freddie Swain,SEA,WR,4700.0
345,Peyton Barber,WAS,RB,4700.0
739,Austin Mack,NYG,WR,4700.0
235,Ty Montgomery,NO,RB,4600.0
679,Nick Westbrook-Ikhine,TEN,WR,4600.0
132,Mohamed Sanu,DET,WR,4600.0
521,Christian Blake,ATL,WR,4600.0
156,Chris Thompson,JAC,RB,4600.0
750,Greg Olsen,SEA,TE,4600.0
520,Isaiah Ford,NE,WR,4600.0
786,Kalif Raymond,TEN,WR,4600.0
720,Deontay Burnett,PHI,WR,4600.0
573,Devine Ozigbo,JAC,RB,4600.0
487,Qadree Ollison,ATL,RB,4600.0
110,Kyle Rudolph,MIN,TE,4600.0
828,Joe Reed,LAC,WR,4600.0
515,Noah Brown,DAL,WR,4600.0
587,Olabisi Johnson,MIN,WR,4600.0
437,Darrel Williams,KC,RB,4600.0
734,LeSean McCoy,TB,RB,4600.0
912,John Hightower,PHI,WR,4600.0
160,Mack Hollins,MIA,WR,4600.0
756,Byron Pringle,KC,WR,4600.0
504,Royce Freeman,DEN,RB,4600.0
785,Darrynton Evans,TEN,RB,4600.0
353,Zay Jones,LV,WR,4600.0
683,Olamide Zaccheaus,ATL,WR,4600.0
169,Tyler Kroft,BUF,TE,4600.0
380,Trent Taylor,SF,WR,4600.0
615,Steven Sims,WAS,WR,4600.0
542,D'Ernest Johnson,CLE,RB,4600.0
699,Miles Boykin,BAL,WR,4600.0
490,Buddy Howell,HOU,RB,4600.0
708,JJ Arcega-Whiteside,PHI,WR,4600.0
483,Reggie Bonnafon,CAR,RB,4600.0
770,Collin Johnson,JAC,WR,4600.0
43,Green Bay Packers,GB,DST,4600.0
929,DeMichael Harris,IND,WR,4600.0
892,Trenton Cannon,CAR,RB,4600.0
19,Malik Taylor,GB,WR,4600.0
620,Ke'Shawn Vaughn,TB,RB,4600.0
809,Javon Wims,CHI,WR,4600.0
13,Darrius Shepherd,GB,WR,4600.0
486,Chris Herndon IV,NYJ,TE,4600.0
385,Tyler Ervin,GB,RB,4600.0
549,Mike Boone,MIN,RB,4600.0
687,Van Jefferson,LAR,WR,4600.0
823,Aaron Fuller,SEA,WR,4500.0
959,Jermiah Braswell,ARI,WR,4500.0
638,Kemah Siverand,LV,WR,4500.0
800,Kelvin Harmon,WAS,WR,4500.0
818,Justice Hill,BAL,RB,4500.0
585,George Campbell,NYJ,WR,4500.0
832,Malcolm Perry,MIA,RB,4500.0
819,Tino Ellis,MIA,WR,4500.0
643,Kirk Merritt,MIA,WR,4500.0
583,Chandler Cox,MIA,RB,4500.0
644,Aca'Cedric Ware,TB,RB,4500.0
584,Jauan Jennings,SF,WR,4500.0
640,Isaiah Zuber,NE,WR,4500.0
641,Dalton Schoen,LAC,WR,4500.0
798,Lil'Jordan Humphrey,NO,WR,4500.0
589,James Gilbert,LAR,RB,4500.0
958,Sirgeo Hoffman,ARI,RB,4500.0
586,Jacques Patrick,CIN,RB,4500.0
610,Malik Henry,NO,WR,4500.0
802,Devwah Whaley,CIN,RB,4500.0
808,Brian Herrien,CLE,RB,4500.0
623,Xavier Jones,LAR,RB,4500.0
622,James Proche,BAL,WR,4500.0
948,Terry Wright,MIA,WR,4500.0
647,Jared Pinkney,ATL,WR,4500.0
810,Tyler Simmons,HOU,WR,4500.0
812,Tyrie Cleveland,DEN,WR,4500.0
619,Gary Jennings Jr.,MIA,WR,4500.0
605,Tyrell Williams,LV,WR,4500.0
618,Ty Johnson,NYJ,RB,4500.0
815,Quartney Davis,MIN,WR,4500.0
944,Damion Willis,CIN,WR,4500.0
607,DeAndre Carter,CHI,WR,4500.0
945,Cody White,PIT,WR,4500.0
946,Isaiah Hodgins,BUF,WR,4500.0
814,Kendrick Rogers,DAL,WR,4500.0
625,K.J. Hill,LAC,WR,4500.0
627,Mike Weber,GB,RB,4500.0
636,John Kelly,CLE,RB,4500.0
949,Easop Winston Jr.,LAR,WR,4500.0
953,Darwin Thompson,KC,RB,4500.0
635,Quadree Henderson,PIT,WR,4500.0
952,Antonio Gandy-Golden,WAS,WR,4500.0
804,Kalija Lipscomb,GB,WR,4500.0
633,Penny Hart,SEA,WR,4500.0
611,Omar Bayless,CAR,WR,4500.0
951,Jeff Thomas,NE,WR,4500.0
631,Tae Crowder,NYG,RB,4500.0
807,Elijah Holyfield,PHI,RB,4500.0
938,Stephen Guidry,DAL,WR,4500.0
594,Anthony Jones,SEA,RB,4500.0
595,Deon Cain,PIT,WR,4500.0
630,Terry Godwin,JAC,WR,4500.0
825,Sean Riley,NE,WR,4500.0
629,Jordan Scarlett,CAR,RB,4500.0
817,Maurice Ffrench,KC,WR,4500.0
864,Matthew Slater,NE,WR,4500.0
796,Damarea Crockett,DEN,RB,4500.0
822,Seth Dawkins,SEA,WR,4500.0
712,Francis Bernard,DAL,RB,4500.0
711,LeVante Bellamy,DEN,RB,4500.0
710,Ja'Marcus Bradley,CLE,WR,4500.0
764,Greg Dortch,LAR,WR,4500.0
709,Michael Jacquet,PHI,WR,4500.0
707,Trenton Irwin,CIN,WR,4500.0
706,Cameron Scarlett,TEN,RB,4500.0
705,Bryce Love,WAS,RB,4500.0
885,Dan Arnold,ARI,TE,4500.0
702,Equanimeous St. Brown,GB,WR,4500.0
694,Josh Adams,NYJ,RB,4500.0
701,Dexter Williams,GB,RB,4500.0
766,Stephen Sullivan,SEA,WR,4500.0
700,Chris Finke,SF,WR,4500.0
845,Adrian Killins Jr.,PHI,RB,4500.0
887,Brandon Zylstra,CAR,WR,4500.0
698,Brandon Polk,LAR,WR,4500.0
697,Juwan Johnson,NO,WR,4500.0
771,Trayveon Williams,CIN,RB,4500.0
696,Ryquell Armstead,JAC,RB,4500.0
762,Dezmon Patmon,IND,WR,4500.0
883,Patrick Ricard,BAL,RB,4500.0
850,Anthony Johnson,PIT,WR,4500.0
716,Sutton Smith,SEA,RB,4500.0
743,Jaleel Scott,NYJ,WR,4500.0
740,Antonio Williams,BUF,RB,4500.0
860,Quez Watkins,PHI,WR,4500.0
859,Rashad Medaris,ARI,WR,4500.0
748,Jonathan Ward,ARI,RB,4500.0
856,Binjimen Victor,NYG,WR,4500.0
855,Tony Jones Jr.,NO,RB,4500.0
870,Chad Williams,KC,WR,4500.0
752,Dillon Mitchell,MIN,WR,4500.0
851,Aleva Hifo,KC,WR,4500.0
733,DeSean Jackson,PHI,WR,4500.0
871,Tarik Cohen,CHI,RB,4500.0
755,Bryan Edwards,LV,WR,4500.0
726,Ted Ginn Jr.,CHI,WR,4500.0
758,Josh Hammond,JAC,WR,4500.0
582,David Sills V,NYG,WR,4500.0
880,C.J. Board,NYG,WR,4500.0
719,John Ursua,SEA,WR,4500.0
759,Riley Ridley,CHI,WR,4500.0
891,Justin Watson,TB,WR,4500.0
693,Darrell Stewart Jr.,CAR,WR,4500.0
833,Raymond Calais,LAR,RB,4500.0
837,Gabe Nabers,LAC,RB,4500.0
843,Isaiah Wright,WAS,WR,4500.0
841,Patrick Taylor Jr.,GB,RB,4500.0
839,Trishton Jackson,LAR,WR,4500.0
917,Lynn Bowden Jr.,MIA,WR,4500.0
918,Ahmad Wagner,CHI,WR,4500.0
745,Devin Gray,ATL,WR,4500.0
666,Patrick Carr,SEA,RB,4500.0
665,Emanuel Hall,WAS,WR,4500.0
664,Johnathon Johnson,WAS,WR,4500.0
790,C.J. Ham,MIN,RB,4500.0
772,Darius Anderson,IND,RB,4500.0
924,JoJo Ward,ARI,WR,4500.0
658,K.J. Osborn,MIN,WR,4500.0
925,Javon Leake,WAS,RB,4500.0
835,Rico Dowdle,DAL,RB,4500.0
794,Ryan Becker,ARI,WR,4500.0
653,Alec Ingold,LV,RB,4500.0
926,Scottie Phillips,HOU,RB,4500.0
651,Lawrence Cager,NYJ,WR,4500.0
834,Antoine Wesley,BAL,WR,4500.0
784,Chester Rogers,TEN,WR,4500.0
911,Michael Warren II,CAR,RB,4500.0
669,Hakeem Butler,PHI,WR,4500.0
670,Karan Higdon,HOU,RB,4500.0
897,De'Lance Turner,MIA,RB,4500.0
691,Scotty Washington,CIN,WR,4500.0
689,DaMarkus Lodge,CIN,WR,4500.0
900,Vyncint Smith,NYJ,WR,4500.0
773,Sewo Olonilua,DAL,RB,4500.0
902,KhaDarel Hodge,CLE,WR,4500.0
775,Tavien Feaster,DET,RB,4500.0
905,Eno Benjamin,ARI,RB,4500.0
681,Dan Chisena,MIN,WR,4500.0
908,Nick Easley,BUF,WR,4500.0
680,Saquon Barkley,NYG,RB,4500.0
678,Michael Walker,JAC,WR,4500.0
909,Dominique Dafney,GB,WR,4500.0
676,Jeff Smith,NYJ,WR,4500.0
675,Auden Tate,CIN,WR,4500.0
674,Tony Brown,WAS,WR,4500.0
673,Keke Coutee,HOU,WR,4500.0
779,Jason Huntley,PHI,RB,4500.0
672,Jordan Glasgow,IND,RB,4500.0
920,Noah Igbinoghene,MIA,WR,4500.0
0,Christian Wade,BUF,RB,4500.0
578,Jaylinn Hawkins,ATL,WR,4500.0
265,Cody Core,NYG,WR,4500.0
262,Odell Beckham Jr.,CLE,WR,4500.0
260,Jonathan Williams,DET,RB,4500.0
257,T.J. Yeldon,BUF,RB,4500.0
255,DeAndrew White,BAL,WR,4500.0
237,Paul Perkins,IND,RB,4500.0
230,Marqise Lee,NE,WR,4500.0
226,Pharaoh Brown,HOU,TE,4500.0
223,Kenjon Barner,TB,RB,4500.0
222,De'Anthony Thomas,BAL,WR,4500.0
218,Maurice Harris,NO,WR,4500.0
217,D.J. Foster,ARI,RB,4500.0
215,Alex Erickson,CIN,WR,4500.0
213,Derek Watt,PIT,RB,4500.0
212,Dare Ogunbowale,JAC,RB,4500.0
206,Rod Smith,NYG,RB,4500.0
205,Devin Smith,HOU,WR,4500.0
202,Austin Carr,NO,WR,4500.0
201,Dan Vitale,NE,RB,4500.0
197,Bennie Fowler III,NO,WR,4500.0
196,Devin Funchess,GB,WR,4500.0
195,Jehu Chesson,NYJ,WR,4500.0
194,Amara Darboh,PIT,WR,4500.0
190,Cody Latimer,WAS,WR,4500.0
188,Jake Kumerow,BUF,WR,4500.0
184,Damien Williams,KC,RB,4500.0
182,Rex Burkhead,NE,RB,4500.0
181,Andy Janovich,CLE,RB,4500.0
180,Ameer Abdullah,MIN,RB,4500.0
179,Marcus Murphy,CAR,RB,4500.0
264,Jeremy Hill,LV,RB,4500.0
266,Donte Moncrief,NE,WR,4500.0
174,Tavon Austin,SF,WR,4500.0
269,Corey Coleman,NYG,WR,4500.0
362,Chris Thompson,SF,WR,4500.0
358,John Ross,CIN,WR,4500.0
355,Khalfani Muhammad,ARI,RB,4500.0
354,Trevor Davis,WAS,WR,4500.0
352,Andre Patton,MIA,WR,4500.0
