,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Damien Harris,NE,,,,10.0,,3.8,7.5,16.2,7.1,12.1,11.9
Jonnu Smith,TEN,11.6,22.4,8.6,,18.5,1.8,1.4,3.9,10.2,8.5,10.0
Robby Anderson,CAR,20.4,13.4,8.0,13.9,15.5,9.7,10.4,7.3,10.8,4.1,8.1
Nick Chubb,CLE,5.1,25.8,23.5,4.3,,,,,,18.6,11.4
James Robinson,JAX,9.5,19.5,27.9,12.7,7.5,13.3,,,15.9,12.2,10.4
Joe Burrow,CIN,17.32,24.54,20.38,16.1,5.32,17.72,34.64,18.86,,12.52,11.32
Chris Herndon,NYJ,4.7,1.0,3.6,1.6,3.4,,,-1.2,,,10.2
Drew Lock,DEN,13.14,-1.2,,,,5.46,14.96,20.82,30.22,10.98,12.1
Le'Veon Bell,KC,5.6,,,,7.2,,3.9,5.3,0.8,,10.1
Emmanuel Sanders,NO,9.0,2.3,13.6,12.3,18.2,,,,11.8,1.0,8.6
Trey Burton,IND,,,,2.6,5.8,19.9,,8.6,1.1,3.9,9.5
Alvin Kamara,NO,21.2,33.9,38.2,19.4,15.9,,18.8,20.8,13.4,31.3,10.5
Latavius Murray,NO,4.8,4.3,7.0,20.8,6.7,,6.1,4.6,5.2,5.7,9.5
Demarcus Robinson,KC,3.5,4.3,0.0,,1.2,9.4,0.9,14.3,8.9,,7.4
KhaDarel Hodge,CLE,1.7,4.9,0.0,,,,,,,0.0,8.8
P.J. Walker,CAR,,,,,,,,0.12,,0.48,12.12
DeAndre Hopkins,ARI,22.1,16.8,18.7,7.6,22.1,8.3,19.3,,4.5,22.2,7.6
Denzel Mims,NYJ,,,,,,,6.2,5.2,8.2,,8.6
Leonard Fournette,TB,2.4,25.6,3.2,,,,12.7,8.6,7.1,4.0,9.1
Giovani Bernard,CIN,4.8,5.0,7.0,1.9,0.9,10.3,18.1,21.3,,6.7,7.5
Noah Fant,DEN,16.6,13.7,7.1,6.0,,,5.3,8.2,6.0,3.3,7.5
Rashard Higgins,CLE,1.4,,,,10.6,7.8,14.0,1.9,,6.3,8.0
La'Mical Perine,NYJ,,1.7,3.3,1.5,,4.6,12.6,4.3,4.8,,9.3
N'Keal Harry,NE,4.4,11.2,4.6,9.6,,0.0,1.1,,,,6.6
Kareem Hunt,CLE,10.1,23.1,13.4,19.1,16.8,6.7,17.7,8.3,,14.7,8.6
Christian Kirk,ARI,0.5,7.0,,9.4,10.3,21.6,18.2,,20.8,4.7,7.0
Cam Akers,LAR,4.8,1.3,,,6.1,,,5.9,,3.8,8.4
Zach Pascal,IND,2.8,9.4,4.4,7.3,2.5,13.4,,5.9,8.0,5.3,6.9
Mike Gesicki,MIA,4.5,23.0,8.0,2.0,11.6,0.0,,1.3,5.7,5.0,6.3
Nyheim Hines,IND,23.3,0.9,8.1,4.7,4.0,5.2,,19.7,4.8,26.0,4.8
Phillip Lindsay,DEN,4.0,,,,,10.1,7.9,15.1,2.3,0.2,8.2
D.J. Chark,JAX,10.0,10.4,,25.5,3.1,8.0,,,24.1,7.6,6.1
Ryan Izzo,NE,3.0,2.9,0.0,0.0,,3.3,1.3,3.4,,2.5,6.9
Van Jefferson,LAR,3.6,6.4,0.0,0.0,,1.3,1.9,3.3,,2.0,7.2
Jack Doyle,IND,6.4,,,1.7,0.0,8.4,,8.8,0.0,,7.1
K.J. Hamler,DEN,,7.2,4.3,,,,4.4,8.8,12.0,7.0,5.5
Dan Arnold,ARI,3.1,3.6,1.6,5.9,,,6.7,,2.1,5.4,6.9
Tua Tagovailoa,MIA,,,,,,0.36,,5.72,21.42,14.66,7.32
Anthony Firkser,TEN,1.5,6.5,,,3.4,21.3,1.7,4.6,3.4,1.0,5.3
Jason Witten,LV,0.7,0.8,,8.8,1.6,,1.1,3.1,0.5,,6.6
Baker Mayfield,CLE,10.86,16.26,14.34,15.2,17.58,7.26,30.78,7.78,,5.38,7.06
Jakobi Meyers,NE,,1.2,,,,,8.2,8.8,22.9,8.4,5.3
Gerald Everett,LAR,1.2,,4.4,5.7,11.0,4.2,10.8,5.7,,3.7,4.7
Jerry Jeudy,DEN,7.6,8.2,8.0,13.1,,4.2,3.0,9.3,22.0,8.8,5.2
T.Y. Hilton,IND,7.3,4.3,6.7,4.4,9.9,1.6,,1.9,,6.0,5.1
Tyron Johnson,LAC,,,,11.8,0.7,,1.0,,5.5,,5.9
Austin Hooper,CLE,2.5,3.2,4.0,11.9,8.2,7.7,,,,1.6,4.8
Josh Reynolds,LAR,2.2,4.3,6.0,4.0,5.6,11.5,13.2,6.4,,13.4,4.7
Tyler Higbee,LAR,5.5,25.9,5.0,3.5,2.2,7.1,,2.4,,7.5,4.0
Julio Jones,ATL,20.2,3.4,,5.2,,29.7,13.7,17.2,13.9,,4.9
Kyle Rudolph,MIN,3.8,0.0,8.1,3.7,1.5,6.2,,1.7,5.5,6.3,4.3
Ty Johnson,NYJ,,0.0,,,,4.2,,2.6,,,3.7
Hunter Renfrow,LV,3.1,5.2,17.4,8.2,4.7,,6.2,10.6,7.0,4.0,4.7
Tee Higgins,CIN,,5.0,18.5,11.0,8.2,15.7,16.3,11.4,,19.0,4.1
Cameron Brate,TB,0.0,,,6.8,6.9,0.8,1.3,4.5,,10.6,3.8
Malcolm Perry,MIA,,,,,,,,1.0,0.0,3.7,3.8
Matt Ryan,ATL,24.9,28.52,12.42,12.4,7.94,31.64,15.52,18.94,23.36,,7.28
Tyler Eifert,JAX,1.3,11.1,2.1,3.2,3.1,,,,6.8,2.5,4.2
Darrel Williams,KC,4.0,1.7,1.7,0.2,2.4,10.6,,3.1,0.8,,3.7
Drew Sample,CIN,1.2,8.0,0.6,6.2,3.2,0.0,7.7,0.0,,1.4,3.9
Maxx Williams,ARI,0.0,,,,,,,,6.9,,3.9
Christian Blake,ATL,,,,6.2,,1.0,,2.4,4.6,,3.8
Byron Pringle,KC,,,,,2.8,5.6,,3.7,,,3.2
Keelan Cole,JAX,13.2,14.8,6.3,6.6,9.7,17.3,,,1.1,21.2,3.6
Jarvis Landry,CLE,8.6,6.1,5.6,7.3,10.8,5.5,7.7,7.2,,4.4,3.6
Jordan Wilkins,IND,,4.0,5.0,3.6,0.1,-0.1,,17.8,4.8,2.8,4.1
Cameron Batson,TEN,,4.7,,,,1.8,,,1.1,1.8,3.5
Rob Gronkowski,TB,2.1,0.0,7.8,3.4,6.7,16.3,14.7,12.1,0.7,12.1,3.5
Nick Vannett,DEN,-0.1,0.0,,1.2,,1.2,3.5,,1.6,,3.4
Irv Smith,MIN,1.6,0.8,,0.0,8.4,7.5,,2.1,14.0,,3.3
Todd Gurley,ATL,12.7,6.1,14.7,18.8,23.0,8.2,21.2,10.6,12.5,,3.4
Malcolm Brown,LAR,24.5,4.7,1.9,8.2,2.9,3.7,11.7,6.7,,18.1,3.3
Troymaine Pope,LAC,,,,,,,0.6,12.0,,,2.6
Jakeem Grant,MIA,4.0,0.7,5.3,5.1,-0.1,6.8,,10.0,5.5,12.3,2.5
Deonte Harris,NO,3.1,4.9,1.5,2.5,,,12.6,3.2,4.5,2.4,3.0
Devine Ozigbo,JAX,,,,,,,,,,,2.0
Ryan Fitzpatrick,MIA,6.44,22.32,24.2,21.3,27.6,18.04,,,,,4.28
Rex Burkhead,NE,3.2,6.9,31.3,5.5,,1.4,6.2,3.6,14.2,20.6,2.2
Samaje Perine,CIN,,,,,,0.0,1.1,9.9,,6.0,2.6
De'Michael Harris,IND,,,,,,4.4,,,7.5,2.6,2.5
Devontae Booker,LV,6.7,1.0,3.1,,7.2,,2.4,5.1,12.8,20.8,2.4
Darrell Henderson,LAR,0.6,19.1,18.5,4.2,20.3,9.2,8.6,6.3,,9.8,1.9
Rodney Smith,CAR,,,,,,,,,,2.0,2.9
Adam Trautman,NO,,2.2,2.7,,,,0.0,,11.4,,2.4
Zay Jones,LV,,8.0,4.7,5.2,0.7,,,,,1.1,2.3
Henry Ruggs III,LV,8.1,0.9,,,18.8,,5.5,1.9,1.0,4.6,2.2
Jamison Crowder,NYJ,21.0,,,13.9,21.6,8.3,,,9.6,,2.1
Mecole Hardman,KC,1.1,4.3,16.1,10.7,6.0,0.0,8.0,19.1,6.3,,2.1
Derek Carrier,LV,,,,,,,,,,,1.9
Marcus Johnson,IND,,,,3.2,6.8,13.3,,4.9,2.4,0.0,1.9
Ronald Jones,TB,9.2,9.7,8.3,15.8,14.0,25.1,10.1,4.6,3.3,24.3,2.4
Antonio Callaway,MIA,,,,,,,,,,,1.8
Chris Conley,JAX,1.1,6.8,4.9,5.9,6.8,1.1,,,8.7,6.3,1.8
Joshua Kelley,LAC,12.0,12.3,4.2,2.8,4.3,,7.8,3.0,8.4,2.1,1.2
Alec Ingold,LV,,,,,,,,,,,
Ben Ellefson,JAX,,,,,,,,,,,1.5
Alex Erickson,CIN,,,,2.1,,0.0,,,,-2.0,1.5
Olamide Zaccheaus,ATL,,1.5,6.1,12.6,1.8,0.0,0.0,,18.3,,1.5
Mack Hollins,MIA,,,,,,,,,7.6,0.6,1.4
Bisi Johnson,MIN,7.1,2.9,,0.0,1.8,,,,,0.0,1.4
Geoff Swaim,TEN,,,,,,2.0,0.0,,,,1.4
Brian Hill,ATL,3.0,3.5,14.5,3.3,6.4,2.4,4.5,7.4,2.4,,1.8
Patrick Laird,MIA,1.9,,,,,0.7,,,2.1,1.9,1.3
Nick Westbrook,TEN,,,0.0,,1.2,,,,,0.0,1.2
Mo Alie-Cox,IND,3.0,13.6,12.5,7.8,0.0,,,5.2,5.8,3.4,0.6
Jared Cook,NO,10.5,8.3,3.1,,12.2,,10.7,13.6,2.0,0.0,1.1
Andy Isabella,ARI,,7.7,18.1,1.3,4.0,0.0,1.2,,2.0,1.9,1.1
Nick Keizer,KC,,,0.0,,0.0,0.7,2.6,1.0,,,1.0
Jeff Smith,NYJ,,,,11.6,3.8,1.3,0.0,4.4,,,1.0
Auden Tate,CIN,,,3.9,2.0,1.7,,0.0,10.0,,3.4,1.0
Jalen Guyton,LAC,2.1,7.9,3.3,13.7,5.0,,15.4,0.8,1.4,4.4,0.9
Keith Smith,ATL,,,,,,,,,,,
Eric Saubert,JAX,,,,,,,,,,,0.8
Jeremy McNichols,TEN,0.0,0.7,1.0,,3.6,7.2,0.2,4.9,1.0,3.9,0.7
Bryan Edwards,LV,1.4,5.2,5.8,,,,,,,2.1,0.6
Ryan Finley,CIN,,,,,,,,,,,2.1
Jacoby Brissett,IND,0.0,,0.68,,,,,,0.0,6.2,0.9
