,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11
Albert Okwuegbunam,DEN,,,,,,5.5,9.5,7.4,1.2,,
Josh Oliver,JAX,,,,,,,,,,,
Qadree Ollison,ATL,,,,,,,,0.3,,,
Donald Parham,LAC,,,,8.4,0.0,,8.7,,0.0,1.8,
Dezmon Patmon,IND,,,,,,,,,,,
Elijhaa Penny,NYG,,,,,0.3,,,1.6,0.2,0.0,
Nathan Peterman,LV,,,,,,,,,,,
Dante Pettis,NYG,0.0,,,,,,,-2.0,,,
MyCole Pruitt,TEN,6.6,,2.6,,,,,0.0,,,
Jordan Reed,SF,2.2,20.5,3.3,,,,,,0.8,8.7,
Jalen Richard,LV,2.0,8.6,3.7,2.6,5.0,,2.4,2.3,2.7,,
Andre Roberts,BUF,,,,0.8,0.1,,,,,,
John Ross,CIN,2.7,0.0,,,,,,,,,
Brett Rypien,DEN,,,1.12,14.18,,,,,,,
Deebo Samuel,SF,,,,6.0,3.2,15.0,9.7,,,,
Matt Schaub,ATL,,,,,,,,,,,
Mason Schreck,CIN,,,,,,,,,,,
Ricky Seals-Jones,KC,,,,,,0.0,,,,,
Adam Shaheen,MIA,,0.9,,0.0,6.8,12.6,,0.0,0.0,2.4,
Tajae Sharpe,MIN,0.0,,,,,,,,,,
Laviska Shenault Jr.,JAX,12.2,8.7,5.9,11.6,11.4,2.6,,,0.4,,
Sterling Shepard,NYG,7.7,4.5,,,,,14.9,11.4,8.7,7.7,
Trent Sherfield,ARI,,,,,1.1,,,,,,
Anthony Sherman,KC,0.2,,7.0,,,,,,,,
Trevor Siemian,NO,,,,,,,,,,,
David Sills,NYG,,,,,,,,,,,
Devin Singletary,BUF,7.8,8.6,14.1,16.2,3.8,5.0,5.7,9.7,4.9,1.5,
Darius Slayton,NYG,25.2,4.8,4.8,6.3,16.9,10.8,3.3,8.1,1.3,11.8,
Kaden Smith,NYG,2.7,0.9,1.8,1.5,1.2,3.0,,1.1,1.3,2.2,
Lee Smith,BUF,,,6.6,,,,,,,,
Tre'Quan Smith,NO,0.9,11.1,6.2,19.4,1.8,,7.4,6.8,7.9,0.0,
Vyncint Smith,NYJ,,,,,,,,1.8,,,
Easton Stick,LAC,,,,,,,-0.04,,,,
Jarrett Stidham,NE,,,,4.7,,,1.86,,,,
Chris Streveler,ARI,0.3,,,,,,,,,,
Courtland Sutton,DEN,,8.1,,,,,,,,,
Tommy Sweeney,BUF,,,,,,,,,,,
Golden Tate,NYG,,7.2,6.1,4.0,6.2,1.6,10.4,10.1,,5.4,
J.J. Taylor,NE,3.7,-0.1,4.3,,,,,,,,
Taywan Taylor,CLE,,,,,,,,,,,
Trent Taylor,SF,1.7,2.0,2.5,0.0,,1.3,,4.7,1.4,,
Tyrod Taylor,LAC,9.02,,,,,,,,,,
Ian Thomas,CAR,2.6,,1.4,7.5,0.0,1.4,1.6,4.3,1.3,1.2,
Mike Thomas,CIN,2.7,11.1,1.9,1.0,-0.8,1.5,6.4,,,0.0,
Chris Thompson,SF,,,,,,,,,,,
Darwin Thompson,KC,,2.1,-0.9,,,1.7,,0.3,,,
Noah Togiai,IND,,,0.0,,,,,,,,
Levine Toilolo,NYG,1.8,,,,,,,1.4,0.5,,
Ross Travis,NYJ,,,,,,,,,,,
C.J. Uzomah,CIN,6.5,12.2,,,,,,,,,
Ke'Shawn Vaughn,TB,,,,9.6,-0.5,4.2,,,,,
Austin Walter,SF,,,,,,,,,,3.5,
DeAndre Washington,MIA,,,,,,,1.2,,,0.2,
Dwayne Washington,NO,,,,,,,,,0.9,,
Sammy Watkins,KC,18.0,1.6,9.7,4.3,9.4,,,,,,
Trevon Wesco,NYJ,,,,,1.0,,0.0,,,,
Dede Westbrook,JAX,,,0.9,,,,,,,,
Preston Williams,MIA,5.1,3.1,7.7,2.0,18.6,8.8,,2.5,14.0,,
Trayveon Williams,CIN,,,,,,,,,,2.2,
Tyrell Williams,LV,,,,,,,,,,,
Jeff Wilson,SF,,0.3,20.4,2.4,2.7,,31.0,,,,
Jameis Winston,NO,,,,,,,,,0.18,2.32,
Charlie Woerner,SF,,,,,,,,,,,
John Wolford,LAR,,,,,,,,,,,
Deon Yelder,KC,,,,1.0,,,,1.0,,,
T.J. Yeldon,BUF,,,1.8,0.0,13.9,,,,,,
Brandon Zylstra,CAR,,,,,,,0.9,,3.3,,
