,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
25,A.J. Brown,TEN,WR,,11/08/2020,Bears,W 24 - 17,,,,,,,,,,,,,,,4,101,25.3,40,1,,
281,AJ McCarron,HOU,QB,,11/08/2020,@Jaguars,W 27 - 25,,,,,,,,,,,,,,,,,,,,,
209,Aaron Jones,GB,RB,,11/06/2020,@49ers,W 34 - 17,,,,,,,,,,15,58,3.9,11,0,5,21,4.2,15,0,,
329,Aaron Rodgers,GB,QB,,11/06/2020,@49ers,W 34 - 17,25,31,305,9.8,4,0,1,11,147.2,1,7,7,,0,,,,,,,
160,Adam Humphries,TEN,WR,,11/08/2020,Bears,W 24 - 17,,,,,,,,,,,,,,,,,,,,,
381,Adam Shaheen,MIA,TE,,11/08/2020,@Cardinals,W 34 - 31,,,,,,,,,,,,,,,0,0,,,0,,
402,Adam Thielen,,WR,,11/08/2020,Lions,W 34 - 20,,,,,,,,,,,,,,,2,38,19,30,0,,
391,Adam Trautman,NO,TE,,11/09/2020,@Buccaneers,W 38 - 3,,,,,,,,,,,,,,,3,39,13,29,1,,
309,Adrian Peterson,DET,RB,,11/08/2020,@Vikings,L 20 - 34,,,,,,,,,,8,29,3.6,8,0,3,14,4.7,10,0,,
299,Albert Okwuegbunam,,TE,,11/08/2020,@Falcons,L 27 - 34,,,,,,,,,,,,,,,1,7,7,7,0,,
69,Alex Collins,,RB,,11/08/2020,@Bills,L 34 - 44,,,,,,,,,,2,5,2.5,8,0,,,,,,,
367,Alex Smith,WSH,QB,,11/08/2020,Giants,L 20 - 23,24,32,325,10.2,1,3,2,22,78.3,,,,,,,,,,,,
283,Alexander Mattison,MIN,RB,,11/08/2020,Lions,W 34 - 20,,,,,,,,,,12,69,5.8,18,0,,,,,,,
252,Alfred Morris,NYG,RB,,11/08/2020,@Football Team,W 23 - 20,,,,,,,,,,9,67,7.4,20,0,1,4,4,4,0,,
332,Allen Robinson,CHI,WR,,11/08/2020,@Titans,L 17 - 24,,,,,,,,,,,,,,,7,81,11.6,27,0,,
237,Alvin Kamara,NO,RB,,11/09/2020,@Buccaneers,W 38 - 3,,,,,,,,,,9,40,4.4,17,1,5,9,1.8,9,0,,
62,Amari Cooper,DAL,WR,,11/08/2020,Steelers,L 19 - 24,,,,,,,,,,1,8,8,8,0,5,67,13.4,32,0,,
15,Ameer Abdullah,MIN,RB,,11/08/2020,Lions,W 34 - 20,,,,,,,,,,,,,,,1,22,22,22,1,,
