,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
30,AJ Brown,TEN,WR,,12/13/2020,@Jaguars,W 31 - 10,,,,,,,,,,,,,,,7,112,16,37,1,,
107,AJ Dillon,GB,RB,,12/13/2020,@Lions,W 31 - 24,,,,,,,,,,,,,,,,,,,,,
156,AJ Green,CIN,WR,,12/13/2020,Cowboys,L 7 - 30,,,,,,,,,,,,,,,6,62,10.3,16,1,,
320,AJ McCarron,HOU,QB,,12/13/2020,@Bears,L 7 - 36,0,0,0,,0,0,1,12,-1,,,,,,,,,,,,
233,Aaron Jones,GB,RB,,12/13/2020,@Lions,W 31 - 24,,,,,,,,,,15,69,4.6,11,0,2,6,3,7,0,,
370,Aaron Rodgers,GB,QB,,12/13/2020,@Lions,W 31 - 24,26,33,290,8.8,3,0,0,0,133.6,6,13,2.2,,1,,,,,,,
426,Adam Shaheen,MIA,TE,,12/13/2020,Chiefs,L 27 - 33,,,,,,,,,,,,,,,2,26,13,16,0,,
456,Adam Thielen,MIN,WR,,12/13/2020,@Buccaneers,L 14 - 26,,,,,,,,,,,,,,,3,39,13,15,0,,
445,Adam Trautman,NO,TE,,12/13/2020,@Eagles,L 21 - 24,,,,,,,,,,,,,,,1,12,12,12,0,,
348,Adrian Peterson,DET,RB,,12/13/2020,Packers,L 24 - 31,,,,,,,,,,4,7,1.8,3,0,1,23,23,23,0,,
123,Alex Erickson,CIN,WR,,12/13/2020,Cowboys,L 7 - 30,,,,,,,,,,1,0,0,0,0,1,9,9,9,0,1,1
412,Alex Smith,WSH,QB,,12/13/2020,@49ers,W 23 - 15,8,19,57,3,0,1,1,5,27.7,,,,,,,,,,,,
323,Alexander Mattison,MIN,RB,,12/13/2020,@Buccaneers,L 14 - 26,,,,,,,,,,,,,,,,,,,,,
