,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
25,AJ Brown,TEN,WR,,11/29/2020,@Colts,W 45 - 26,,,,,,,,,,,,,,,4,98,24.5,69,1,,
153,AJ Green,CIN,WR,,11/29/2020,Giants,L 17 - 19,,,,,,,,,,,,,,,0,0,,,0,,
314,AJ McCarron,HOU,QB,,11/26/2020,@Lions,W 41 - 25,,,,,,,,,,,,,,,,,,,,,
235,Aaron Jones,GB,RB,,11/30/2020,Bears,W 41 - 25,,,,,,,,,,17,90,5.3,16,0,1,0,0,0,0,,
365,Aaron Rodgers,GB,QB,,11/30/2020,Bears,W 41 - 25,21,29,211,7.3,4,0,0,0,132.3,2,12,6,,0,,,,,,,
180,Adam Humphries,TEN,WR,,11/29/2020,@Colts,W 45 - 26,,,,,,,,,,,,,,,,,,,,,
421,Adam Shaheen,MIA,TE,,11/29/2020,@Jets,W 20 - 3,,,,,,,,,,,,,,,1,7,7,7,1,,
438,Adam Trautman,NO,TE,,11/29/2020,@Broncos,W 31 - 3,,,,,,,,,,,,,,,1,8,8,8,0,,
342,Adrian Peterson,DET,RB,,11/26/2020,Texans,L 25 - 41,,,,,,,,,,15,55,3.7,19,2,,,,,,,
116,Alex Erickson,CIN,WR,,11/29/2020,Giants,L 17 - 19,,,,,,,,,,1,-4,-4,-4,0,,,,,,,
406,Alex Smith,WSH,QB,,11/26/2020,@Cowboys,W 41 - 16,19,26,149,5.7,1,1,3,21,83.7,3,1,0.3,,0,,,,,,,
317,Alexander Mattison,MIN,RB,,11/29/2020,Panthers,W 28 - 27,,,,,,,,,,2,6,3,4,0,,,,,,,
284,Alfred Morris,NYG,RB,,11/29/2020,@Bengals,W 19 - 17,,,,,,,,,,4,8,2,5,0,,,,,,,
274,Allen Lazard,GB,WR,,11/30/2020,Bears,W 41 - 25,,,,,,,,,,,,,,,4,23,5.8,8,1,,
368,Allen Robinson,CHI,WR,,11/30/2020,@Packers,L 25 - 41,,,,,,,,,,,,,,,8,74,9.3,20,2,,
248,Alshon Jeffery,PHI,WR,,12/01/2020,Seahawks,L 17 - 23,,,,,,,,,,,,,,,2,15,7.5,9,0,,
266,Alvin Kamara,NO,RB,,11/29/2020,@Broncos,W 31 - 3,,,,,,,,,,11,54,4.9,15,0,1,-2,-2,-2,0,,
68,Amari Cooper,DAL,WR,,11/26/2020,Football Team,L 16 - 41,,,,,,,,,,,,,,,6,112,18.7,54,1,,
16,Ameer Abdullah,MIN,RB,,11/29/2020,Panthers,W 28 - 27,,,,,,,,,,,,,,,,,,,,,
369,Andre Roberts,BUF,WR,,11/29/2020,Chargers,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
111,Andy Dalton,DAL,QB,,11/26/2020,Football Team,L 16 - 41,25,35,215,6.1,1,1,3,24,84.8,3,17,5.7,,0,,,,,,,
226,Andy Isabella,ARI,WR,,11/29/2020,@Patriots,L 17 - 20,,,,,,,,,,,,,,,4,33,8.3,19,0,,
141,Anthony Firkser,TEN,TE,,11/29/2020,@Colts,W 45 - 26,,,,,,,,,,,,,,,0,0,,,0,,
308,Anthony McFarland,PIT,RB,,12/02/2020,Ravens,W 19 - 14,,,,,,,,,,3,9,3,3,0,1,17,17,17,0,,
297,Anthony Miller,CHI,WR,,11/30/2020,@Packers,L 25 - 41,,,,,,,,,,,,,,,3,28,9.3,12,0,,
416,Anthony Sherman,KC,RB,,11/29/2020,@Buccaneers,W 27 - 24,,,,,,,,,,,,,,,,,,,,,
29,Antonio Brown,TB,WR,,11/29/2020,Chiefs,L 24 - 27,,,,,,,,,,,,,,,2,11,5.5,9,0,,
92,Antonio Callaway,MIA,WR,,11/29/2020,@Jets,W 20 - 3,,,,,,,,,,,,,,,1,7,7,7,0,,
167,Antonio Gibson,WSH,RB,,11/26/2020,@Cowboys,W 41 - 16,,,,,,,,,,20,115,5.8,37,3,5,21,4.2,7,0,,
0,Antony Auclair,TB,TE,,11/29/2020,Chiefs,L 24 - 27,,,,,,,,,,,,,,,,,,,,,
340,Artavis Pierce,CHI,RB,,11/30/2020,@Packers,L 25 - 41,,,,,,,,,,,,,,,,,,,,,
96,Ashton Dulin,IND,WR,,11/29/2020,Titans,L 26 - 45,,,,,,,,,,,,,,,,,,,,,
456,Auden Tate,,WR,,11/29/2020,Giants,L 17 - 19,,,,,,,,,,,,,,,0,0,,,0,,
88,Austin Carr,,WR,,11/29/2020,@Broncos,W 31 - 3,,,,,,,,,,,,,,,,,,,,,
120,Austin Ekeler,LAC,RB,,11/29/2020,@Bills,L 17 - 27,,,,,,,,,,14,44,3.1,15,0,11,85,7.7,14,0,,
186,Austin Hooper,CLE,TE,,11/29/2020,@Jaguars,W 27 - 25,,,,,,,,,,,,,,,2,13,6.5,9,1,,
322,Austin Mack,NYG,WR,,11/29/2020,@Bengals,W 19 - 17,,,,,,,,,,,,,,,,,,,,,
498,Austin Walter,SF,RB,,11/29/2020,@Rams,W 23 - 20,,,,,,,,,,,,,,,,,,,,,
316,Baker Mayfield,CLE,QB,,11/29/2020,@Jaguars,W 27 - 25,19,29,258,8.9,2,0,2,6,116.7,4,1,0.3,,0,,,,,,,
102,Ben DiNucci,DAL,QB,,11/26/2020,Football Team,L 16 - 41,,,,,,,,,,,,,,,,,,,,,
119,Ben Ellefson,,TE,,11/29/2020,Browns,L 25 - 27,,,,,,,,,,,,,,,0,0,,,0,,
363,Ben Roethlisberger,PIT,QB,,12/02/2020,Ravens,W 19 - 14,36,51,266,5.2,1,1,0,0,81,1,-1,-1,,0,,,,,,,
395,Benny Snell,PIT,RB,,12/02/2020,Ravens,W 19 - 14,,,,,,,,,,16,60,3.8,13,0,3,33,11,13,0,,
242,Bisi Johnson,MIN,WR,,11/29/2020,Panthers,W 28 - 27,,,,,,,,,,,,,,,7,74,10.6,17,0,,
172,Blaine Gabbert,TB,QB,,11/29/2020,Chiefs,L 24 - 27,,,,,,,,,,,,,,,,,,,,,
50,Blake Bell,DAL,TE,,11/26/2020,Football Team,L 16 - 41,,,,,,,,,,,,,,,,,,,,,
423,Boston Scott,PHI,RB,,12/01/2020,Seahawks,L 17 - 23,,,,,,,,,,2,7,3.5,5,0,5,40,8,17,0,,
69,Brandin Cooks,HOU,WR,,11/26/2020,@Lions,W 41 - 25,,,,,,,,,,,,,,,5,85,17,27,0,,
7,Brandon Allen,CIN,QB,,11/29/2020,Giants,L 17 - 19,17,29,136,4.7,1,1,2,21,67.6,4,7,1.8,,0,,,,,,1,1
103,Brandon Dillon,MIN,TE,,11/29/2020,Panthers,W 28 - 27,,,,,,,,,,,,,,,1,6,6,6,0,,
336,Brandon Powell,ATL,WR,,11/29/2020,Raiders,W 43 - 6,,,,,,,,,,,,,,,2,4,2,4,1,,
503,Brandon Zylstra,CAR,WR,,11/29/2020,@Vikings,L 27 - 28,,,,,,,,,,,,,,,,,,,,,
46,Braxton Berrios,NYJ,WR,,11/29/2020,Dolphins,L 3 - 20,,,,,,,,,,,,,,,,,,,,,
346,Breshad Perriman,NYJ,WR,,11/29/2020,Dolphins,L 3 - 20,,,,,,,,,,,,,,,4,79,19.8,37,0,,
179,Brett Hundley,ARI,QB,,11/29/2020,@Patriots,L 17 - 20,,,,,,,,,,,,,,,,,,,,,
358,Brett Rypien,DEN,QB,,11/29/2020,Saints,L 3 - 31,,,,,,,,,,,,,,,,,,,,,
202,Brian Hill,ATL,RB,,11/29/2020,Raiders,W 43 - 6,,,,,,,,,,13,55,4.2,22,0,0,0,,,0,,
182,Brian Hoyer,NE,QB,,11/29/2020,Cardinals,W 20 - 17,,,,,,,,,,,,,,,,,,,,,
124,Bryan Edwards,LV,WR,,11/29/2020,@Falcons,L 6 - 43,,,,,,,,,,,,,,,1,15,15,15,0,,
