,0
LAR,13
SEA,12
ARI,12
SF,12
NO,12
TB,12
ATL,12
CAR,12
NYG,12
WSH,12
PHI,12
DAL,12
GB,12
MIN,12
CHI,12
DET,12
BUF,12
MIA,12
NE,13
NYJ,12
TEN,12
IND,12
HOU,12
JAX,12
PIT,12
CLE,12
BAL,12
CIN,12
KC,12
LV,12
DEN,12
LAC,12
