,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
27,A.J. Brown,TEN,WR,,10/18/2020,Texans,W 42 - 36,,,,,,,,,,,,,,,5,58,11.6,18,2,,
95,A.J. Dillon,,RB,,10/18/2020,@Buccaneers,L 10 - 38,,,,,,,,,,5,31,6.2,20,0,,,,,,,
140,A.J. Green,CIN,WR,,10/18/2020,@Colts,L 27 - 31,,,,,,,,,,,,,,,8,96,12,19,0,,
288,AJ McCarron,HOU,QB,,10/18/2020,@Titans,L 36 - 42,,,,,,,,,,,,,,,,,,,,,
217,Aaron Jones,GB,RB,,10/18/2020,@Buccaneers,L 10 - 38,,,,,,,,,,10,15,1.5,7,1,3,26,8.7,20,0,,
331,Aaron Rodgers,GB,QB,,10/18/2020,@Buccaneers,L 10 - 38,16,35,160,4.6,0,2,4,42,35.4,2,14,7,,0,,,,,,,
170,Adam Humphries,TEN,WR,,10/18/2020,Texans,W 42 - 36,,,,,,,,,,,,,,,6,64,10.7,22,1,,
374,Adam Shaheen,MIA,TE,,10/18/2020,Jets,W 24 - 0,,,,,,,,,,,,,,,3,51,17,43,1,,
398,Adam Thielen,,WR,,10/18/2020,Falcons,L 23 - 40,,,,,,,,,,,,,,,3,51,17,35,1,,
312,Adrian Peterson,DET,RB,,10/18/2020,@Jaguars,W 34 - 16,,,,,,,,,,15,40,2.7,8,1,1,18,18,18,0,,
303,Albert Okwuegbunam,,TE,,10/18/2020,@Patriots,W 18 - 12,,,,,,,,,,,,,,,2,45,22.5,27,0,,
108,Alex Erickson,CIN,WR,,10/18/2020,@Colts,L 27 - 31,,,,,,,,,,,,,,,0,0,,,0,,
363,Alex Smith,WSH,QB,,10/18/2020,@Giants,L 19 - 20,,,,,,,,,,,,,,,,,,,,,
290,Alexander Mattison,MIN,RB,,10/18/2020,Falcons,L 23 - 40,,,,,,,,,,10,26,2.6,16,0,1,4,4,4,0,,
334,Allen Robinson,CHI,WR,,10/18/2020,@Panthers,W 23 - 16,,,,,,,,,,,,,,,5,53,10.6,23,0,,
230,Alshon Jeffery,PHI,WR,,10/18/2020,Ravens,L 28 - 30,,,,,,,,,,,,,,,,,,,,,
65,Amari Cooper,DAL,WR,,10/20/2020,Cardinals,L 10 - 38,,,,,,,,,,,,,,,7,79,11.3,26,1,,
15,Ameer Abdullah,MIN,RB,,10/18/2020,Falcons,L 23 - 40,,,,,,,,,,2,7,3.5,4,0,1,1,1,1,0,,
336,Andre Roberts,BUF,WR,,10/19/2020,Chiefs,L 17 - 26,,,,,,,,,,,,,,,,,,,,,
52,Andrew Beck,,TE,,10/18/2020,@Patriots,W 18 - 12,,,,,,,,,,,,,,,,,,,,,
103,Andy Dalton,DAL,QB,,10/20/2020,Cardinals,L 10 - 38,34,54,266,4.9,1,2,3,19,65.8,2,4,2,,0,,,,,,,
208,Andy Isabella,ARI,WR,,10/20/2020,@Cowboys,W 38 - 10,,,,,,,,,,,,,,,0,0,,,0,,
130,Anthony Firkser,TEN,TE,,10/18/2020,Texans,W 42 - 36,,,,,,,,,,,,,,,8,113,14.1,45,1,,
283,Anthony McFarland,PIT,RB,,10/18/2020,Browns,W 38 - 7,,,,,,,,,,3,2,0.7,3,0,1,6,6,6,0,,
273,Anthony Miller,CHI,WR,,10/18/2020,@Panthers,W 23 - 16,,,,,,,,,,,,,,,3,8,2.7,4,0,,
160,Antonio Gandy-Golden,,WR,,10/18/2020,@Giants,L 19 - 20,,,,,,,,,,,,,,,0,0,,,0,,
155,Antonio Gibson,WSH,RB,,10/18/2020,@Giants,L 19 - 20,,,,,,,,,,9,30,3.3,8,0,4,25,6.3,10,0,,
310,Artavis Pierce,CHI,RB,,10/18/2020,@Panthers,W 23 - 16,,,,,,,,,,,,,,,,,,,,,
87,Ashton Dulin,IND,WR,,10/18/2020,Bengals,W 31 - 27,,,,,,,,,,,,,,,,,,,,,
405,Auden Tate,CIN,WR,,10/18/2020,@Colts,L 27 - 31,,,,,,,,,,,,,,,,,,,,,
177,Austin Hooper,CLE,TE,,10/18/2020,@Steelers,L 7 - 38,,,,,,,,,,,,,,,5,52,10.4,36,0,,
294,Austin Mack,NYG,WR,,10/18/2020,Football Team,W 20 - 19,,,,,,,,,,,,,,,1,1,1,1,0,,
289,Baker Mayfield,CLE,QB,,10/18/2020,@Steelers,L 7 - 38,10,18,119,6.6,1,2,4,20,54.9,1,5,5,,0,,,,,,,
94,Ben DiNucci,DAL,QB,,10/20/2020,Cardinals,L 10 - 38,,,,,,,,,,,,,,,,,,,,,
329,Ben Roethlisberger,PIT,QB,,10/18/2020,Browns,W 38 - 7,14,22,162,7.4,1,0,2,20,100.9,3,5,1.7,,0,,,,,,,
354,Benny Snell,PIT,RB,,10/18/2020,Browns,W 38 - 7,,,,,,,,,,6,17,2.8,5,1,1,4,4,4,0,,
224,Bisi Johnson,MIN,WR,,10/18/2020,Falcons,L 23 - 40,,,,,,,,,,,,,,,,,,,,,
164,Blaine Gabbert,TB,QB,,10/18/2020,Packers,W 38 - 10,0,1,0,0,0,0,0,0,39.6,3,2,0.7,,0,,,,,,,
49,Blake Bell,DAL,TE,,10/20/2020,Cardinals,L 10 - 38,,,,,,,,,,,,,,,0,0,,,0,,
376,Boston Scott,PHI,RB,,10/18/2020,Ravens,L 28 - 30,,,,,,,,,,2,4,2,5,0,2,5,2.5,4,0,,
66,Brandin Cooks,HOU,WR,,10/18/2020,@Titans,L 36 - 42,,,,,,,,,,,,,,,9,68,7.6,19,1,,
11,Brandon Aiyuk,,WR,,10/19/2020,Rams,W 24 - 16,,,,,,,,,,,,,,,2,12,6,10,1,,
308,Brandon Powell,ATL,WR,,10/18/2020,@Vikings,W 40 - 23,,,,,,,,,,,,,,,,,,,,1,0
443,Brandon Zylstra,CAR,WR,,10/18/2020,Bears,L 16 - 23,,,,,,,,,,,,,,,,,,,,,
45,Braxton Berrios,NYJ,WR,,10/18/2020,@Dolphins,L 0 - 24,,,,,,,,,,,,,,,1,18,18,18,0,,
