,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
28,AJ Brown,TEN,WR,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,,,,,,1,21,21,21,0,,
142,AJ Green,CIN,WR,,11/15/2020,@Steelers,L 10 - 36,,,,,,,,,,,,,,,0,0,,,0,,
286,AJ McCarron,HOU,QB,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,,,,,,,
217,Aaron Jones,GB,RB,,11/15/2020,Jaguars,W 24 - 20,,,,,,,,,,13,46,3.5,20,0,5,49,9.8,14,0,1,0
330,Aaron Rodgers,GB,QB,,11/15/2020,Jaguars,W 24 - 20,24,34,325,9.6,2,1,1,10,108.1,3,4,1.3,,1,,,,,,,
164,Adam Humphries,TEN,WR,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,,,,,,,,,,,,
379,Adam Shaheen,MIA,TE,,11/15/2020,Chargers,W 29 - 21,,,,,,,,,,,,,,,1,19,19,19,0,,
400,Adam Thielen,MIN,WR,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,4,43,10.8,17,2,,
389,Adam Trautman,NO,TE,,11/15/2020,49ers,W 27 - 13,,,,,,,,,,,,,,,,,,,,,
311,Adrian Peterson,DET,RB,,11/15/2020,Football Team,W 30 - 27,,,,,,,,,,4,21,5.3,13,0,1,9,9,9,0,,
69,Alex Collins,,RB,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,11,43,3.9,13,1,1,4,4,4,0,,
110,Alex Erickson,CIN,WR,,11/15/2020,@Steelers,L 10 - 36,,,,,,,,,,,,,,,,,,,,1,1
366,Alex Smith,WSH,QB,,11/15/2020,@Lions,L 27 - 30,38,55,390,7.1,0,0,2,15,89.2,2,4,2,,0,,,,,,,
289,Alexander Mattison,MIN,RB,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,2,4,2,4,0,,,,,,,
260,Alfred Morris,NYG,RB,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,8,34,4.3,10,0,,,,,,,
332,Allen Robinson,CHI,WR,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,6,43,7.2,24,0,,
229,Alshon Jeffery,PHI,WR,,11/15/2020,@Giants,L 17 - 27,,,,,,,,,,,,,,,0,0,,,0,,
244,Alvin Kamara,NO,RB,,11/15/2020,49ers,W 27 - 13,,,,,,,,,,8,15,1.9,8,2,7,83,11.9,34,1,,
18,Ameer Abdullah,MIN,RB,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,,,,,,,
333,Andre Roberts,BUF,WR,,11/15/2020,@Cardinals,L 30 - 32,,,,,,,,,,,,,,,,,,,,,
208,Andy Isabella,ARI,WR,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,1,14,14,14,0,,
133,Anthony Firkser,TEN,TE,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,,,,,,1,5,5,5,0,,
281,Anthony McFarland,PIT,RB,,11/15/2020,Bengals,W 36 - 10,,,,,,,,,,,,,,,,,,,,,
272,Anthony Miller,CHI,WR,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,2,28,14,21,0,,
30,Antonio Brown,TB,WR,,11/15/2020,@Panthers,W 46 - 23,,,,,,,,,,1,-3,-3,-3,0,7,69,9.9,25,0,,
88,Antonio Callaway,MIA,WR,,11/15/2020,Chargers,W 29 - 21,,,,,,,,,,,,,,,,,,,,,
154,Antonio Gibson,WSH,RB,,11/15/2020,@Lions,L 27 - 30,,,,,,,,,,13,45,3.5,12,2,4,20,5,13,0,,
0,Antony Auclair,TB,TE,,11/15/2020,@Panthers,W 46 - 23,,,,,,,,,,,,,,,,,,,,,
309,Artavis Pierce,CHI,RB,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,3,9,3,6,0,,,,,,,
408,Auden Tate,,WR,,11/15/2020,@Steelers,L 10 - 36,,,,,,,,,,,,,,,2,24,12,19,0,,
171,Austin Hooper,CLE,TE,,11/15/2020,Texans,W 10 - 7,,,,,,,,,,,,,,,1,11,11,11,0,,
293,Austin Mack,NYG,WR,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,1,9,9,9,0,,
442,Austin Walter,SF,RB,,11/15/2020,@Saints,L 13 - 27,,,,,,,,,,1,3,3,3,0,1,27,27,27,0,,
288,Baker Mayfield,CLE,QB,,11/15/2020,Texans,W 10 - 7,12,20,132,6.6,0,0,1,7,79.6,3,1,0.3,,0,,,,,,,
112,Ben Ellefson,,TE,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,,,,,,,
328,Ben Roethlisberger,PIT,QB,,11/15/2020,Bengals,W 36 - 10,27,46,333,7.2,4,0,0,0,110.1,1,0,0,,0,,,,,,,
357,Benny Snell,PIT,RB,,11/15/2020,Bengals,W 36 - 10,,,,,,,,,,3,12,4,8,0,,,,,,,
224,Bisi Johnson,MIN,WR,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,0,0,,,0,,
158,Blaine Gabbert,TB,QB,,11/15/2020,@Panthers,W 46 - 23,,,,,,,,,,3,0,0,,0,,,,,,,
380,Boston Scott,PHI,RB,,11/15/2020,@Giants,L 17 - 27,,,,,,,,,,3,63,21,56,1,1,11,11,11,0,,
63,Brandin Cooks,HOU,WR,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,6,39,6.5,10,0,,
13,Brandon Aiyuk,SF,WR,,11/15/2020,@Saints,L 13 - 27,,,,,,,,,,1,-8,-8,-8,0,7,75,10.7,22,1,,
98,Brandon Dillon,MIN,TE,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,,,,,,,
446,Brandon Zylstra,CAR,WR,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,,,,,,,,,,,,
163,Brett Hundley,ARI,QB,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,,,,,,,
324,Brett Rypien,DEN,QB,,11/15/2020,@Raiders,L 12 - 37,,,,,,,,,,,,,,,,,,,,,
166,Brian Hoyer,NE,QB,,11/16/2020,Ravens,W 23 - 17,,,,,,,,,,,,,,,,,,,,,
115,Bryan Edwards,LV,WR,,11/15/2020,Broncos,W 37 - 12,,,,,,,,,,,,,,,1,16,16,16,0,,
170,Brycen Hopkins,LAR,TE,,11/15/2020,Seahawks,W 23 - 16,,,,,,,,,,,,,,,,,,,,,
167,Buddy Howell,HOU,RB,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,,,,,,,
52,CJ Beathard,SF,QB,,11/15/2020,@Saints,L 13 - 27,0,1,0,0,0,0,0,0,39.6,,,,,,,,,,,,
46,CJ Board,NYG,WR,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
305,CJ Prosise,HOU,RB,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,1,-2,-2,-2,0,,
427,Caleb Wilson,,TE,,11/15/2020,@Giants,L 17 - 27,,,,,,,,,,,,,,,,,,,,,
12,Cam Akers,LAR,RB,,11/15/2020,Seahawks,W 23 - 16,,,,,,,,,,10,38,3.8,17,0,,,,,,,
295,Cam Newton,NE,QB,,11/16/2020,Ravens,W 23 - 17,13,17,118,6.9,1,0,1,7,114.3,11,21,1.9,,1,,,,,,,
373,Cam Sims,WSH,WR,,11/15/2020,@Lions,L 27 - 30,,,,,,,,,,,,,,,4,54,13.5,19,0,,
53,Cameron Batson,TEN,WR,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,,,,,,2,8,4,5,0,,
36,Cameron Brate,TB,TE,,11/15/2020,@Panthers,W 46 - 23,,,,,,,,,,,,,,,3,31,10.3,19,1,,
159,Carlos Hyde,SEA,RB,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,,,,,,,,,,,,
432,Carson Wentz,PHI,QB,,11/15/2020,@Giants,L 17 - 27,21,37,208,5.6,0,0,3,18,72.8,2,4,2,,0,,,,,,2,0
243,Case Keenum,CLE,QB,,11/15/2020,Texans,W 10 - 7,,,,,,,,,,,,,,,,,,,,,
81,Cethan Carter,CIN,TE,,11/15/2020,@Steelers,L 10 - 36,,,,,,,,,,,,,,,,,,,,,
50,Chad Beebe,MIN,WR,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,2,16,8,12,0,,
418,Charlie Woerner,SF,TE,,11/15/2020,@Saints,L 13 - 27,,,,,,,,,,,,,,,,,,,,,
75,Chase Claypool,PIT,WR,,11/15/2020,Bengals,W 36 - 10,,,,,,,,,,2,-3,-1.5,0,0,4,56,14,15,2,,
105,Chase Daniel,DET,QB,,11/15/2020,Football Team,W 30 - 27,,,,,,,,,,,,,,,,,,,,,
117,Chase Edmonds,ARI,RB,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,8,56,7,25,0,3,21,7,11,0,,
82,Chris Carson,SEA,RB,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,,,,,,,,,,,,
67,Chris Conley,JAX,WR,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,4,43,10.8,18,0,,
150,Chris Godwin,TB,WR,,11/15/2020,@Panthers,W 46 - 23,,,,,,,,,,,,,,,6,92,15.3,31,0,,
292,Chris Manhertz,CAR,TE,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,,,,,,,,,,,,
254,Chris Myarick,,TE,,11/15/2020,Chargers,W 29 - 21,,,,,,,,,,,,,,,,,,,,,
348,Chris Streveler,ARI,QB,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,,,,,,,
394,Chris Thompson,,RB,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,,,,,,,
241,Christian Kirk,ARI,WR,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,4,27,6.8,9,0,,
287,Christian McCaffrey,CAR,RB,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,,,,,,,,,,,,
321,Colby Parkinson,SEA,TE,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,,,,,,,,,,,,
51,Cole Beasley,BUF,WR,,11/15/2020,@Cardinals,L 30 - 32,,,,,,,,,,,,,,,11,109,9.9,22,1,,
240,Cole Kmet,CHI,TE,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,1,7,7,7,0,,
393,Colin Thompson,CAR,TE,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,,,,,,1,7,7,7,1,,
223,Collin Johnson,JAX,WR,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,,,,,,,
283,Colt McCoy,NYG,QB,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
237,Cooper Kupp,LAR,WR,,11/15/2020,Seahawks,W 23 - 16,,,,,,,,,,,,,,,5,50,10,31,0,,
317,Cordarrelle Patterson,CHI,WR,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,12,30,2.5,6,0,2,19,9.5,10,0,,
74,Corey Clement,PHI,RB,,11/15/2020,@Giants,L 17 - 27,,,,,,,,,,1,5,5,5,1,,,,,,,
103,Corey Davis,TEN,WR,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,,,,,,5,67,13.4,20,0,,
153,Cullen Gillaspia,,RB,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,,,,,,,
386,Curtis Samuel,CAR,WR,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,3,4,1.3,4,0,3,8,2.7,6,0,,
344,D'Andre Swift,DET,RB,,11/15/2020,Football Team,W 30 - 27,,,,,,,,,,16,81,5.1,17,0,5,68,13.6,26,1,,
222,D'Ernest Johnson,CLE,RB,,11/15/2020,Texans,W 10 - 7,,,,,,,,,,,,,,,,,,,,,
128,D'Onta Foreman,TEN,RB,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,7,18,2.6,8,0,1,5,5,5,1,,
78,DJ Chark,JAX,WR,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,4,56,14,21,0,,
127,DJ Foster,ARI,RB,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,,,,,,,
263,DJ Moore,CAR,WR,,11/15/2020,Buccaneers,L 23 - 46,,,,,,,,,,,,,,,4,96,24,38,1,,
274,DK Metcalf,SEA,WR,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,,,,,,2,28,14,19,0,,
205,DaeSean Hamilton,DEN,WR,,11/15/2020,@Raiders,L 12 - 37,,,,,,,,,,,,,,,4,33,8.3,13,1,1,1
148,Dallas Goedert,PHI,TE,,11/15/2020,@Giants,L 17 - 27,,,,,,,,,,,,,,,4,33,8.3,12,0,,
65,Dalvin Cook,MIN,RB,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,30,96,3.2,14,0,4,16,4,9,0,1,0
203,Damien Harris,NE,RB,,11/16/2020,Ravens,W 23 - 17,,,,,,,,,,22,121,5.5,25,0,,,,,,,
19,Damiere Byrd,NE,WR,,11/16/2020,Ravens,W 23 - 17,,,,,,,,,,,,,,,,,,,,,
1,Dan Arnold,ARI,TE,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,4,34,8.5,11,0,,
77,Dan Chisena,MIN,WR,,11/17/2020,@Bears,W 19 - 13,,,,,,,,,,,,,,,,,,,,,
194,Daniel Helm,,TE,,11/15/2020,@Saints,L 13 - 27,,,,,,,,,,,,,,,,,,,,,
216,Daniel Jones,NYG,QB,,11/15/2020,Eagles,W 27 - 17,21,28,244,8.7,0,0,3,13,100.9,9,64,7.1,,1,,,,,,,
6,Danny Amendola,DET,WR,,11/15/2020,Football Team,W 30 - 27,,,,,,,,,,,,,,,3,10,3.3,8,0,,
310,Dante Pettis,NYG,WR,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
303,Dare Ogunbowale,JAX,RB,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,1,5,5,5,0,,
369,Darius Slayton,NYG,WR,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,5,93,18.6,40,0,,
265,Darnell Mooney,CHI,WR,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,2,3,1.5,3,0,,
104,Darrell Daniels,,TE,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,,,,,,,
192,Darrell Henderson,LAR,RB,,11/15/2020,Seahawks,W 23 - 16,,,,,,,,,,7,28,4,16,1,1,5,5,5,0,,
135,Darren Fells,HOU,TE,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,1,15,15,15,0,,
443,Darren Waller,LV,TE,,11/15/2020,Broncos,W 37 - 12,,,,,,,,,,,,,,,3,37,12.3,24,0,,
375,Darrius Shepherd,,WR,,11/15/2020,Jaguars,W 24 - 20,,,,,,,,,,,,,,,,,,,,,
17,Davante Adams,GB,WR,,11/15/2020,Jaguars,W 24 - 20,,,,,,,,,,,,,,,8,66,8.3,22,1,1,1
47,David Blough,DET,QB,,11/15/2020,Football Team,W 30 - 27,,,,,,,,,,,,,,,,,,,,,
267,David Montgomery,CHI,RB,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,,,,,,,
264,David Moore,SEA,WR,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,1,2,2,2,0,2,16,8,9,0,,
294,David Njoku,CLE,TE,,11/15/2020,Texans,W 10 - 7,,,,,,,,,,,,,,,,,,,,,
239,Dawson Knox,BUF,TE,,11/15/2020,@Cardinals,L 30 - 32,,,,,,,,,,,,,,,2,16,8,10,0,,
201,De'Michael Harris,IND,WR,,11/13/2020,@Titans,W 34 - 17,,,,,,,,,,,,,,,1,21,21,21,0,,
80,DeAndre Carter,CHI,WR,,11/15/2020,@Browns,L 7 - 10,,,,,,,,,,,,,,,,,,,,,
169,DeAndre Hopkins,ARI,WR,,11/15/2020,Bills,W 32 - 30,,,,,,,,,,,,,,,7,127,18.1,43,1,,
439,DeAndre Washington,MIA,RB,,11/15/2020,Chargers,W 29 - 21,,,,,,,,,,2,2,1,3,0,,,,,,,
322,DeVante Parker,MIA,WR,,11/15/2020,Chargers,W 29 - 21,,,,,,,,,,,,,,,2,31,15.5,23,0,,
106,DeeJay Dallas,SEA,RB,,11/15/2020,@Rams,L 16 - 23,,,,,,,,,,2,8,4,5,0,2,23,11.5,13,0,,
385,Deebo Samuel,SF,WR,,11/15/2020,@Saints,L 13 - 27,,,,,,,,,,,,,,,,,,,,,
202,Demetrius Harris,CHI,TE,,11/17/2020,Vikings,L 13 - 19,,,,,,,,,,,,,,,,,,,,,
200,Deonte Harris,NO,WR,,11/15/2020,49ers,W 27 - 13,,,,,,,,,,,,,,,4,24,6,11,0,2,1
84,Derek Carr,LV,QB,,11/15/2020,Broncos,W 37 - 12,16,25,154,6.2,0,0,0,0,81.1,4,10,2.5,,0,,,,,,,
83,Derek Carrier,LV,TE,,11/15/2020,Broncos,W 37 - 12,,,,,,,,,,,,,,,,,,,,,
191,Derrick Henry,TEN,RB,,11/13/2020,Colts,L 17 - 34,,,,,,,,,,19,103,5.4,20,0,1,6,6,6,0,,
435,Deshaun Watson,HOU,QB,,11/15/2020,@Browns,L 7 - 10,20,30,163,5.4,1,0,2,10,91.4,8,36,4.5,,0,,,,,,,
91,Devin Duvernay,BAL,WR,,11/16/2020,@Patriots,L 17 - 23,,,,,,,,,,,,,,,3,45,15,19,0,,
371,Devin Singletary,BUF,RB,,11/15/2020,@Cardinals,L 30 - 32,,,,,,,,,,4,15,3.8,13,0,1,-5,-5,-5,0,,
298,Devine Ozigbo,JAX,RB,,11/15/2020,@Packers,L 20 - 24,,,,,,,,,,,,,,,,,,,,,
45,Devontae Booker,LV,RB,,11/15/2020,Broncos,W 37 - 12,,,,,,,,,,16,81,5.1,23,2,1,2,2,2,0,,
319,Dezmon Patmon,IND,WR,,11/13/2020,@Titans,W 34 - 17,,,,,,,,,,,,,,,,,,,,,
251,Dion Lewis,NYG,RB,,11/15/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,2,17,8.5,17,0,,
226,Diontae Johnson,PIT,WR,,11/15/2020,Bengals,W 36 - 10,,,,,,,,,,,,,,,6,116,19.3,46,1,,
