,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
30,AJ Brown,TEN,WR,,09/15/2020,@Broncos,W 16 - 14,,,,,,,,,,,,,,,5,39,7.8,12,0,,
108,AJ Dillon,,RB,,09/13/2020,@Vikings,W 43 - 34,,,,,,,,,,2,14,7,8,0,,,,,,,
161,AJ Green,CIN,WR,,09/13/2020,Chargers,L 13 - 16,,,,,,,,,,,,,,,5,51,10.2,14,0,,
331,AJ McCarron,HOU,QB,,09/11/2020,@Chiefs,L 20 - 34,,,,,,,,,,,,,,,,,,,,,
247,Aaron Jones,GB,RB,,09/13/2020,@Vikings,W 43 - 34,,,,,,,,,,16,66,4.1,15,1,4,10,2.5,6,0,1,0
381,Aaron Rodgers,GB,QB,,09/13/2020,@Vikings,W 43 - 34,32,44,364,8.3,4,0,0,0,127.5,1,2,2,,0,,,,,,,
193,Adam Humphries,TEN,WR,,09/15/2020,@Broncos,W 16 - 14,,,,,,,,,,,,,,,6,47,7.8,10,0,,
435,Adam Shaheen,MIA,TE,,09/13/2020,@Patriots,L 11 - 21,,,,,,,,,,,,,,,,,,,,,
460,Adam Thielen,MIN,WR,,09/13/2020,Packers,L 34 - 43,,,,,,,,,,,,,,,6,110,18.3,37,2,,
448,Adam Trautman,NO,TE,,09/13/2020,Buccaneers,W 34 - 23,,,,,,,,,,,,,,,,,,,,,
359,Adrian Peterson,DET,RB,,09/13/2020,Bears,L 23 - 27,,,,,,,,,,14,93,6.6,21,0,3,21,7,9,0,,
348,Albert Okwuegbunam,,TE,,09/15/2020,Titans,L 14 - 16,,,,,,,,,,,,,,,,,,,,,
125,Alex Erickson,CIN,WR,,09/13/2020,Chargers,L 13 - 16,,,,,,,,,,,,,,,,,,,,,
422,Alex Smith,WSH,QB,,09/13/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
334,Alexander Mattison,MIN,RB,,09/13/2020,Packers,L 34 - 43,,,,,,,,,,6,50,8.3,21,0,4,30,7.5,9,0,,
291,Allen Lazard,GB,WR,,09/13/2020,@Vikings,W 43 - 34,,,,,,,,,,1,19,19,19,0,4,63,15.8,38,1,,
384,Allen Robinson,CHI,WR,,09/13/2020,@Lions,W 27 - 23,,,,,,,,,,1,-1,-1,-1,0,5,74,14.8,22,0,,
258,Alshon Jeffery,PHI,WR,,09/13/2020,@Football Team,L 17 - 27,,,,,,,,,,,,,,,,,,,,,
281,Alvin Kamara,NO,RB,,09/13/2020,Buccaneers,W 34 - 23,,,,,,,,,,12,16,1.3,6,1,5,51,10.2,38,1,,
68,Amari Cooper,DAL,WR,,09/14/2020,@Rams,L 17 - 20,,,,,,,,,,,,,,,10,81,8.1,14,0,,
19,Ameer Abdullah,MIN,RB,,09/13/2020,Packers,L 34 - 43,,,,,,,,,,,,,,,,,,,,,
386,Andre Roberts,BUF,WR,,09/13/2020,Jets,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
56,Andrew Beck,DEN,TE,,09/15/2020,Titans,L 14 - 16,,,,,,,,,,,,,,,,,,,,,
118,Andy Dalton,DAL,QB,,09/14/2020,@Rams,L 17 - 20,,,,,,,,,,,,,,,,,,,,,
237,Andy Isabella,ARI,WR,,09/13/2020,@49ers,W 24 - 20,,,,,,,,,,,,,,,,,,,,,
149,Anthony Firkser,TEN,TE,,09/15/2020,@Broncos,W 16 - 14,,,,,,,,,,,,,,,2,5,2.5,6,0,,
326,Anthony McFarland,PIT,RB,,09/14/2020,@Giants,W 26 - 16,,,,,,,,,,,,,,,,,,,,,
314,Anthony Miller,CHI,WR,,09/13/2020,@Lions,W 27 - 23,,,,,,,,,,,,,,,4,76,19,27,1,,
430,Anthony Sherman,KC,RB,,09/11/2020,Texans,W 34 - 20,,,,,,,,,,1,2,2,2,0,,,,,,,
181,Antonio Gandy-Golden,,WR,,09/13/2020,Eagles,W 27 - 17,,,,,,,,,,,,,,,,,,,,,
176,Antonio Gibson,WSH,RB,,09/13/2020,Eagles,W 27 - 17,,,,,,,,,,9,36,4,20,0,2,8,4,6,0,,
0,Antony Auclair,TB,TE,,09/13/2020,@Saints,L 23 - 34,,,,,,,,,,,,,,,,,,,,,
98,Ashton Dulin,IND,WR,,09/13/2020,@Jaguars,L 20 - 27,,,,,,,,,,,,,,,,,,,,,
467,Auden Tate,,WR,,09/13/2020,Chargers,L 13 - 16,,,,,,,,,,,,,,,,,,,,,
129,Austin Ekeler,LAC,RB,,09/13/2020,@Bengals,W 16 - 13,,,,,,,,,,19,84,4.4,13,0,1,3,3,3,0,,
200,Austin Hooper,CLE,TE,,09/13/2020,@Ravens,L 6 - 38,,,,,,,,,,,,,,,2,15,7.5,9,0,,
333,Baker Mayfield,CLE,QB,,09/13/2020,@Ravens,L 6 - 38,21,39,189,4.8,1,1,2,21,65,2,3,1.5,,0,,,,,,,
107,Ben DiNucci,DAL,QB,,09/14/2020,@Rams,L 17 - 20,,,,,,,,,,,,,,,,,,,,,
128,Ben Ellefson,,TE,,09/13/2020,Colts,W 27 - 20,,,,,,,,,,,,,,,,,,,,,
379,Ben Roethlisberger,PIT,QB,,09/14/2020,@Giants,W 26 - 16,21,32,229,7.2,3,0,2,21,117.8,3,9,3,,0,,,,,,1,0
141,Bennie Fowler,,WR,,09/13/2020,Buccaneers,W 34 - 23,,,,,,,,,,,,,,,,,,,,,
413,Benny Snell,PIT,RB,,09/14/2020,@Giants,W 26 - 16,,,,,,,,,,19,113,5.9,30,0,0,0,,,0,1,0
253,Bisi Johnson,MIN,WR,,09/13/2020,Packers,L 34 - 43,,,,,,,,,,,,,,,3,56,18.7,29,0,,
