,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
30,AJ Brown,TEN,WR,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,,,,,,,,,,,,
110,AJ Dillon,GB,RB,,09/28/2020,@Saints,W 37 - 30,,,,,,,,,,,,,,,,,,,,,
163,AJ Green,CIN,WR,,09/27/2020,@Eagles,T 23 - 23,,,,,,,,,,,,,,,5,36,7.2,12,0,,
331,AJ McCarron,HOU,QB,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,,,,,,,
250,Aaron Jones,GB,RB,,09/28/2020,@Saints,W 37 - 30,,,,,,,,,,16,69,4.3,19,1,2,17,8.5,12,0,,
378,Aaron Rodgers,GB,QB,,09/28/2020,@Saints,W 37 - 30,21,32,283,8.8,3,0,1,12,124.9,2,12,6,,0,,,,,,,
194,Adam Humphries,,WR,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,,,,,,4,41,10.3,23,0,,
430,Adam Shaheen,MIA,TE,,09/25/2020,@Jaguars,W 31 - 13,,,,,,,,,,,,,,,,,,,,,
457,Adam Thielen,MIN,WR,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,1,4,4,4,0,3,29,9.7,16,1,,
444,Adam Trautman,NO,TE,,09/28/2020,Packers,L 30 - 37,,,,,,,,,,,,,,,2,17,8.5,10,0,,
356,Adrian Peterson,DET,RB,,09/27/2020,@Cardinals,W 26 - 23,,,,,,,,,,22,75,3.4,27,0,1,10,10,10,0,,
345,Albert Okwuegbunam,,TE,,09/27/2020,Buccaneers,L 10 - 28,,,,,,,,,,,,,,,,,,,,,
127,Alex Erickson,CIN,WR,,09/27/2020,@Eagles,T 23 - 23,,,,,,,,,,,,,,,,,,,,,
417,Alex Smith,WSH,QB,,09/27/2020,@Browns,L 20 - 34,,,,,,,,,,,,,,,,,,,,,
333,Alexander Mattison,MIN,RB,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,8,27,3.4,15,0,,,,,,,
293,Allen Lazard,GB,WR,,09/28/2020,@Saints,W 37 - 30,,,,,,,,,,1,-2,-2,-2,0,6,146,24.3,72,1,,
381,Allen Robinson,CHI,WR,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,,,,,,10,123,12.3,37,1,,
262,Alshon Jeffery,PHI,WR,,09/27/2020,Bengals,T 23 - 23,,,,,,,,,,,,,,,,,,,,,
283,Alvin Kamara,NO,RB,,09/28/2020,Packers,L 30 - 37,,,,,,,,,,6,58,9.7,49,0,13,139,10.7,52,2,,
72,Amari Cooper,DAL,WR,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,9,86,9.6,28,0,,
17,Ameer Abdullah,MIN,RB,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,,,,,,,,,,,,
383,Andre Roberts,BUF,WR,,09/27/2020,Rams,W 35 - 32,,,,,,,,,,,,,,,,,,,,,
59,Andrew Beck,DEN,TE,,09/27/2020,Buccaneers,L 10 - 28,,,,,,,,,,,,,,,,,,,,,
120,Andy Dalton,DAL,QB,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,,,,,,,
240,Andy Isabella,ARI,WR,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,1,-6,-6,-6,0,4,47,11.8,26,2,,
151,Anthony Firkser,TEN,TE,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,,,,,,,,,,,,
326,Anthony McFarland,PIT,RB,,09/27/2020,Texans,W 28 - 21,,,,,,,,,,6,42,7,20,0,1,7,7,7,0,,
314,Anthony Miller,CHI,WR,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,1,9,9,9,0,2,41,20.5,28,1,1,0
425,Anthony Sherman,KC,RB,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,1,0,0,0,0,1,5,5,5,1,,
182,Antonio Gandy-Golden,,WR,,09/27/2020,@Browns,L 20 - 34,,,,,,,,,,1,22,22,22,0,0,0,,,0,,
177,Antonio Gibson,WSH,RB,,09/27/2020,@Browns,L 20 - 34,,,,,,,,,,9,49,5.4,13,1,3,11,3.7,12,0,1,1
101,Ashton Dulin,IND,WR,,09/27/2020,Jets,W 36 - 7,,,,,,,,,,,,,,,0,0,,,0,,
464,Auden Tate,,WR,,09/27/2020,@Eagles,T 23 - 23,,,,,,,,,,,,,,,2,29,14.5,19,0,,
130,Austin Ekeler,LAC,RB,,09/27/2020,Panthers,L 16 - 21,,,,,,,,,,12,59,4.9,12,1,11,84,7.6,28,0,,
202,Austin Hooper,CLE,TE,,09/27/2020,Football Team,W 34 - 20,,,,,,,,,,,,,,,3,25,8.3,10,0,,
332,Baker Mayfield,CLE,QB,,09/27/2020,Football Team,W 34 - 20,16,23,156,6.8,2,0,2,14,117.3,1,1,1,,0,,,,,,,
109,Ben DiNucci,DAL,QB,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,,,,,,,
376,Ben Roethlisberger,PIT,QB,,09/27/2020,Texans,W 28 - 21,23,36,237,6.6,2,0,2,19,101.3,5,-3,-0.6,,0,,,,,,,
143,Bennie Fowler,,WR,,09/28/2020,Packers,L 30 - 37,,,,,,,,,,,,,,,,,,,,,
408,Benny Snell,PIT,RB,,09/27/2020,Texans,W 28 - 21,,,,,,,,,,7,11,1.6,4,0,,,,,,,
256,Bisi Johnson,MIN,WR,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,,,,,,,,,,,,
187,Blaine Gabbert,TB,QB,,09/27/2020,@Broncos,W 28 - 10,,,,,,,,,,,,,,,,,,,,,
56,Blake Bell,DAL,TE,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,0,0,,,0,,
46,Blake Bortles,,QB,,09/27/2020,Buccaneers,L 10 - 28,,,,,,,,,,,,,,,,,,,,,
432,Boston Scott,PHI,RB,,09/27/2020,Bengals,T 23 - 23,,,,,,,,,,3,5,1.7,4,0,0,0,,,0,,
73,Brandin Cooks,HOU,WR,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,3,23,7.7,20,0,,
13,Brandon Aiyuk,SF,WR,,09/27/2020,@Giants,W 36 - 9,,,,,,,,,,3,31,10.3,19,1,5,70,14,20,0,,
352,Brandon Powell,ATL,WR,,09/27/2020,Bears,L 26 - 30,,,,,,,,,,,,,,,3,27,9,13,0,,
506,Brandon Zylstra,CAR,WR,,09/27/2020,@Chargers,W 21 - 16,,,,,,,,,,,,,,,,,,,,,
52,Braxton Berrios,NYJ,WR,,09/27/2020,@Colts,L 7 - 36,,,,,,,,,,,,,,,4,64,16,28,1,,
359,Breshad Perriman,NYJ,WR,,09/27/2020,@Colts,L 7 - 36,,,,,,,,,,,,,,,,,,,,,
193,Brett Hundley,ARI,QB,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,,,,,,,
370,Brett Rypien,DEN,QB,,09/27/2020,Buccaneers,L 10 - 28,8,9,53,5.9,0,1,1,0,51.6,,,,,,,,,,,1,0
218,Brian Hill,ATL,RB,,09/27/2020,Bears,L 26 - 30,,,,,,,,,,9,58,6.4,35,1,1,22,22,22,0,,
196,Brian Hoyer,NE,QB,,09/27/2020,Raiders,W 36 - 20,,,,,,,,,,,,,,,,,,,,,
134,Bryan Edwards,LV,WR,,09/27/2020,@Patriots,L 20 - 36,,,,,,,,,,,,,,,2,48,24,34,0,,
287,Bryce Love,,RB,,09/27/2020,@Browns,L 20 - 34,,,,,,,,,,,,,,,,,,,,,
201,Brycen Hopkins,LAR,TE,,09/27/2020,@Bills,L 32 - 35,,,,,,,,,,,,,,,,,,,,,
197,Buddy Howell,HOU,RB,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,,,,,,,
350,Byron Pringle,KC,WR,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,,,,,,,,,,,,
61,CJ Beathard,SF,QB,,09/27/2020,@Giants,W 36 - 9,,,,,,,,,,,,,,,,,,,,,
50,CJ Board,NYG,WR,,09/27/2020,49ers,L 9 - 36,,,,,,,,,,,,,,,1,9,9,9,0,,
348,CJ Prosise,HOU,RB,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,1,1,1,1,0,,,,,,,
386,Calvin Ridley,ATL,WR,,09/27/2020,Bears,L 26 - 30,,,,,,,,,,1,7,7,7,0,5,110,22,63,0,,
12,Cam Akers,LAR,RB,,09/27/2020,@Bills,L 32 - 35,,,,,,,,,,,,,,,,,,,,,
338,Cam Newton,NE,QB,,09/27/2020,Raiders,W 36 - 20,17,28,162,5.8,1,1,2,6,73.8,9,27,3,,0,,,,,,,
424,Cam Sims,WSH,WR,,09/27/2020,@Browns,L 20 - 34,,,,,,,,,,,,,,,,,,,,,
63,Cameron Batson,TEN,WR,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,,,,,,,,,,,,
37,Cameron Brate,TB,TE,,09/27/2020,@Broncos,W 28 - 10,,,,,,,,,,,,,,,,,,,,,
188,Carlos Hyde,SEA,RB,,09/27/2020,Cowboys,W 38 - 31,,,,,,,,,,4,12,3,4,0,1,11,11,11,0,,
493,Carson Wentz,PHI,QB,,09/27/2020,Bengals,T 23 - 23,29,47,225,4.8,1,2,3,19,62.8,9,65,7.2,,1,,,,,,1,0
281,Case Keenum,CLE,QB,,09/27/2020,Football Team,W 34 - 20,,,,,,,,,,,,,,,,,,,,,
481,Ced Wilson,DAL,WR,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,5,107,21.4,42,2,,
295,CeeDee Lamb,DAL,WR,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,1,1,1,1,0,5,65,13,28,0,,
90,Cethan Carter,CIN,TE,,09/27/2020,@Eagles,T 23 - 23,,,,,,,,,,,,,,,1,1,1,1,0,,
57,Chad Beebe,MIN,WR,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,,,,,,1,7,7,7,0,,
227,Chad Henne,KC,QB,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,,,,,,,,,,,,
474,Charlie Woerner,,TE,,09/27/2020,@Giants,W 36 - 9,,,,,,,,,,,,,,,,,,,,,
84,Chase Claypool,PIT,WR,,09/27/2020,Texans,W 28 - 21,,,,,,,,,,,,,,,1,24,24,24,0,1,0
119,Chase Daniel,DET,QB,,09/27/2020,@Cardinals,W 26 - 23,,,,,,,,,,,,,,,,,,,,,
135,Chase Edmonds,ARI,RB,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,3,13,4.3,5,0,2,21,10.5,15,0,,
91,Chris Carson,SEA,RB,,09/27/2020,Cowboys,W 38 - 31,,,,,,,,,,14,64,4.6,23,0,3,12,4,6,0,,
77,Chris Conley,JAX,WR,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,,,,,,3,34,11.3,18,0,,
172,Chris Godwin,TB,WR,,09/27/2020,@Broncos,W 28 - 10,,,,,,,,,,,,,,,5,64,12.8,30,1,,
223,Chris Herndon,NYJ,TE,,09/27/2020,@Colts,L 7 - 36,,,,,,,,,,,,,,,3,21,7,9,0,,
208,Chris Hogan,,WR,,09/27/2020,@Colts,L 7 - 36,,,,,,,,,,,,,,,0,0,,,0,,
335,Chris Manhertz,CAR,TE,,09/27/2020,@Chargers,W 21 - 16,,,,,,,,,,,,,,,,,,,,,
308,Chris Moore,,WR,,09/29/2020,Chiefs,L 20 - 34,,,,,,,,,,,,,,,,,,,,,
399,Chris Streveler,ARI,QB,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,,,,,,,
451,Chris Thompson,,RB,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,2,3,1.5,4,0,5,35,7,9,0,,
51,Christian Blake,ATL,WR,,09/27/2020,Bears,L 26 - 30,,,,,,,,,,,,,,,,,,,,,
276,Christian Kirk,ARI,WR,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,,,,,,,
132,Clyde Edwards-Helaire,KC,RB,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,20,64,3.2,16,0,5,70,14,24,0,,
60,Cole Beasley,BUF,WR,,09/27/2020,Rams,W 35 - 32,,,,,,,,,,,,,,,6,100,16.7,29,0,,
274,Cole Kmet,CHI,TE,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,,,,,,,,,,,,
450,Colin Thompson,CAR,TE,,09/27/2020,@Chargers,W 21 - 16,,,,,,,,,,,,,,,,,,,,,
255,Collin Johnson,JAX,WR,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,,,,,,1,3,3,3,0,,
329,Colt McCoy,NYG,QB,,09/27/2020,49ers,L 9 - 36,,,,,,,,,,,,,,,,,,,,,
271,Cooper Kupp,LAR,WR,,09/27/2020,@Bills,L 32 - 35,,,,,,,,,,,,,,,9,107,11.9,20,1,,
364,Cordarrelle Patterson,CHI,WR,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,4,13,3.3,6,0,,,,,,,
83,Corey Clement,PHI,RB,,09/27/2020,Bengals,T 23 - 23,,,,,,,,,,3,8,2.7,5,0,,,,,,,
116,Corey Davis,TEN,WR,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,,,,,,5,69,13.8,38,0,,
176,Cullen Gillaspia,,RB,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,1,6,6,6,0,,
440,Curtis Samuel,CAR,WR,,09/27/2020,@Chargers,W 21 - 16,,,,,,,,,,4,7,1.8,5,0,4,45,11.3,24,0,,
395,D'Andre Swift,DET,RB,,09/27/2020,@Cardinals,W 26 - 23,,,,,,,,,,,,,,,1,19,19,19,0,,
253,D'Ernest Johnson,CLE,RB,,09/27/2020,Football Team,W 34 - 20,,,,,,,,,,,,,,,,,,,,,
87,DJ Chark,JAX,WR,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,,,,,,,,,,,,
306,DJ Moore,CAR,WR,,09/27/2020,@Chargers,W 21 - 16,,,,,,,,,,,,,,,2,65,32.5,38,0,,
318,DK Metcalf,SEA,WR,,09/27/2020,Cowboys,W 38 - 31,,,,,,,,,,,,,,,4,110,27.5,62,1,1,1
237,DaeSean Hamilton,DEN,WR,,09/27/2020,Buccaneers,L 10 - 28,,,,,,,,,,,,,,,,,,,,,
351,Dak Prescott,,QB,,09/27/2020,@Seahawks,L 31 - 38,37,57,472,8.3,3,2,2,11,93.6,6,26,4.3,,0,,,,,,1,1
171,Dallas Goedert,PHI,TE,,09/27/2020,Bengals,T 23 - 23,,,,,,,,,,,,,,,1,7,7,7,0,,
282,Dalton Keene,NE,TE,,09/27/2020,Raiders,W 36 - 20,,,,,,,,,,,,,,,,,,,,,
433,Dalton Schultz,DAL,TE,,09/27/2020,@Seahawks,L 31 - 38,,,,,,,,,,,,,,,4,48,12,28,0,,
75,Dalvin Cook,MIN,RB,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,22,181,8.2,39,1,2,18,9,15,0,1,1
18,Damiere Byrd,NE,WR,,09/27/2020,Raiders,W 36 - 20,,,,,,,,,,,,,,,3,27,9,23,0,,
394,Damion Ratley,,WR,,09/27/2020,@Giants,W 36 - 9,,,,,,,,,,,,,,,1,29,29,29,0,1,0
1,Dan Arnold,ARI,TE,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,1,11,11,11,0,,
86,Dan Chisena,MIN,WR,,09/27/2020,Titans,L 30 - 31,,,,,,,,,,,,,,,,,,,,,
32,Daniel Brown,NYJ,TE,,09/27/2020,@Colts,L 7 - 36,,,,,,,,,,,,,,,,,,,,,
249,Daniel Jones,NYG,QB,,09/27/2020,49ers,L 9 - 36,17,32,179,5.6,0,1,2,14,56.6,5,49,9.8,,0,,,,,,1,1
6,Danny Amendola,DET,WR,,09/27/2020,@Cardinals,W 26 - 23,,,,,,,,,,,,,,,1,18,18,18,0,,
355,Dante Pettis,NYG,WR,,09/27/2020,49ers,L 9 - 36,,,,,,,,,,,,,,,,,,,,,
346,Dare Ogunbowale,JAX,RB,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,,,,,,,,,,,,
39,Darius Bradwell,,RB,,09/27/2020,Panthers,L 16 - 21,,,,,,,,,,,,,,,,,,,,,
420,Darius Slayton,NYG,WR,,09/27/2020,49ers,L 9 - 36,,,,,,,,,,,,,,,3,53,17.7,23,0,1,1
309,Darnell Mooney,CHI,WR,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,,,,,,2,19,9.5,12,0,,
484,Darrel Williams,KC,RB,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,2,6,3,6,0,2,1,0.5,5,0,,
118,Darrell Daniels,ARI,TE,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,2,24,12,15,0,,
228,Darrell Henderson,LAR,RB,,09/27/2020,@Bills,L 32 - 35,,,,,,,,,,20,114,5.7,14,1,1,6,6,6,0,,
153,Darren Fells,HOU,TE,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,0,0,,,0,,
502,Darren Waller,LV,TE,,09/27/2020,@Patriots,L 20 - 36,,,,,,,,,,,,,,,2,9,4.5,8,0,,
427,Darrius Shepherd,,WR,,09/28/2020,@Saints,W 37 - 30,,,,,,,,,,,,,,,0,0,,,0,,
124,Darrynton Evans,TEN,RB,,09/27/2020,@Vikings,W 31 - 30,,,,,,,,,,3,9,3,4,0,,,,,,,
449,Darwin Thompson,KC,RB,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,2,11,5.5,10,0,0,0,,,0,1,1
145,Daurice Fountain,,WR,,09/27/2020,Jets,W 36 - 7,,,,,,,,,,,,,,,2,23,11.5,12,0,,
16,Davante Adams,GB,WR,,09/28/2020,@Saints,W 37 - 30,,,,,,,,,,,,,,,,,,,,,
254,David Johnson,HOU,RB,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,13,23,1.8,5,1,2,23,11.5,20,0,,
310,David Montgomery,CHI,RB,,09/27/2020,@Falcons,W 30 - 26,,,,,,,,,,14,45,3.2,11,0,2,9,4.5,6,0,,
307,David Moore,SEA,WR,,09/27/2020,Cowboys,W 38 - 31,,,,,,,,,,,,,,,1,2,2,2,0,1,0
273,Dawson Knox,BUF,TE,,09/27/2020,Rams,W 35 - 32,,,,,,,,,,,,,,,,,,,,,
89,DeAndre Carter,,WR,,09/27/2020,@Steelers,L 21 - 28,,,,,,,,,,,,,,,,,,,,,
200,DeAndre Hopkins,ARI,WR,,09/27/2020,Lions,L 23 - 26,,,,,,,,,,,,,,,10,137,13.7,30,0,,
270,DeSean Jackson,,WR,,09/27/2020,Bengals,T 23 - 23,,,,,,,,,,,,,,,2,11,5.5,9,0,,
368,DeVante Parker,MIA,WR,,09/25/2020,@Jaguars,W 31 - 13,,,,,,,,,,,,,,,5,69,13.8,20,0,,
491,Dede Westbrook,,WR,,09/25/2020,Dolphins,L 13 - 31,,,,,,,,,,,,,,,1,4,4,4,0,,
121,DeeJay Dallas,SEA,RB,,09/27/2020,Cowboys,W 38 - 31,,,,,,,,,,,,,,,,,,,,,
380,Demarcus Robinson,KC,WR,,09/29/2020,@Ravens,W 34 - 20,,,,,,,,,,,,,,,0,0,,,0,,
