,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
27,AJ Brown,TEN,WR,,12/06/2020,Browns,L 35 - 41,,,,,,,,,,,,,,,4,87,21.8,40,0,2,1
138,AJ Green,CIN,WR,,12/06/2020,@Dolphins,L 7 - 19,,,,,,,,,,,,,,,0,0,,,0,,
297,AJ McCarron,HOU,QB,,12/06/2020,Colts,L 20 - 26,,,,,,,,,,,,,,,,,,,,,
216,Aaron Jones,GB,RB,,12/06/2020,Eagles,W 30 - 16,,,,,,,,,,15,130,8.7,77,1,3,18,6,9,0,,
345,Aaron Rodgers,GB,QB,,12/06/2020,Eagles,W 30 - 16,25,34,295,8.7,3,0,2,7,128.9,4,-3,-0.8,,0,,,,,,1,0
162,Adam Humphries,,WR,,12/06/2020,Browns,L 35 - 41,,,,,,,,,,,,,,,1,9,9,9,0,,
398,Adam Shaheen,MIA,TE,,12/06/2020,Bengals,W 19 - 7,,,,,,,,,,,,,,,0,0,,,0,,
425,Adam Thielen,MIN,WR,,12/06/2020,Jaguars,W 27 - 24,,,,,,,,,,,,,,,8,75,9.4,14,1,,
415,Adam Trautman,NO,TE,,12/06/2020,@Falcons,W 21 - 16,,,,,,,,,,,,,,,3,9,3,5,0,,
323,Adrian Peterson,DET,RB,,12/06/2020,@Bears,W 34 - 30,,,,,,,,,,16,57,3.6,15,2,0,0,,,0,,
109,Alex Erickson,CIN,WR,,12/06/2020,@Dolphins,L 7 - 19,,,,,,,,,,,,,,,2,17,8.5,9,0,,
384,Alex Smith,WSH,QB,,12/07/2020,@Steelers,W 23 - 17,31,46,296,6.4,1,0,3,23,92.3,,,,,,,,,,,,
299,Alexander Mattison,MIN,RB,,12/06/2020,Jaguars,W 27 - 24,,,,,,,,,,,,,,,,,,,,,
269,Alfred Morris,NYG,RB,,12/06/2020,@Seahawks,W 17 - 12,,,,,,,,,,8,39,4.9,13,1,1,6,6,6,1,,
