,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
56,56,Stefon Diggs,WR,BUF,0,0,0,0,0,8,86,0,0,0,0,0.0,16.6,12.6
57,57,T.J. Hockenson,TE,DET,0,0,0,0,0,5,56,1,0,0,0,0.0,16.6,14.100000000000001
58,58,Willie Snead,WR,BAL,0,0,0,0,0,4,64,1,0,0,0,0.0,16.4,14.4
59,59,Joe Burrow,QB,CIN,193,0,1,46,1,0,0,0,0,0,0,0.0,16.32,17.32
60,60,Matthew Stafford,QB,DET,297,1,1,23,0,0,0,0,0,0,0,0.0,16.18,17.18
61,61,Derrick Henry,RB,TEN,0,0,0,116,0,3,15,0,0,0,0,0.0,16.1,14.600000000000001
62,62,Keelan Cole,WR,JAX,0,0,0,0,0,5,47,1,0,0,0,0.0,15.7,13.2
63,63,Melvin Gordon,RB,DEN,0,0,0,78,1,3,8,0,0,0,0,0.0,15.6,16.1
64,64,Tyreek Hill,WR,KC,0,0,0,0,0,5,46,1,0,0,0,0.0,15.6,13.100000000000001
65,65,Marquise Brown,WR,BAL,0,0,0,0,0,5,101,0,0,0,0,0.0,15.1,12.600000000000001
66,66,Peyton Barber,RB,WAS,0,0,0,29,2,0,0,0,0,0,0,0.0,14.9,14.9
67,67,Jonathan Taylor,RB,IND,0,0,0,22,0,6,67,0,0,0,0,0.0,14.9,11.9
68,68,Philip Rivers,QB,IND,363,1,2,3,0,0,0,0,0,0,0,0.0,14.82,16.82
69,69,Kenyan Drake,RB,ARI,0,0,0,60,1,2,5,0,0,0,0,0.0,14.5,13.5
70,70,Drew Brees,QB,NO,160,2,0,0,0,0,0,0,0,0,0,0.0,14.4,14.4
71,71,Adrian Peterson,RB,DET,0,0,0,93,0,3,21,0,0,0,0,0.0,14.4,12.9
72,72,J.K. Dobbins,RB,BAL,0,0,0,22,2,0,0,0,0,0,0,0.0,14.2,14.2
73,73,Parris Campbell,WR,IND,0,0,0,9,0,6,71,0,0,0,0,0.0,14.0,11.0
74,74,David Njoku,TE,CLE,0,0,0,0,0,3,50,1,0,0,0,0.0,14.0,12.5
75,75,Chris Godwin,WR,TB,0,0,0,0,0,6,79,0,0,0,0,0.0,13.9,10.9
76,76,Todd Gurley,RB,ATL,0,0,0,56,1,2,1,0,0,0,0,0.0,13.7,12.700000000000001
77,77,Laviska Shenault Jr.,WR,JAX,0,0,0,10,0,3,37,1,0,0,0,0.0,13.7,12.2
78,78,Logan Thomas,TE,WAS,0,0,0,0,0,4,37,1,0,0,0,0.0,13.7,11.7
79,79,O.J. Howard,TE,TB,0,0,0,0,0,4,36,1,0,0,0,0.0,13.6,11.6
80,80,Jonnu Smith,TE,TEN,0,0,0,0,0,4,36,1,0,0,0,0.0,13.6,11.6
81,81,Derek Carr,QB,LV,239,1,0,0,0,0,0,0,0,0,0,0.0,13.56,13.56
82,82,Chase Edmonds,RB,ARI,0,0,0,26,0,3,19,1,0,0,0,0.0,13.5,12.0
83,83,Jerick McKinnon,RB,SF,0,0,0,24,0,3,20,1,0,0,0,0.0,13.4,11.9
84,84,Drew Lock,QB,DEN,216,1,0,5,0,0,0,0,0,0,0,0.0,13.14,13.14
85,85,Danny Amendola,WR,DET,0,0,0,0,0,5,81,0,0,0,0,0.0,13.1,10.6
86,86,Jared Cook,TE,NO,0,0,0,0,0,5,80,0,0,0,0,0.0,13.0,10.5
87,87,Julian Edelman,WR,NE,0,0,0,23,0,5,57,0,0,0,0,0.0,13.0,10.5
88,88,Carson Wentz,QB,PHI,270,2,2,2,0,0,0,0,0,0,0,0.0,13.0,17.0
89,89,Scott Miller,WR,TB,0,0,0,6,0,5,73,0,0,0,0,0.0,12.9,10.4
90,90,Dwayne Haskins,QB,WAS,178,1,0,17,0,0,0,0,0,0,0,0.0,12.82,12.82
91,91,Saquon Barkley,RB,NYG,0,0,0,6,0,6,60,0,0,0,0,0.0,12.6,9.6
92,92,Greg Olsen,TE,SEA,0,0,0,0,0,4,24,1,0,0,0,0.0,12.4,10.4
93,93,Hunter Henry,TE,LAC,0,0,0,0,0,5,73,0,0,0,0,0.0,12.3,9.8
94,94,Allen Robinson,WR,CHI,0,0,0,-1,0,5,74,0,0,0,0,0.0,12.3,9.8
95,95,Kareem Hunt,RB,CLE,0,0,0,72,0,4,9,0,0,0,0,0.0,12.1,10.1
96,96,Joshua Kelley,RB,LAC,0,0,0,60,1,0,0,0,0,0,0,0.0,12.0,12.0
97,97,Alexander Mattison,RB,MIN,0,0,0,50,0,4,30,0,0,0,0,0.0,12.0,10.0
98,98,Jordan Akins,TE,HOU,0,0,0,0,0,2,39,1,0,0,0,0.0,11.9,10.9
99,99,Zack Moss,RB,BUF,0,0,0,11,0,3,16,1,0,0,0,0.0,11.7,10.2
100,100,D.J. Chark,WR,JAX,0,0,0,0,0,3,25,1,0,0,0,0.0,11.5,10.0
101,101,Jimmy Graham,TE,CHI,0,0,0,0,0,3,25,1,0,0,0,0.0,11.5,10.0
102,102,James Washington,WR,PIT,0,0,0,0,0,2,34,1,0,0,0,0.0,11.4,10.4
103,103,Benny Snell,RB,PIT,0,0,0,113,0,0,0,0,0,0,0,0.0,11.3,11.3
104,104,D'Andre Swift,RB,DET,0,0,0,8,1,3,15,0,0,0,0,0.0,11.3,9.8
105,105,Sam Darnold,QB,NYJ,215,1,1,6,0,0,0,0,0,0,0,0.0,11.2,12.2
106,106,Jarvis Landry,WR,CLE,0,0,0,0,0,5,61,0,0,0,0,0.0,11.1,8.600000000000001
107,107,Terry McLaurin,WR,WAS,0,0,0,0,0,5,61,0,0,0,0,0.0,11.1,8.600000000000001
108,108,CeeDee Lamb,WR,DAL,0,0,0,0,0,5,59,0,0,0,0,0.0,10.9,8.4
109,109,Mike Williams,WR,LAC,0,0,0,0,0,4,69,0,0,0,0,0.0,10.9,8.9
110,110,Zach Ertz,TE,PHI,0,0,0,0,0,3,18,1,0,0,0,0.0,10.8,9.3
111,111,Adam Humphries,WR,TEN,0,0,0,0,0,6,47,0,0,0,0,0.0,10.7,7.7
112,112,Sterling Shepard,WR,NYG,0,0,0,0,0,6,47,0,0,0,0,0.0,10.7,7.7
113,113,Myles Gaskin,RB,MIA,0,0,0,40,0,4,26,0,0,0,0,0.0,10.6,8.6
114,114,Jared Goff,QB,LA,275,0,1,15,0,0,0,0,0,0,0,0.0,10.5,11.5
115,115,Emmanuel Sanders,WR,NO,0,0,0,0,0,3,15,1,0,0,0,0.0,10.5,9.0
116,116,Darren Waller,TE,LV,0,0,0,0,0,6,45,0,0,0,0,0.0,10.5,7.5
117,117,Devin Singletary,RB,BUF,0,0,0,30,0,5,23,0,0,0,0,0.0,10.3,7.800000000000001
118,118,Josh Adams,RB,0,0,0,0,8,1,2,14,0,0,0,0,0.0,10.2,9.2
119,119,Ronald Jones,RB,TB,0,0,0,66,0,2,16,0,0,0,0,0.0,10.2,9.200000000000001
120,120,A.J. Green,WR,CIN,0,0,0,0,0,5,51,0,0,0,0,0.0,10.1,7.6000000000000005
121,121,James Robinson,RB,JAX,0,0,0,62,0,1,28,0,0,0,0,0.0,10.0,9.5
122,122,Baker Mayfield,QB,CLE,189,1,1,3,0,0,0,0,0,0,0,0.0,9.86,10.860000000000001
123,123,Cole Beasley,WR,BUF,0,0,0,0,0,4,58,0,0,0,0,0.0,9.8,7.800000000000001
124,124,Austin Ekeler,RB,LAC,0,0,0,84,0,1,3,0,0,0,0,0.0,9.7,9.200000000000001
125,125,Diontae Johnson,WR,PIT,0,0,0,0,0,6,57,0,0,0,0,0.0,9.7,8.7
126,126,Sony Michel,RB,NE,0,0,0,37,1,0,0,0,0,0,0,0.0,9.7,9.7
127,127,Jerry Jeudy,WR,DEN,0,0,0,0,0,4,56,0,0,0,0,0.0,9.6,7.6000000000000005
128,128,Henry Ruggs III,WR,LV,0,0,0,11,0,3,55,0,0,0,0,0.0,9.6,8.1
129,129,Marvin Jones,WR,DET,0,0,0,0,0,4,55,0,0,0,0,0.0,9.5,7.5
130,130,D.J. Moore,WR,CAR,0,0,0,0,0,4,54,0,0,0,0,0.0,9.4,7.4
131,131,Nelson Agholor,WR,LV,0,0,0,0,0,1,23,1,0,0,0,0.0,9.3,8.8
132,132,T.Y. Hilton,WR,IND,0,0,0,0,0,4,53,0,0,0,0,0.0,9.3,7.300000000000001
133,133,George Kittle,TE,SF,0,0,0,9,0,4,44,0,0,0,0,0.0,9.3,7.300000000000001
134,134,Curtis Samuel,WR,CAR,0,0,0,5,0,5,38,0,0,0,0,0.0,9.3,6.800000000000001
135,135,Tyrod Taylor,QB,LAC,208,0,0,7,0,0,0,0,0,0,0,0.0,9.02,9.02
136,136,A.J. Brown,WR,TEN,0,0,0,0,0,5,39,0,0,0,0,0.0,8.9,6.4
137,137,DeVante Parker,WR,MIA,0,0,0,0,0,4,47,0,0,0,0,0.0,8.7,6.7
138,138,Bisi Johnson,WR,MIN,0,0,0,0,0,3,56,0,0,0,0,0.0,8.6,7.1000000000000005
139,139,Marlon Mack,RB,IND,0,0,0,26,0,3,30,0,0,0,0,0.0,8.6,7.1
140,140,C.J. Uzomah,TE,CIN,0,0,0,0,0,4,45,0,0,0,0,0.0,8.5,6.5
141,141,David Montgomery,RB,CHI,0,0,0,64,0,1,10,0,0,0,0,0.0,8.4,7.9
142,142,Carlos Hyde,RB,SEA,0,0,0,23,1,0,0,0,0,0,0,0.0,8.3,8.3
143,143,Devontae Booker,RB,LV,0,0,0,29,0,3,23,0,0,0,0,0.0,8.2,6.700000000000001
144,144,James White,RB,NE,0,0,0,22,0,3,30,0,0,0,0,0.0,8.2,6.7
145,145,Jamaal Williams,RB,GB,0,0,0,21,0,4,21,0,0,0,0,0.0,8.2,6.199999999999999
146,146,Greg Ward,WR,PHI,0,0,0,0,0,5,31,0,0,0,0,0.0,8.1,5.6
147,147,Michael Gallup,WR,DAL,0,0,0,0,0,3,50,0,0,0,0,0.0,8.0,6.5
148,148,Cooper Kupp,WR,LA,0,0,0,0,0,4,40,0,0,0,0,0.0,8.0,6.0
149,149,Steven Sims,WR,WAS,0,0,0,0,0,3,50,0,0,0,0,0.0,8.0,6.5
150,150,Jack Doyle,TE,IND,0,0,0,0,0,3,49,0,0,0,0,0.0,7.9,6.4
151,151,Keenan Allen,WR,LAC,0,0,0,0,0,4,37,0,0,0,0,0.0,7.7,5.7
152,152,Chris Herndon,TE,NYJ,0,0,0,0,0,6,37,0,0,0,0,0.0,7.7,6.7
153,153,Larry Fitzgerald,WR,ARI,0,0,0,0,0,4,34,0,0,0,0,0.0,7.4,5.4
154,154,Boston Scott,RB,PHI,0,0,0,35,0,2,19,0,0,0,0,0.0,7.4,6.4
155,155,Tyler Boyd,WR,CIN,0,0,0,0,0,4,33,0,0,0,0,0.0,7.3,5.300000000000001
156,156,Quintez Cephus,WR,DET,0,0,0,0,0,3,43,0,0,0,0,0.0,7.3,5.8
157,157,Mike Evans,WR,TB,0,0,0,0,0,1,2,1,0,0,0,0.0,7.2,6.7
158,158,MyCole Pruitt,TE,TEN,0,0,0,0,0,1,1,1,0,0,0,0.0,7.1,6.6
159,159,Javon Wims,WR,CHI,0,0,0,0,0,1,1,1,0,0,0,0.0,7.1,6.6
160,160,Tyler Higbee,TE,LA,0,0,0,0,0,3,40,0,0,0,0,0.0,7.0,5.5
161,161,David Moore,WR,SEA,0,0,0,12,0,3,28,0,0,0,0,0.0,7.0,5.5
162,162,N'Keal Harry,WR,NE,0,0,0,0,0,5,39,0,0,0,0,0.0,6.9,6.4
163,163,Tim Patrick,WR,DEN,0,0,0,0,0,4,29,0,0,0,0,0.0,6.9,4.9
164,164,Giovani Bernard,RB,CIN,0,0,0,7,0,4,21,0,0,0,0,0.0,6.8,4.800000000000001
165,165,Hayden Hurst,TE,ATL,0,0,0,0,0,3,38,0,0,0,0,0.0,6.8,5.300000000000001
166,166,Darnell Mooney,WR,CHI,0,0,0,0,0,3,38,0,0,0,0,0.0,6.8,5.300000000000001
167,167,Miles Boykin,WR,BAL,0,0,0,0,0,3,37,0,0,0,0,0.0,6.7,5.2
168,168,Chase Claypool,WR,PIT,0,0,0,8,0,2,39,0,0,0,0,0.0,6.7,5.7
169,169,Tarik Cohen,RB,CHI,0,0,0,41,0,2,6,0,0,0,0,0.0,6.7,5.700000000000001
170,170,Jordan Howard,RB,MIA,0,0,0,7,1,0,0,0,0,0,0,0.0,6.7,6.7
171,171,Le'Veon Bell,RB,KC,0,0,0,14,0,2,32,0,0,0,0,0.0,6.6,5.6000000000000005
172,172,DeSean Jackson,WR,PHI,0,0,0,0,0,2,46,0,0,0,0,0.0,6.6,5.6000000000000005
173,173,Jalen Reagor,WR,PHI,0,0,0,0,0,1,55,0,0,0,0,0.0,6.5,6.0
174,174,Antonio Gibson,RB,WAS,0,0,0,36,0,2,8,0,0,0,0,0.0,6.4,5.3999999999999995
175,175,Joe Mixon,RB,CIN,0,0,0,69,0,1,2,0,0,0,0,0.0,6.1,7.6000000000000005
176,176,Preston Williams,WR,MIA,0,0,0,0,0,2,41,0,0,0,0,0.0,6.1,5.1000000000000005
177,177,Mike Gesicki,TE,MIA,0,0,0,0,0,3,30,0,0,0,0,0.0,6.0,4.5
178,178,Kyle Juszczyk,RB,SF,0,0,0,7,0,1,41,0,0,0,0,0.0,5.8,5.300000000000001
179,179,Nick Chubb,RB,CLE,0,0,0,60,0,1,6,0,0,0,0,0.0,5.6,7.1
180,180,Jakeem Grant,WR,MIA,0,0,0,0,0,3,25,0,0,0,0,0.0,5.5,4.0
181,181,Ryan Fitzpatrick,QB,MIA,191,0,3,18,0,0,0,0,0,0,1,0.0,5.44,8.440000000000001
182,182,Kendrick Bourne,WR,SF,0,0,0,0,0,2,34,0,0,0,0,0.0,5.4,4.4
183,183,Tyler Ervin,RB,GB,0,0,0,38,0,1,6,0,0,0,0,0.0,5.4,4.9
184,184,Cam Akers,RB,LA,0,0,0,39,0,1,4,0,0,0,0,0.0,5.3,4.800000000000001
185,185,Taysom Hill,QB,NO,38,0,0,13,0,1,14,0,0,0,0,0.0,5.22,4.720000000000001
186,186,Odell Beckham Jr.,WR,CLE,0,0,0,0,0,3,22,0,0,0,0,0.0,5.2,3.7
187,187,Tony Pollard,RB,DAL,0,0,0,10,0,2,22,0,0,0,0,0.0,5.2,4.2
