,Unnamed: 0,Name,Position,Team,Pass Yds,Pass TD,Pass INT,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Ret TD,Fumb TD,2PT,Fumb Lost,Points Total,Paddy
0,0,Derrick Henry,RB,TEN,0,0,0,212,2,2,52,0,0,0,0,0.0,40.4,39.400000000000006
1,1,Justin Jefferson,WR,MIN,0,0,0,0,0,9,166,2,0,0,1,0.0,39.6,35.1
2,2,Julio Jones,WR,ATL,0,0,0,0,0,8,137,2,0,0,0,0.0,33.7,29.700000000000003
3,3,Deshaun Watson,QB,HOU,335,4,0,26,0,0,0,0,0,0,0,0.0,32.0,32.0
4,4,Matt Ryan,QB,ATL,371,4,0,8,0,0,0,0,0,0,0,0.0,31.64,31.64
5,5,Carson Wentz,QB,PHI,213,2,0,49,1,0,0,0,0,0,2,0.0,29.42,31.42
6,6,Kyler Murray,QB,ARI,188,2,0,74,1,0,0,0,0,0,0,0.0,28.92,28.92
7,7,Ryan Tannehill,QB,TEN,366,4,1,0,0,0,0,0,0,0,1,0.0,28.64,31.64
8,8,Kenyan Drake,RB,ARI,0,0,0,164,2,0,0,0,0,0,0,0.0,28.4,28.400000000000002
9,9,Lamar Jackson,QB,BAL,186,1,0,108,1,0,0,0,0,0,0,0.0,28.24,28.240000000000002
10,10,D'Andre Swift,RB,DET,0,0,0,116,2,3,7,0,0,0,0,0.0,27.3,25.8
11,11,Ronald Jones,RB,TB,0,0,0,113,2,2,8,0,0,0,0,0.0,26.1,25.1
12,12,Anthony Firkser,TE,TEN,0,0,0,0,0,8,113,1,0,0,0,0.0,25.3,21.3
13,13,Philip Rivers,QB,IND,371,3,1,-1,0,0,0,0,0,0,0,0.0,24.74,25.74
14,14,Will Fuller,WR,HOU,0,0,0,0,0,6,123,1,0,0,0,0.0,24.3,21.3
15,15,George Kittle,TE,SF,0,0,0,0,0,7,109,1,0,0,0,0.0,23.9,20.4
16,16,Kirk Cousins,QB,MIN,343,3,3,0,0,0,0,0,0,0,2,0.0,23.72,26.72
17,17,Jimmy Garoppolo,QB,SF,268,3,0,8,0,0,0,0,0,0,0,0.0,23.52,23.52
18,18,A.J. Brown,WR,TEN,0,0,0,0,0,5,58,2,0,0,0,0.0,22.8,20.3
19,19,Christian Kirk,WR,ARI,0,0,0,0,0,2,86,2,0,0,0,0.0,22.6,21.6
20,20,Trey Burton,TE,IND,0,0,0,1,1,4,58,1,0,0,0,0.0,21.9,19.9
21,21,Brandin Cooks,WR,HOU,0,0,0,0,0,9,68,1,0,0,0,0.0,21.8,17.3
22,22,Travis Kelce,TE,KC,0,0,0,0,0,5,65,2,0,0,0,0.0,21.5,21.0
23,23,Amari Cooper,WR,DAL,0,0,0,0,0,7,79,1,0,0,0,0.0,20.9,17.4
24,24,Clyde Edwards-Helaire,RB,KC,0,0,0,161,0,4,8,0,0,0,0,0.0,20.9,18.900000000000002
25,25,Patrick Mahomes,QB,KC,225,2,0,36,0,0,0,0,0,0,0,0.0,20.6,20.6
26,26,Darren Fells,TE,HOU,0,0,0,0,0,6,85,1,0,0,0,0.0,20.5,17.5
27,27,Keelan Cole,WR,JAX,0,0,0,0,0,6,143,0,0,0,0,0.0,20.3,17.3
28,28,Travis Fulgham,WR,PHI,0,0,0,0,0,6,75,1,0,0,0,0.0,19.5,16.5
29,29,Calvin Ridley,WR,ATL,0,0,0,8,0,6,61,1,0,0,0,0.0,18.9,15.9
30,30,Rob Gronkowski,TE,TB,0,0,0,0,0,5,78,1,0,0,0,0.0,18.8,16.3
31,31,Tee Higgins,WR,CIN,0,0,0,2,0,6,125,0,0,0,0,0.0,18.7,15.7
32,32,Cam Newton,QB,NE,157,0,2,76,1,1,16,0,0,0,0,0.0,18.48,19.980000000000004
33,33,Adam Humphries,WR,TEN,0,0,0,0,0,6,64,1,0,0,0,0.0,18.4,15.4
34,34,Gardner Minshew,QB,JAX,243,1,1,14,1,1,0,0,0,0,0,0.0,18.12,20.62
35,35,Chase Claypool,WR,PIT,0,0,0,7,1,4,74,0,0,0,0,0.0,18.1,16.1
36,36,Deebo Samuel,WR,SF,0,0,0,-6,0,6,66,1,0,0,0,0.0,18.0,15.0
37,37,A.J. Green,WR,CIN,0,0,0,0,0,8,96,0,0,0,0,0.0,17.6,13.600000000000001
38,38,James Conner,RB,PIT,0,0,0,101,1,1,1,0,0,0,0,0.0,17.2,16.700000000000003
39,39,James Washington,WR,PIT,0,0,0,0,0,4,68,1,0,0,0,0.0,16.8,14.8
40,40,Joe Burrow,QB,CIN,313,0,1,2,1,0,0,0,0,0,0,0.0,16.72,17.72
41,41,Stefon Diggs,WR,BUF,0,0,0,0,0,6,46,1,0,0,0,0.0,16.6,13.600000000000001
42,42,Myles Gaskin,RB,MIA,0,0,0,91,0,4,35,0,0,0,0,0.0,16.6,14.6
43,43,Nick Foles,QB,CHI,198,1,1,4,1,0,0,0,0,0,0,0.0,16.32,17.32
44,44,Ryan Fitzpatrick,QB,MIA,191,3,2,4,0,0,0,0,0,0,0,0.0,16.04,18.04
45,45,Kyle Allen,QB,WAS,280,2,1,8,0,0,0,0,0,0,0,0.0,16.0,19.000000000000004
46,46,Marcus Johnson,WR,IND,0,0,0,0,0,5,108,0,0,0,0,0.0,15.8,13.3
47,47,Hayden Hurst,TE,ATL,0,0,0,0,0,4,57,1,0,0,0,0.0,15.7,13.7
48,48,Jonathan Taylor,RB,IND,0,0,0,60,0,4,55,0,0,0,0,0.0,15.5,13.5
49,49,Zach Pascal,WR,IND,0,0,0,0,0,4,54,1,0,0,0,0.0,15.4,13.4
50,50,James Robinson,RB,JAX,0,0,0,29,0,4,24,1,0,0,0,0.0,15.3,13.3
51,51,James White,RB,NE,0,0,0,8,0,8,65,0,0,0,0,0.0,15.3,11.3
52,52,Josh Allen,QB,BUF,122,2,1,42,0,0,0,0,0,0,0,0.0,15.08,16.08
53,53,Jared Goff,QB,LA,198,2,1,10,0,0,0,0,0,0,0,0.0,14.92,15.92
54,54,Joe Mixon,RB,CIN,0,0,0,54,1,2,15,0,0,0,0,0.0,14.9,13.9
55,55,Tom Brady,QB,TB,166,2,0,0,0,0,0,0,0,0,0,0.0,14.64,14.64
56,56,Cole Beasley,WR,BUF,0,0,0,0,0,4,45,1,0,0,0,0.0,14.5,12.5
57,57,Kenny Golladay,WR,DET,0,0,0,0,0,4,105,0,0,0,0,0.0,14.5,12.5
58,58,J.D. McKissic,RB,WAS,0,0,0,41,0,6,43,0,0,0,0,0.0,14.4,11.4
59,59,Terry McLaurin,WR,WAS,0,0,0,0,0,7,74,0,0,0,0,0.0,14.4,10.9
60,60,D.J. Moore,WR,CAR,0,0,0,0,0,5,93,0,0,0,0,0.0,14.3,11.8
61,61,Tim Patrick,WR,DEN,0,0,0,0,0,4,101,0,0,0,0,0.0,14.1,12.100000000000001
62,62,Adam Shaheen,TE,MIA,0,0,0,0,0,3,51,1,0,0,0,0.0,14.1,12.600000000000001
63,63,Adam Thielen,WR,MIN,0,0,0,0,0,3,51,1,0,0,0,0.0,14.1,12.600000000000001
64,64,Robert Woods,WR,LA,0,0,0,11,0,4,29,1,0,0,0,0.0,14.0,12.0
65,65,David Johnson,RB,HOU,0,0,0,57,1,1,12,0,0,0,0,0.0,13.9,13.399999999999999
66,66,Daniel Jones,QB,NYG,112,1,1,74,0,0,0,0,0,0,0,0.0,13.88,14.88
67,67,David Montgomery,RB,CHI,0,0,0,58,0,4,39,0,0,0,0,0.0,13.7,11.700000000000001
68,68,CeeDee Lamb,WR,DAL,0,0,0,0,0,7,64,0,0,0,0,0.0,13.4,9.9
69,69,Logan Thomas,TE,WAS,0,0,0,0,0,3,42,1,0,0,0,0.0,13.2,11.7
70,70,Aaron Jones,RB,GB,0,0,0,15,1,3,26,0,0,0,0,0.0,13.1,11.6
71,71,Tyler Boyd,WR,CIN,0,0,0,25,0,5,54,0,0,0,0,0.0,12.9,10.4
72,72,Adrian Peterson,RB,DET,0,0,0,40,1,1,18,0,0,0,0,0.0,12.8,12.3
73,73,Josh Reynolds,WR,LA,0,0,0,0,0,2,45,1,0,0,0,0.0,12.5,11.5
74,74,Matthew Stafford,QB,DET,223,1,1,14,0,0,0,0,0,0,0,0.0,12.32,13.32
75,75,Nick Boyle,TE,BAL,0,0,0,0,0,3,33,1,0,0,0,0.0,12.3,10.8
76,76,Miles Sanders,RB,PHI,0,0,0,118,0,1,-6,0,0,0,0,0.0,12.2,11.700000000000001
77,77,Davante Adams,WR,GB,0,0,0,0,0,6,61,0,0,0,0,0.0,12.1,9.100000000000001
78,78,Ezekiel Elliott,RB,DAL,0,0,0,49,0,8,31,0,0,0,0,0.0,12.0,12.0
79,79,Demarcus Robinson,WR,KC,0,0,0,0,0,5,69,0,0,0,0,0.0,11.9,9.4
80,80,Giovani Bernard,RB,CIN,0,0,0,15,1,3,13,0,0,0,0,0.0,11.8,10.3
81,81,Jamison Crowder,WR,NYJ,0,0,0,0,0,7,48,0,0,0,0,0.0,11.8,8.3
82,82,Darius Slayton,WR,NYG,0,0,0,-3,0,2,41,1,0,0,0,0.0,11.8,10.8
83,83,Robby Anderson,WR,CAR,0,0,0,0,0,4,77,0,0,0,0,0.0,11.7,9.7
84,84,D.J. Chark,WR,JAX,0,0,0,0,0,7,45,0,0,0,0,0.0,11.5,8.0
85,85,Mike Davis,RB,CAR,0,0,0,52,1,2,3,0,0,0,0,0.0,11.5,12.5
86,86,Irv Smith,TE,MIN,0,0,0,0,0,4,55,0,0,0,1,0.0,11.5,9.5
87,87,Darrel Williams,RB,KC,0,0,0,26,1,1,15,0,0,0,0,0.0,11.1,10.6
88,88,Andy Dalton,QB,DAL,266,1,2,4,0,0,0,0,0,0,0,0.0,11.04,13.040000000000001
89,89,Frank Gore,RB,NYJ,0,0,0,46,0,4,24,0,0,0,0,0.0,11.0,9.0
90,90,Ben Roethlisberger,QB,PIT,162,1,0,5,0,0,0,0,0,0,0,0.0,10.98,10.98
91,91,Randall Cobb,WR,HOU,0,0,0,0,0,3,17,1,0,0,0,0.0,10.7,9.2
92,92,Russell Gage,WR,ATL,0,0,0,0,0,4,65,0,0,0,0,0.0,10.5,8.5
93,93,Allen Robinson,WR,CHI,0,0,0,0,0,5,53,0,0,0,0,0.0,10.3,7.800000000000001
94,94,Austin Hooper,TE,CLE,0,0,0,0,0,5,52,0,0,0,0,0.0,10.2,7.7
95,95,Breshad Perriman,WR,NYJ,0,0,0,0,0,4,62,0,0,0,0,0.0,10.2,8.2
96,96,Phillip Lindsay,RB,DEN,0,0,0,101,0,0,0,0,0,0,0,0.0,10.1,10.100000000000001
97,97,Cole Kmet,TE,CHI,0,0,0,0,0,2,20,1,0,0,0,0.0,10.0,9.0
98,98,Jack Doyle,TE,IND,0,0,0,0,0,3,29,1,0,0,0,0.0,9.9,10.4
99,99,Chris Godwin,WR,TB,0,0,0,0,0,5,48,0,0,0,0,0.0,9.8,7.300000000000001
100,100,Preston Williams,WR,MIA,0,0,0,0,0,2,18,1,0,0,0,0.0,9.8,8.8
101,101,Marquise Brown,WR,BAL,0,0,0,0,0,4,57,0,0,0,0,0.0,9.7,7.7
102,102,Todd Gurley,RB,ATL,0,0,0,47,0,3,20,0,0,0,0,0.0,9.7,8.2
103,103,T.J. Hockenson,TE,DET,0,0,0,0,0,2,17,1,0,0,0,0.0,9.7,8.7
104,104,Raheem Mostert,RB,SF,0,0,0,65,0,2,11,0,0,0,0,0.0,9.6,8.6
105,105,Antonio Gibson,RB,WAS,0,0,0,30,0,4,25,0,0,0,0,0.0,9.5,7.5
106,106,Dontrelle Inman,WR,WAS,0,0,0,0,0,5,45,0,0,0,0,0.0,9.5,7.0
107,107,Teddy Bridgewater,QB,CAR,216,0,2,48,0,0,0,0,0,0,0,0.0,9.44,11.440000000000001
