,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
1,111,A.J. Dillon,GB,RB,0.0,09/20/2020,Lions,W 42 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,3.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002
2,166,A.J. Green,CIN,WR,0.0,09/18/2020,@Browns,L 30 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,9.7,15.0,0.0,0.0,0.0,0.0,0.0,4.4
4,252,Aaron Jones,GB,RB,0.0,09/20/2020,Lions,W 42 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,168.0,9.3,75.0,2.0,4.0,68.0,17.0,30.0,1.0,0.0,0.0,0.0,0.0,43.6
5,384,Aaron Rodgers,GB,QB,0.0,09/20/2020,Lions,W 42 - 21,18.0,30.0,240.0,8.0,2.0,0.0,1.0,11.0,107.6,2.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8
6,198,Adam Humphries,TEN,WR,0.0,09/20/2020,Jaguars,W 33 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,48.0,9.6,18.0,1.0,0.0,0.0,0.0,0.0,13.3
7,437,Adam Shaheen,MIA,TE,0.0,09/20/2020,Bills,L 28 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9
8,463,Adam Thielen,MIN,WR,0.0,09/20/2020,@Colts,L 11 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,10.3,18.0,0.0,0.0,0.0,0.0,0.0,4.6
9,450,Adam Trautman,NO,TE,0.0,09/22/2020,@Raiders,L 24 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,2.2
10,362,Adrian Peterson,DET,RB,0.0,09/20/2020,@Packers,L 21 - 42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,5.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1000000000000005
14,338,Alexander Mattison,MIN,RB,0.0,09/20/2020,@Colts,L 11 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.3,11.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.1
15,295,Allen Lazard,GB,WR,0.0,09/20/2020,Lions,W 42 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,45.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,6.0
16,387,Allen Robinson,CHI,WR,0.0,09/20/2020,Giants,W 17 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001
18,285,Alvin Kamara,NO,RB,0.0,09/22/2020,@Raiders,L 24 - 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,79.0,6.1,21.0,2.0,9.0,95.0,10.6,20.0,0.0,0.0,0.0,0.0,0.0,33.9
19,71,Amari Cooper,DAL,WR,0.0,09/20/2020,Falcons,W 40 - 39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,16.7,58.0,0.0,0.0,0.0,0.0,0.0,13.0
23,121,Andy Dalton,DAL,QB,0.0,09/20/2020,Falcons,W 40 - 39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,242,Andy Isabella,ARI,WR,0.0,09/20/2020,Football Team,W 30 - 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,33.5,54.0,0.0,0.0,0.0,0.0,0.0,7.7
25,266,Andy Janovich,CLE,RB,0.0,09/18/2020,Bengals,W 35 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
26,153,Anthony Firkser,TEN,TE,0.0,09/20/2020,Jaguars,W 33 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,45.0,11.3,16.0,0.0,0.0,0.0,0.0,0.0,6.5
28,318,Anthony Miller,CHI,WR,0.0,09/20/2020,Giants,W 17 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,186,Antonio Gandy-Golden,WAS,WR,0.0,09/20/2020,@Cardinals,L 15 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8
31,181,Antonio Gibson,WAS,RB,0.0,09/20/2020,@Cardinals,L 15 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,4.2,11.0,1.0,1.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,11.7
32,101,Ashton Dulin,IND,WR,0.0,09/20/2020,Vikings,W 28 - 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.1
34,132,Austin Ekeler,LAC,RB,0.0,09/20/2020,Chiefs,L 20 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,93.0,5.8,13.0,0.0,4.0,55.0,13.8,22.0,0.0,0.0,0.0,0.0,0.0,16.8
35,206,Austin Hooper,CLE,TE,0.0,09/18/2020,Bengals,W 35 - 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,3.2
36,337,Baker Mayfield,CLE,QB,0.0,09/18/2020,Bengals,W 35 - 30,16.0,23.0,219.0,9.5,2.0,1.0,0.0,0.0,110.6,3.0,5.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.259999999999998
39,382,Ben Roethlisberger,PIT,QB,0.0,09/20/2020,Broncos,W 26 - 21,29.0,41.0,311.0,7.6,2.0,1.0,1.0,10.0,98.7,3.0,-2.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.24
41,415,Benny Snell,PIT,RB,0.0,09/20/2020,Broncos,W 26 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.7,3.0,0.0,1.0,-4.0,-4.0,-4.0,0.0,1.0,1.0,0.0,0.0,-1.4
42,258,Bisi Johnson,MIN,WR,0.0,09/20/2020,@Colts,L 11 - 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
44,55,Blake Bell,DAL,TE,0.0,09/20/2020,Falcons,W 40 - 39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,4.4
45,439,Boston Scott,PHI,RB,0.0,09/20/2020,Rams,L 19 - 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,4.8,9.0,0.0,3.0,24.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,5.800000000000001
46,72,Brandin Cooks,HOU,WR,0.0,09/20/2020,Ravens,L 16 - 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,95.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,12.0
47,13,Brandon Aiyuk,SF,WR,0.0,09/20/2020,@Jets,W 31 - 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,13.0,0.0,0.0,0.0,0.0,0.0,3.1
50,51,Braxton Berrios,NYJ,WR,0.0,09/20/2020,49ers,L 13 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,9.8,30.0,1.0,0.0,0.0,0.0,0.0,14.9
51,366,Breshad Perriman,NYJ,WR,0.0,09/20/2020,49ers,L 13 - 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,2.2
53,221,Brian Hill,ATL,RB,0.0,09/20/2020,@Cowboys,L 39 - 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,4.7,10.0,0.0,2.0,11.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,3.5000000000000004
55,317,Bruce Miller,JAX,RB,0.0,09/20/2020,@Titans,L 30 - 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,136,Bryan Edwards,LV,WR,0.0,09/22/2020,Saints,W 34 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,5.2
62,48,C.J. Board,NYG,WR,0.0,09/20/2020,@Bears,L 13 - 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.7,12.0,0.0,0.0,0.0,0.0,0.0,4.7
64,473,C.J. Uzomah,CIN,TE,0.0,09/18/2020,@Browns,L 30 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,10.5,23.0,1.0,0.0,0.0,0.0,0.0,12.2
