,Unnamed: 0,Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST,2PT,RET TD,Paddy
33,302,Ben Roethlisberger,PIT,QB,0.0,10/25/2020,@Titans,W 27 - 24,32.0,49.0,268.0,5.5,2.0,3.0,0.0,0.0,67.4,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.62
34,328,Benny Snell,PIT,RB,0.0,10/25/2020,@Titans,W 27 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
38,346,Boston Scott,PHI,RB,0.0,10/23/2020,Giants,W 22 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,3.8,12.0,0.0,3.0,46.0,15.3,18.0,1.0,0.0,0.0,0.0,0.0,16.700000000000003
39,59,Brandin Cooks,HOU,WR,0.0,10/25/2020,Packers,L 20 - 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,9.5
40,9,Brandon Aiyuk,SF,WR,0.0,10/25/2020,@Patriots,W 33 - 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,115.0,19.2,35.0,0.0,0.0,0.0,0.0,0.0,14.5
41,284,Brandon Powell,ATL,WR,0.0,10/25/2020,Lions,L 22 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9
42,414,Brandon Zylstra,CAR,WR,0.0,10/25/2020,@Saints,L 24 - 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9
43,39,Braxton Berrios,NYJ,WR,0.0,10/25/2020,Bills,L 10 - 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,8.8,22.0,0.0,0.0,0.0,0.0,0.0,5.5
44,290,Breshad Perriman,NYJ,WR,0.0,10/25/2020,Bills,L 10 - 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,13.5,19.0,0.0,0.0,0.0,0.0,0.0,3.7
47,167,Brian Hill,ATL,RB,0.0,10/25/2020,Lions,L 22 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,2.0,0.0,3.0,27.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,4.5
