,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Younghoe Koo,K,ATL,3,-,1,1,2,-,15.00
1,Justin Tucker,K,BAL,3,-,1,2,1,-,15.00
2,Rodrigo Blankenship,K,IND,2,-,1,2,1,-,14.00
3,Harrison Butker,K,KC,-,-,-,1,-,2,13.00
4,Randy Bullock,K,CIN,3,-,1,1,1,-,12.00
5,Daniel Carlson,K,LV,4,-,1,-,-,1,12.00
6,Zane Gonzalez,K,ARI,3,-,1,1,1,-,12.00
7,Stephen Gostkowski,K,TEN,3,-,-,-,1,1,11.00
8,Mason Crosby,K,GB,4,-,-,1,1,-,10.00
9,Ka'imi Fairbairn,K,HOU,1,-,-,1,2,-,10.00
10,Jason Sanders,K,MIA,2,-,-,-,1,1,10.00
11,Greg Zuerlein,K,DAL,4,-,-,1,1,-,10.00
12,Mike Badgley,K,LAC,2,-,1,-,1,-,8.00
13,Tyler Bass,K,BUF,4,-,-,1,-,-,7.00
14,Jake Elliott,K,PHI,1,-,-,2,-,-,7.00
15,Sam Ficken,K,NYJ,1,-,1,-,1,-,7.00
16,Graham Gano,K,NYG,1,-,-,2,-,-,7.00
17,Robbie Gould,K,SF,4,-,-,-,1,-,7.00
18,Brandon McManus,K,DEN,1,-,1,-,1,-,7.00
19,Sam Sloman,K,LA,4,-,-,1,-,-,7.00
20,Ryan Succop,K,TB,4,-,-,1,-,-,7.00
21,Chris Boswell,K,PIT,3,-,1,-,-,-,6.00
22,Nick Folk,K,NE,3,-,1,-,-,-,6.00
23,Josh Lambo,K,JAX,3,-,-,1,-,-,6.00
24,Wil Lutz,K,NO,3,-,-,1,-,-,6.00
25,Jason Myers,K,SEA,5,-,-,-,-,-,5.00
26,Cody Parkey,K,CLE,5,-,-,-,-,-,5.00
27,Cairo Santos,K,CHI,2,-,-,1,-,-,5.00
28,Joey Slye,K,CAR,2,-,1,-,-,-,5.00
29,Dan Bailey,K,MIN,-,-,1,-,-,-,3.00
30,Dustin Hopkins,K,WAS,-,-,1,-,-,-,3.00
31,Matt Prater,K,DET,3,-,-,-,-,-,3.00
32,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
33,Jon Brown,K,JAX,-,-,-,-,-,-,0.00
34,Kai Forbath,K,CAR,-,-,-,-,-,-,0.00
35,Elliott Fry,K,,-,-,-,-,-,-,0.00
36,Matt Gay,K,,-,-,-,-,-,-,0.00
37,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
38,Stephen Hauschka,K,JAX,-,-,-,-,-,-,0.00
39,Greg Joseph,K,,-,-,-,-,-,-,0.00
40,Ty Long,K,LAC,-,-,-,-,-,-,0.00
41,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
42,Brett Maher,K,WAS,-,-,-,-,-,-,0.00
43,Tucker McCann,K,,-,-,-,-,-,-,0.00
44,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
45,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
46,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
47,Aldrick Rosas,K,,-,-,-,-,-,-,0.00
48,Austin Seibert,K,CLE,-,-,-,-,-,-,0.00
49,Kaare Vedvik,K,CAR,-,-,-,-,-,-,0.00
50,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
51,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
52,Nick Vogel,K,,-,-,-,-,-,-,0.00
53,Brandon Wright,K,JAX,-,-,-,-,-,-,0.00
