,Name,Team,Position,Salary
273,Kurt Benkert,ATL,QB,6000.0
272,Danny Etling,SEA,QB,6000.0
69,Kevin Davidson,CLE,QB,6000.0
216,Nathan Peterman,LV,QB,6000.0
732,Cole McDonald,TEN,QB,6000.0
649,Jordan Love,GB,QB,6000.0
750,Chad Henne,KC,QB,6000.0
471,DeShone Kizer,LV,QB,6000.0
221,AJ McCarron,HOU,QB,6000.0
596,Brian Lewerke,NE,QB,6000.0
482,Bryce Perkins,LAR,QB,6000.0
546,Ben DiNucci,DAL,QB,6000.0
219,Kenyan Drake,ARI,RB,6000.0
206,Brett Hundley,ARI,QB,6000.0
12,Jake Dolegala,NE,QB,6000.0
509,Josh Thomas,BUF,QB,6000.0
217,Tyler Bray,CHI,QB,6000.0
512,Tommy Stevens,NO,QB,6000.0
290,Joshua Dobbs,PIT,QB,6000.0
91,Blaine Gabbert,TB,QB,6000.0
1,Easton Stick,LAC,QB,6000.0
746,David Montgomery,CHI,RB,6000.0
407,Alex McGough,HOU,QB,6000.0
24,Colt McCoy,NYG,QB,6000.0
122,Case Keenum,CLE,QB,6000.0
558,Kyle Shurmur,KC,QB,6000.0
341,Cooper Rush,NYG,QB,6000.0
507,Riley Neal,DEN,QB,6000.0
396,Mason Rudolph,PIT,QB,6000.0
138,Mike Glennon,JAC,QB,6000.0
248,Paxton Lynch,PIT,QB,6000.0
72,Broc Rutter,SF,QB,6000.0
336,David Fales,NYJ,QB,6000.0
269,Chris Streveler,ARI,QB,6000.0
252,Ryan Griffin,TB,QB,6000.0
131,Jameis Winston,NO,QB,6000.0
651,Khalil Tate,PHI,QB,6000.0
752,Julian Edelman,NE,WR,6000.0
80,Jalen Morton,GB,QB,6000.0
311,Phillip Lindsay,DEN,RB,6000.0
83,Case Cookus,NYG,QB,6000.0
256,Blake Bortles,DEN,QB,6000.0
124,Alex Tanney,NYG,QB,6000.0
799,Chase Daniel,DET,QB,6000.0
198,Brandin Cooks,HOU,WR,5900.0
283,Mike Williams,LAC,WR,5900.0
773,Chase Edmonds,ARI,RB,5900.0
360,Tyler Higbee,LAR,TE,5900.0
475,Travis Fulgham,PHI,WR,5900.0
713,T.J. Hockenson,DET,TE,5900.0
591,Damien Harris,NE,RB,5800.0
409,John Brown,BUF,WR,5800.0
300,Hunter Henry,LAC,TE,5800.0
626,Diontae Johnson,PIT,WR,5800.0
807,Henry Ruggs III,LV,WR,5700.0
322,Evan Engram,NYG,TE,5700.0
116,Marvin Jones Jr.,DET,WR,5700.0
133,Devonta Freeman,NYG,RB,5700.0
809,Antonio Gibson,WAS,RB,5700.0
806,Tee Higgins,CIN,WR,5700.0
89,A.J. Green,CIN,WR,5600.0
808,Jerry Jeudy,DEN,WR,5600.0
633,Adrian Peterson,DET,RB,5600.0
671,Michael Gallup,DAL,WR,5600.0
570,Hayden Hurst,ATL,TE,5600.0
798,Laviska Shenault Jr.,JAC,WR,5500.0
760,Keelan Cole,JAC,WR,5500.0
635,DeSean Jackson,PHI,WR,5500.0
386,Leonard Fournette,TB,RB,5500.0
787,Brandon Aiyuk,SF,WR,5500.0
410,Jerick McKinnon,SF,RB,5500.0
228,Jarvis Landry,CLE,WR,5500.0
462,Tim Patrick,DEN,WR,5500.0
771,Dallas Goedert,PHI,TE,5500.0
291,Greg Ward,PHI,WR,5400.0
285,Austin Hooper,CLE,TE,5400.0
294,Marquez Valdes-Scantling,GB,WR,5400.0
673,Zack Moss,BUF,RB,5400.0
700,Mecole Hardman,KC,WR,5400.0
485,Christian Kirk,ARI,WR,5400.0
21,Rob Gronkowski,TB,TE,5400.0
22,Golden Tate,NYG,WR,5400.0
443,Deebo Samuel,SF,WR,5400.0
827,Jalen Reagor,PHI,WR,5300.0
27,Jimmy Graham,CHI,TE,5300.0
467,Tre'Quan Smith,NO,WR,5300.0
260,Darren Fells,HOU,TE,5300.0
127,Sammy Watkins,KC,WR,5300.0
384,Russell Gage,ATL,WR,5300.0
239,Malcolm Brown,LAR,RB,5300.0
257,Latavius Murray,NO,RB,5300.0
667,Darnell Mooney,CHI,WR,5300.0
325,Anthony Miller,CHI,WR,5200.0
415,Dalton Schultz,DAL,TE,5200.0
501,Scotty Miller,TB,WR,5200.0
345,Corey Davis,TEN,WR,5200.0
331,J.D. McKissic,WAS,RB,5200.0
259,Demarcus Robinson,KC,WR,5200.0
653,N'Keal Harry,NE,WR,5200.0
765,Kendrick Bourne,SF,WR,5200.0
188,James White,NE,RB,5200.0
154,Rex Burkhead,NE,RB,5200.0
643,Tyler Johnson,TB,WR,5200.0
118,Cole Beasley,BUF,WR,5100.0
431,Jeff Wilson Jr.,SF,RB,5100.0
93,Randall Cobb,HOU,WR,5100.0
436,James Washington,PIT,WR,5100.0
441,Royce Freeman,DEN,RB,5100.0
640,Frank Gore,NYJ,RB,5100.0
477,Hunter Renfrow,LV,WR,5100.0
214,Damiere Byrd,NE,WR,5100.0
390,Josh Reynolds,LAR,WR,5100.0
136,Eric Ebron,PIT,TE,5100.0
128,Adam Humphries,TEN,WR,5000.0
543,Tae Crowder,NYG,RB,5000.0
378,Curtis Samuel,CAR,WR,5000.0
175,Carlos Hyde,SEA,RB,5000.0
29,Buffalo Bills,BUF,DST,5000.0
804,Cam Akers,LAR,RB,5000.0
682,Kalif Raymond,TEN,WR,5000.0
793,John Hightower,PHI,WR,5000.0
459,Allen Lazard,GB,WR,5000.0
775,Trenton Cannon,CAR,RB,5000.0
348,Jamaal Williams,GB,RB,5000.0
125,Josh Gordon,SEA,WR,5000.0
766,Anthony Firkser,TEN,TE,5000.0
163,Tevin Coleman,SF,RB,5000.0
158,Sterling Shepard,NYG,WR,5000.0
146,Logan Thomas,WAS,TE,5000.0
394,Sony Michel,NE,RB,5000.0
663,Cedrick Wilson,DAL,WR,5000.0
610,JJ Arcega-Whiteside,PHI,WR,4900.0
412,Cameron Brate,TB,TE,4900.0
211,Chris Conley,JAC,WR,4900.0
606,Jalen Guyton,LAC,WR,4900.0
201,Nelson Agholor,LV,WR,4900.0
400,Brian Hill,ATL,RB,4900.0
472,D'Ernest Johnson,CLE,RB,4900.0
652,Greg Olsen,SEA,TE,4900.0
646,Larry Fitzgerald,ARI,WR,4900.0
759,David Moore,SEA,WR,4900.0
103,Dontrelle Inman,WAS,WR,4900.0
51,Tampa Bay Buccaneers,TB,DST,4900.0
534,Ke'Shawn Vaughn,TB,RB,4900.0
382,Darrel Williams,KC,RB,4900.0
692,Benny Snell Jr.,PIT,RB,4900.0
564,Kerryon Johnson,DET,RB,4800.0
347,Taysom Hill,NO,TE,4800.0
563,Tony Pollard,DAL,RB,4800.0
381,Dontrell Hilliard,CLE,RB,4800.0
544,Andy Isabella,ARI,WR,4800.0
466,Jordan Akins,HOU,TE,4800.0
655,Bryan Edwards,LV,WR,4800.0
709,Travis Homer,SEA,RB,4800.0
826,Gabriel Davis,BUF,WR,4800.0
769,Danny Amendola,DET,WR,4800.0
668,Collin Johnson,JAC,WR,4800.0
282,Wayne Gallman,NYG,RB,4800.0
255,Breshad Perriman,NYJ,WR,4800.0
137,Giovani Bernard,CIN,RB,4800.0
681,Darrynton Evans,TEN,RB,4800.0
41,New England Patriots,NE,DST,4800.0
690,Albert Okwuegbunam,DEN,TE,4800.0
111,Alshon Jeffery,PHI,WR,4800.0
278,Devontae Booker,LV,RB,4800.0
105,Chris Hogan,NYJ,WR,4800.0
705,Lamical Perine,NYJ,RB,4800.0
464,Gerald Everett,LAR,TE,4700.0
215,Cordarrelle Patterson,CHI,WR,4700.0
457,Will Dissly,SEA,TE,4700.0
454,Christian Blake,ATL,WR,4700.0
458,Drew Sample,CIN,TE,4700.0
32,Cleveland Browns,CLE,DST,4700.0
583,Jeff Smith,NYJ,WR,4700.0
592,Van Jefferson,LAR,WR,4700.0
373,Braxton Berrios,NYJ,WR,4700.0
589,Olamide Zaccheaus,ATL,WR,4700.0
791,KJ Hamler,DEN,WR,4700.0
132,Chris Thompson,JAC,RB,4700.0
636,LeSean McCoy,TB,RB,4700.0
97,Dion Lewis,NYG,RB,4700.0
113,Mohamed Sanu,SF,WR,4700.0
423,Reggie Bonnafon,CAR,RB,4700.0
656,Byron Pringle,KC,WR,4700.0
393,Isaiah McKenzie,BUF,WR,4700.0
141,Duke Johnson Jr.,HOU,RB,4700.0
730,Ian Thomas,CAR,TE,4600.0
426,Chris Herndon IV,NYJ,TE,4600.0
560,Lawrence Cager,NYJ,WR,4600.0
187,Alex Erickson,CIN,WR,4600.0
456,Dante Pettis,SF,WR,4600.0
157,Kenny Stills,HOU,WR,4600.0
182,Jesse James,DET,TE,4600.0
434,Ito Smith,ATL,RB,4600.0
726,J.J. Taylor,NE,RB,4600.0
364,Brandon Powell,ATL,WR,4600.0
582,Auden Tate,CIN,WR,4600.0
530,Steven Sims,WAS,WR,4600.0
774,Justin Watson,TB,WR,4600.0
723,Quintez Cephus,DET,WR,4600.0
703,Javon Wims,CHI,WR,4600.0
81,Reggie Begelton,GB,WR,4600.0
452,Noah Brown,DAL,WR,4600.0
631,Marcedes Lewis,GB,TE,4600.0
824,Antonio Gandy-Golden,WAS,WR,4600.0
623,JaMycal Hasty,SF,RB,4600.0
822,DeeJay Dallas,SEA,RB,4600.0
657,Freddie Swain,SEA,WR,4600.0
317,DaeSean Hamilton,DEN,WR,4600.0
10,Deonte Harris,NO,WR,4600.0
313,John Ross,CIN,WR,4600.0
622,Deontay Burnett,PHI,WR,4600.0
334,Boston Scott,PHI,RB,4600.0
480,Tyron Johnson,LAC,WR,4600.0
38,Kansas City Chiefs,KC,DST,4600.0
337,Tyler Ervin,GB,RB,4600.0
204,Ty Montgomery,NO,RB,4600.0
207,Marvin Hall,DET,WR,4600.0
641,Austin Mack,NYG,WR,4600.0
830,Sirgeo Hoffman,ARI,RB,4500.0
823,Jeff Thomas,NE,WR,4500.0
508,James Gilbert,LAR,RB,4500.0
831,Jermiah Braswell,ARI,WR,4500.0
756,Tarik Cohen,CHI,RB,4500.0
755,Chad Williams,KC,WR,4500.0
552,Isaiah Zuber,NE,WR,4500.0
751,Matthew Slater,NE,WR,4500.0
506,Jacques Patrick,CIN,RB,4500.0
504,Jauan Jennings,SF,WR,4500.0
505,George Campbell,NYJ,WR,4500.0
744,Binjimen Victor,NYG,WR,4500.0
545,Penny Hart,SEA,WR,4500.0
748,Quez Watkins,PHI,WR,4500.0
503,David Sills V,NYG,WR,4500.0
547,Quadree Henderson,PIT,WR,4500.0
542,Terry Godwin,JAC,WR,4500.0
548,John Kelly,CLE,RB,4500.0
747,Rashad Medaris,ARI,WR,4500.0
825,Darwin Thompson,KC,RB,4500.0
550,Kemah Siverand,SEA,WR,4500.0
792,Michael Warren II,PHI,RB,4500.0
764,C.J. Board,NYG,WR,4500.0
758,Alex Armah,CAR,RB,4500.0
786,Eno Benjamin,ARI,RB,4500.0
796,Ahmad Wagner,CHI,WR,4500.0
522,Tyrell Williams,LV,WR,4500.0
800,JoJo Ward,ARI,WR,4500.0
553,Dalton Schoen,LAC,WR,4500.0
527,Malik Henry,NO,WR,4500.0
801,Javon Leake,NYG,RB,4500.0
790,Dominique Dafney,GB,WR,4500.0
802,Scottie Phillips,HOU,RB,4500.0
811,Stephen Guidry,DAL,WR,4500.0
528,Omar Bayless,CAR,WR,4500.0
812,Donovan Peoples-Jones,CLE,WR,4500.0
789,Nick Easley,BUF,WR,4500.0
514,Deon Cain,PIT,WR,4500.0
513,Anthony Jones,SEA,RB,4500.0
541,Jordan Scarlett,CAR,RB,4500.0
784,KhaDarel Hodge,CLE,WR,4500.0
533,Ty Johnson,NYJ,RB,4500.0
782,Vyncint Smith,NYJ,WR,4500.0
535,Xavier Jones,LAR,RB,4500.0
817,Damion Willis,CIN,WR,4500.0
818,Cody White,PIT,WR,4500.0
770,Brandon Zylstra,CAR,WR,4500.0
819,Isaiah Hodgins,BUF,WR,4500.0
820,AJ Dillon,GB,RB,4500.0
537,K.J. Hill,LAC,WR,4500.0
539,Mike Weber,KC,RB,4500.0
821,Easop Winston Jr.,LAR,WR,4500.0
525,DeAndre Carter,HOU,WR,4500.0
743,Tony Jones Jr.,NO,RB,4500.0
725,Rico Dowdle,DAL,RB,4500.0
739,Aleva Hifo,KC,WR,4500.0
598,Josh Adams,NYJ,RB,4500.0
669,Trayveon Williams,CIN,RB,4500.0
603,Chris Finke,SF,WR,4500.0
670,Sewo Olonilua,DAL,RB,4500.0
602,Brandon Polk,LAR,WR,4500.0
601,Juwan Johnson,NO,WR,4500.0
600,Ryquell Armstead,JAC,RB,4500.0
672,Tavien Feaster,DET,RB,4500.0
597,Darrell Stewart Jr.,CAR,WR,4500.0
605,Equanimeous St. Brown,GB,WR,4500.0
675,Jason Huntley,PHI,RB,4500.0
595,Scotty Washington,CIN,WR,4500.0
680,Chester Rogers,TEN,WR,4500.0
594,DaMarkus Lodge,CIN,WR,4500.0
683,Reggie Gilliam,BUF,RB,4500.0
593,Dawson Knox,BUF,TE,4500.0
689,Ryan Becker,ARI,WR,4500.0
604,Dexter Williams,GB,RB,4500.0
664,Stephen Sullivan,SEA,WR,4500.0
738,Anthony Johnson,PIT,WR,4500.0
613,LeVante Bellamy,DEN,RB,4500.0
628,Ted Ginn Jr.,CHI,WR,4500.0
642,Antonio Williams,BUF,RB,4500.0
621,John Ursua,SEA,WR,4500.0
618,Sutton Smith,SEA,RB,4500.0
645,Jaleel Scott,NYJ,WR,4500.0
647,Devin Gray,ATL,WR,4500.0
614,Francis Bernard,DAL,RB,4500.0
612,Ja'Marcus Bradley,CLE,WR,4500.0
662,Greg Dortch,LAR,WR,4500.0
650,Jonathan Ward,ARI,RB,4500.0
611,Michael Jacquet,PHI,WR,4500.0
609,Trenton Irwin,CIN,WR,4500.0
658,Josh Hammond,JAC,WR,4500.0
608,Cameron Scarlett,TEN,RB,4500.0
659,Riley Ridley,CHI,WR,4500.0
607,Bryce Love,WAS,RB,4500.0
691,Damarea Crockett,GB,RB,4500.0
693,Lil'Jordan Humphrey,NO,WR,4500.0
587,Saquon Barkley,NYG,RB,4500.0
559,Jakobi Meyers,NE,WR,4500.0
714,Seth Dawkins,SEA,WR,4500.0
715,Aaron Fuller,SEA,WR,4500.0
717,Sean Riley,NE,WR,4500.0
720,Joe Reed,LAC,WR,4500.0
724,Raymond Calais,LAR,RB,4500.0
562,Alec Ingold,LV,RB,4500.0
727,Gabe Nabers,LAC,RB,4500.0
728,Denzel Mims,NYJ,WR,4500.0
586,Nick Westbrook-Ikhine,TEN,WR,4500.0
729,Trishton Jackson,LAR,WR,4500.0
557,Jared Pinkney,ATL,WR,4500.0
731,Patrick Taylor Jr.,GB,RB,4500.0
733,Isaiah Wright,WAS,WR,4500.0
734,Troymaine Pope,LAC,RB,4500.0
735,Adrian Killins Jr.,PHI,RB,4500.0
554,Aca'Cedric Ware,TB,RB,4500.0
711,Tino Ellis,NO,WR,4500.0
710,Maurice Ffrench,KC,WR,4500.0
708,Kendrick Rogers,DAL,WR,4500.0
706,Tyrie Cleveland,DEN,WR,4500.0
585,Michael Walker,JAC,WR,4500.0
694,Kelvin Harmon,WAS,WR,4500.0
696,Devwah Whaley,CIN,RB,4500.0
697,Marquez Callaway,NO,WR,4500.0
581,Tony Brown,WAS,WR,4500.0
580,Keke Coutee,HOU,WR,4500.0
578,Karan Higdon,HOU,RB,4500.0
698,Kalija Lipscomb,GB,WR,4500.0
577,Hakeem Butler,PHI,WR,4500.0
701,Elijah Holyfield,PHI,RB,4500.0
702,Brian Herrien,CLE,RB,4500.0
574,Patrick Carr,SEA,RB,4500.0
573,Emanuel Hall,WAS,WR,4500.0
704,Tyler Simmons,HOU,WR,4500.0
572,Johnathon Johnson,WAS,WR,4500.0
499,Jaylinn Hawkins,ATL,WR,4500.0
0,Christian Wade,BUF,RB,4500.0
234,Corey Coleman,NYG,WR,4500.0
495,Stanley Morgan Jr.,CIN,WR,4500.0
231,Donte Moncrief,NYJ,WR,4500.0
230,Cody Core,NYG,WR,4500.0
229,Jeremy Hill,LV,RB,4500.0
225,Jonathan Williams,WAS,RB,4500.0
222,T.J. Yeldon,BUF,RB,4500.0
210,Jordan Reed,SF,TE,4500.0
199,Marqise Lee,NE,WR,4500.0
194,Kenjon Barner,TB,RB,4500.0
193,Richard Rodgers,PHI,TE,4500.0
190,Maurice Harris,NO,WR,4500.0
189,D.J. Foster,ARI,RB,4500.0
185,Derek Watt,PIT,RB,4500.0
184,Dare Ogunbowale,JAC,RB,4500.0
178,Rod Smith,NYG,RB,4500.0
177,Devin Smith,HOU,WR,4500.0
174,Austin Carr,NO,WR,4500.0
173,Dan Vitale,NE,RB,4500.0
169,Bennie Fowler III,NO,WR,4500.0
168,Devin Funchess,GB,WR,4500.0
167,Jehu Chesson,NYJ,WR,4500.0
166,Amara Darboh,PIT,WR,4500.0
162,Cody Latimer,WAS,WR,4500.0
160,Jake Kumerow,BUF,WR,4500.0
156,Damien Williams,KC,RB,4500.0
153,Andy Janovich,CLE,RB,4500.0
232,Fred Brown,DEN,WR,4500.0
238,Gehrig Dieter,KC,WR,4500.0
150,Paul Richardson Jr.,SEA,WR,4500.0
240,Marquise Goodwin,PHI,WR,4500.0
308,Zay Jones,LV,WR,4500.0
307,Andre Patton,ARI,WR,4500.0
306,Marcell Ateman,LV,WR,4500.0
304,Ralph Webb,PIT,RB,4500.0
303,Pharoh Cooper,CAR,WR,4500.0
302,J'Mon Moore,CLE,WR,4500.0
301,Peyton Barber,WAS,RB,4500.0
299,Corey Clement,PHI,RB,4500.0
296,Jester Weah,WAS,WR,4500.0
288,Shelton Gibson,WAS,WR,4500.0
287,Elijah Wellman,GB,RB,4500.0
286,Ishmael Hyman,CAR,WR,4500.0
284,Steven Mitchell Jr.,HOU,WR,4500.0
276,Kyle Juszczyk,SF,RB,4500.0
266,Ryan Switzer,CLE,WR,4500.0
264,T.J. Logan,TB,RB,4500.0
262,Wendell Smallwood,PIT,RB,4500.0
258,Dwayne Washington,NO,RB,4500.0
254,Geremy Davis,DET,WR,4500.0
251,Jalen Richard,LV,RB,4500.0
250,Tyler Eifert,JAC,TE,4500.0
249,C.J. Prosise,HOU,RB,4500.0
247,Senorise Perry,TEN,RB,4500.0
243,DeAndre Washington,KC,RB,4500.0
242,Josh Doctson,NYJ,WR,4500.0
152,Marcus Murphy,CAR,RB,4500.0
148,Tavon Austin,SF,WR,4500.0
310,Khalfani Muhammad,DEN,RB,4500.0
71,Earnest Edwards,LAR,WR,4500.0
68,Shane Leatherbury,ARI,WR,4500.0
67,Devin Phelps,ARI,WR,4500.0
64,Marvelle Ross,JAC,WR,4500.0
63,Zimari Manning,DEN,WR,4500.0
62,Mason Kinsey,NE,WR,4500.0
61,Kristian Wilkerson,NE,WR,4500.0
60,Isaiah Coulter,HOU,WR,4500.0
57,Josh Pearson,TB,WR,4500.0
56,John Hurst,TB,WR,4500.0
48,Los Angeles Chargers,LAC,DST,4500.0
25,Andre Roberts,BUF,WR,4500.0
20,Justice Shelton-Mosley,KC,WR,4500.0
19,Gunner Olszewski,NE,WR,4500.0
18,Craig Reynolds,JAC,RB,4500.0
16,Tom Kennedy,DET,WR,4500.0
15,Jason Moore,LAC,WR,4500.0
14,Malik Taylor,GB,WR,4500.0
13,Wes Hills,DET,RB,4500.0
9,Darrius Shepherd,GB,WR,4500.0
7,Thomas Ives,CHI,WR,4500.0
6,Reggie White,NYG,WR,4500.0
5,Alex Wesley,CHI,WR,4500.0
4,Emmanuel Butler,NO,WR,4500.0
3,Trinity Benson,DEN,WR,4500.0
2,Nsimba Webster,LAR,WR,4500.0
70,J.J. Koski,LAR,WR,4500.0
73,Chris Rowland,ATL,WR,4500.0
147,Trey Edmunds,PIT,RB,4500.0
74,Juwan Green,ATL,WR,4500.0
144,Michael Burton,NO,RB,4500.0
143,Tyler Kroft,BUF,TE,4500.0
