,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Sam Ficken,K,NYJ,1,-,1,3,-,1,18.00
1,Brandon McManus,K,DEN,4,-,-,-,1,2,17.00
2,Randy Bullock,K,CIN,3,-,-,2,2,-,15.00
3,Aldrick Rosas,K,,1,-,1,2,-,1,15.00
4,Jason Sanders,K,MIA,-,-,2,-,3,-,15.00
5,Rodrigo Blankenship,K,IND,1,-,1,2,1,-,13.00
6,Daniel Carlson,K,LV,2,-,1,1,-,1,13.00
7,Ka'imi Fairbairn,K,HOU,2,-,2,-,-,1,13.00
8,Cody Parkey,K,CLE,5,-,-,1,1,-,11.00
9,Mike Badgley,K,LAC,4,-,-,-,-,1,9.00
10,Graham Gano,K,NYG,-,-,1,2,-,-,9.00
11,Jason Myers,K,SEA,4,-,-,-,-,1,9.00
12,Harrison Butker,K,KC,2,-,1,1,-,-,8.00
13,Ryan Succop,K,TB,5,-,1,-,-,-,8.00
14,Dan Bailey,K,MIN,4,-,-,1,-,-,7.00
15,Joey Slye,K,CAR,4,-,1,-,-,-,7.00
16,Justin Tucker,K,BAL,4,-,-,-,1,-,7.00
17,Tyler Bass,K,BUF,3,-,-,1,-,-,6.00
18,Mason Crosby,K,GB,3,-,-,-,1,-,6.00
19,Jake Elliott,K,PHI,2,-,-,1,-,-,5.00
20,Dustin Hopkins,K,WAS,2,-,-,-,1,-,5.00
21,Wil Lutz,K,NO,5,-,-,-,-,-,5.00
22,Sam Sloman,K,LA,2,-,-,1,-,-,5.00
23,Nick Folk,K,NE,1,-,-,-,1,-,4.00
24,Elliott Fry,K,,1,-,1,-,-,-,4.00
25,Zane Gonzalez,K,ARI,3,-,-,-,-,-,3.00
26,Matt Prater,K,DET,3,-,-,-,-,-,3.00
27,Cairo Santos,K,CHI,-,-,1,-,-,-,3.00
28,Robbie Gould,K,SF,2,-,-,-,-,-,2.00
29,Greg Zuerlein,K,DAL,2,-,-,-,-,-,2.00
30,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
31,Chris Boswell,K,PIT,-,-,-,-,-,-,0.00
32,Jon Brown,K,JAX,-,-,-,-,-,-,0.00
33,Kai Forbath,K,CAR,-,-,-,-,-,-,0.00
34,Matt Gay,K,,-,-,-,-,-,-,0.00
35,Stephen Gostkowski,K,TEN,-,-,-,-,-,-,0.00
36,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
37,Stephen Hauschka,K,JAX,-,-,-,-,-,-,0.00
38,Greg Joseph,K,,-,-,-,-,-,-,0.00
39,Younghoe Koo,K,ATL,-,-,-,-,-,-,0.00
40,Josh Lambo,K,JAX,-,-,-,-,-,-,0.00
41,Ty Long,K,LAC,-,-,-,-,-,-,0.00
42,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
43,Brett Maher,K,WAS,-,-,-,-,-,-,0.00
44,Tucker McCann,K,,-,-,-,-,-,-,0.00
45,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
46,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
47,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
48,Austin Seibert,K,CLE,-,-,-,-,-,-,0.00
49,Kaare Vedvik,K,CAR,-,-,-,-,-,-,0.00
50,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
51,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
52,Nick Vogel,K,,-,-,-,-,-,-,0.00
53,Brandon Wright,K,JAX,-,-,-,-,-,-,0.00
