,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Brandon McManus,K,DEN,-,-,2,-,2,2,22.00
1,Younghoe Koo,K,ATL,4,-,1,-,2,1,18.00
2,Justin Tucker,K,BAL,3,-,-,-,2,1,14.00
3,Cairo Santos,K,CHI,2,-,-,2,-,1,13.00
4,Randy Bullock,K,CIN,3,-,-,-,1,1,11.00
5,Matt Prater,K,DET,4,-,-,1,1,-,10.00
6,Joey Slye,K,CAR,1,-,2,-,1,-,10.00
7,Ryan Succop,K,TB,5,-,-,-,-,1,10.00
8,Chris Boswell,K,PIT,5,-,-,1,-,-,8.00
9,Harrison Butker,K,KC,2,-,-,2,-,-,8.00
10,Graham Gano,K,NYG,2,-,1,1,-,-,8.00
11,Zane Gonzalez,K,ARI,5,-,1,-,-,-,8.00
12,Rodrigo Blankenship,K,IND,4,-,-,-,1,-,7.00
13,Dustin Hopkins,K,WAS,1,-,1,1,-,-,7.00
14,Ka'imi Fairbairn,K,HOU,3,-,-,1,-,-,6.00
15,Nick Folk,K,NE,-,-,-,1,1,-,6.00
16,Robbie Gould,K,SF,3,-,-,-,1,-,6.00
17,Jason Sanders,K,MIA,3,-,1,-,-,-,6.00
18,Tyler Bass,K,BUF,2,-,-,-,1,-,5.00
19,Jon Brown,K,,1,-,-,1,-,-,4.00
20,Mason Crosby,K,GB,1,-,-,1,-,-,4.00
21,Stephen Gostkowski,K,TEN,4,-,-,-,-,-,4.00
22,Sam Sloman,K,,1,-,-,-,1,-,4.00
23,Greg Zuerlein,K,DAL,1,-,-,1,-,-,4.00
24,Dan Bailey,K,MIN,1,-,-,-,-,-,1.00
25,Cody Parkey,K,CLE,1,-,-,-,-,-,1.00
26,Jake Elliott,K,PHI,-,-,-,-,-,-,0.00
27,Sam Ficken,K,NYJ,-,-,-,-,-,-,0.00
28,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
29,Mike Badgley,K,LAC,-,-,-,-,-,-,0.00
30,Daniel Carlson,K,LV,-,-,-,-,-,-,0.00
31,Kai Forbath,K,LA,-,-,-,-,-,-,0.00
32,Elliott Fry,K,,-,-,-,-,-,-,0.00
33,Matt Gay,K,,-,-,-,-,-,-,0.00
34,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
35,Stephen Hauschka,K,,-,-,-,-,-,-,0.00
36,Greg Joseph,K,,-,-,-,-,-,-,0.00
37,Josh Lambo,K,JAX,-,-,-,-,-,-,0.00
38,Ty Long,K,LAC,-,-,-,-,-,-,0.00
39,Wil Lutz,K,NO,-,-,-,-,-,-,0.00
40,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
41,Brett Maher,K,,-,-,-,-,-,-,0.00
42,Tucker McCann,K,,-,-,-,-,-,-,0.00
43,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
44,Jason Myers,K,SEA,-,-,-,-,-,-,0.00
45,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
46,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
47,Aldrick Rosas,K,,-,-,-,-,-,-,0.00
48,Austin Seibert,K,CIN,-,-,-,-,-,-,0.00
49,Kaare Vedvik,K,,-,-,-,-,-,-,0.00
50,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
51,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
52,Nick Vogel,K,,-,-,-,-,-,-,0.00
53,Brandon Wright,K,,-,-,-,-,-,-,0.00
