,Name,Position,Team,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Points Total
0,Stephen Gostkowski,K,TEN,1,-,-,3,-,3,25.00
1,Mason Crosby,K,GB,4,-,-,1,1,1,15.00
2,Joey Slye,K,CAR,-,-,3,2,-,-,15.00
3,Robbie Gould,K,SF,3,-,1,1,-,1,14.00
4,Matt Prater,K,DET,2,-,1,3,-,-,14.00
5,Jake Elliott,K,PHI,2,-,1,-,1,1,13.00
6,Nick Folk,K,NE,3,-,1,2,-,-,12.00
7,Wil Lutz,K,NO,3,-,-,2,1,-,12.00
8,Randy Bullock,K,CIN,2,-,1,1,1,-,11.00
9,Graham Gano,K,NYG,-,-,-,-,2,1,11.00
10,Rodrigo Blankenship,K,IND,4,-,-,-,2,-,10.00
11,Cody Parkey,K,CLE,4,-,-,1,1,-,10.00
12,Chris Boswell,K,PIT,2,-,1,1,-,-,8.00
13,Daniel Carlson,K,LV,2,-,2,-,-,-,8.00
14,Younghoe Koo,K,ATL,2,-,1,1,-,-,8.00
15,Ryan Succop,K,TB,2,-,-,1,1,-,8.00
16,Justin Tucker,K,BAL,2,-,1,-,1,-,8.00
17,Zane Gonzalez,K,ARI,2,-,-,-,-,1,7.00
18,Jason Sanders,K,MIA,4,-,-,1,-,-,7.00
19,Greg Zuerlein,K,DAL,1,-,-,-,2,-,7.00
20,Dan Bailey,K,MIN,3,-,-,-,1,-,6.00
21,Brandon McManus,K,DEN,1,-,-,-,-,1,6.00
22,Cairo Santos,K,CHI,3,-,-,1,-,-,6.00
23,Sam Sloman,K,LA,3,-,-,1,-,-,6.00
24,Tyler Bass,K,BUF,5,-,-,-,-,-,5.00
25,Mike Badgley,K,LAC,1,-,-,-,1,-,4.00
26,Harrison Butker,K,KC,4,-,-,-,-,-,4.00
27,Jason Myers,K,SEA,4,-,-,-,-,-,4.00
28,Ka'imi Fairbairn,K,HOU,3,-,-,-,-,-,3.00
29,Dustin Hopkins,K,WAS,2,-,-,-,-,-,2.00
30,Sam Ficken,K,NYJ,1,-,-,-,-,-,1.00
31,Brandon Wright,K,JAX,1,-,-,-,-,-,1.00
32,Ramiz Ahmed,K,,-,-,-,-,-,-,0.00
33,Jon Brown,K,JAX,-,-,-,-,-,-,0.00
34,Kai Forbath,K,CAR,-,-,-,-,-,-,0.00
35,Elliott Fry,K,,-,-,-,-,-,-,0.00
36,Matt Gay,K,,-,-,-,-,-,-,0.00
37,Lirim Hajrullahu,K,,-,-,-,-,-,-,0.00
38,Stephen Hauschka,K,JAX,-,-,-,-,-,-,0.00
39,Greg Joseph,K,,-,-,-,-,-,-,0.00
40,Josh Lambo,K,JAX,-,-,-,-,-,-,0.00
41,Ty Long,K,LAC,-,-,-,-,-,-,0.00
42,Austin MacGinnis,K,,-,-,-,-,-,-,0.00
43,Brett Maher,K,WAS,-,-,-,-,-,-,0.00
44,Tucker McCann,K,,-,-,-,-,-,-,0.00
45,Chase McLaughlin,K,,-,-,-,-,-,-,0.00
46,Eddy Pineiro,K,CHI,-,-,-,-,-,-,0.00
47,Justin Rohrwasser,K,,-,-,-,-,-,-,0.00
48,Aldrick Rosas,K,,-,-,-,-,-,-,0.00
49,Austin Seibert,K,CLE,-,-,-,-,-,-,0.00
50,Kaare Vedvik,K,CAR,-,-,-,-,-,-,0.00
51,Adam Vinatieri,K,,-,-,-,-,-,-,0.00
52,Tristan Vizcaino,K,,-,-,-,-,-,-,0.00
53,Nick Vogel,K,,-,-,-,-,-,-,0.00
