,Name,max,min,mean,std,D Pass Yds/Game,D Pass Yds/Att,D Pass TDs/Game,D Rush Yds/Game,D Rush YPC,D Rush TDs/Game
14,Jonathan Taylor,18.0,4.1,11.86,4.47,222.57,6.6,1.43,100.29,4.4,0.71
15,Nyheim Hines,23.3,0.9,9.41,8.58,222.57,6.6,1.43,100.29,4.4,0.71
16,Jordan Wilkins,17.8,-0.1,5.07,6.58,222.57,6.6,1.43,100.29,4.4,0.71
17,Frank Gore,9.0,2.4,5.06,2.3,216.86,8.6,1.29,140.43,4.6,1.14
18,La'Mical Perine,12.6,1.5,4.67,4.09,216.86,8.6,1.29,140.43,4.6,1.14
19,James White,11.3,0.8,6.54,4.12,282.75,8.2,2.0,116.12,4.1,1.12
20,Damien Harris,16.2,3.8,9.38,5.21,282.75,8.2,2.0,116.12,4.1,1.12
21,Rex Burkhead,31.3,1.4,8.3,10.32,282.75,8.2,2.0,116.12,4.1,1.12
22,Josh Jacobs,33.9,4.6,14.5,10.08,251.71,6.8,2.0,112.29,4.7,0.71
23,Devontae Booker,7.2,1.0,4.25,2.48,251.71,6.8,2.0,112.29,4.7,0.71
24,Jalen Richard,8.6,2.0,3.8,2.36,251.71,6.8,2.0,112.29,4.7,0.71
25,James Robinson,27.9,7.5,15.07,7.5,251.71,7.8,2.43,165.86,5.2,1.29
26,Alvin Kamara,38.2,15.9,24.03,8.48,229.12,7.0,1.38,70.38,3.2,0.75
27,Latavius Murray,20.8,4.3,7.76,5.85,229.12,7.0,1.38,70.38,3.2,0.75
28,Leonard Fournette,25.6,2.4,10.5,9.43,237.86,7.5,2.71,90.57,3.6,0.71
29,Ronald Jones,25.1,4.6,12.1,6.27,237.86,7.5,2.71,90.57,3.6,0.71
30,LeSean McCoy,4.6,0.7,2.2,1.71,237.86,7.5,2.71,90.57,3.6,0.71
31,Todd Gurley,23.0,6.1,14.41,6.14,236.57,6.8,1.57,123.43,4.5,0.71
32,Brian Hill,14.5,2.4,5.62,3.98,236.57,6.8,1.57,123.43,4.5,0.71
33,Ito Smith,4.2,0.0,1.7,1.59,236.57,6.8,1.57,123.43,4.5,0.71
34,Joshua Kelley,12.3,2.8,6.63,4.11,260.71,7.5,1.57,117.14,4.6,1.71
35,Austin Ekeler,25.8,1.9,13.42,10.25,260.71,7.5,1.57,117.14,4.6,1.71
36,Justin Jackson,15.7,0.4,7.82,6.25,260.71,7.5,1.57,117.14,4.6,1.71
37,Matt Breida,6.4,0.4,3.46,2.36,247.29,6.9,1.71,131.14,4.7,0.57
38,Myles Gaskin,17.6,7.7,11.93,3.39,247.29,6.9,1.71,131.14,4.7,0.57
39,Devonta Freeman,15.7,0.8,6.5,6.18,185.86,7.4,1.43,123.29,4.2,1.14
40,Wayne Gallman,13.9,1.9,6.47,5.38,185.86,7.4,1.43,123.29,4.2,1.14
41,Dion Lewis,13.6,0.1,3.59,4.73,185.86,7.4,1.43,123.29,4.2,1.14
42,JaMycal Hasty,9.6,2.3,5.85,3.42,227.57,8.0,1.71,119.0,4.7,1.43
43,Jerick McKinnon,19.2,-0.1,9.64,7.01,227.57,8.0,1.71,119.0,4.7,1.43
44,Raheem Mostert,23.1,8.6,15.7,6.18,227.57,8.0,1.71,119.0,4.7,1.43
45,Jeff Wilson,31.0,0.3,11.36,13.65,227.57,8.0,1.71,119.0,4.7,1.43
46,Zack Moss,20.1,1.0,8.74,7.36,358.71,7.8,1.86,102.14,3.9,1.29
47,Devin Singletary,16.2,3.8,8.86,4.37,358.71,7.8,1.86,102.14,3.9,1.29
0,Dalvin Cook,47.6,14.1,26.73,12.29,218.22,6.7,1.11,116.89,4.1,0.67
1,Alexander Mattison,15.1,0.8,6.1,4.81,218.22,6.7,1.11,116.89,4.1,0.67
2,Derrick Henry,39.4,6.8,18.18,10.46,206.38,6.9,1.25,83.62,3.3,0.75
3,Jeremy McNichols,7.2,0.0,2.33,2.62,206.38,6.9,1.25,83.62,3.3,0.75
