,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
27,A.J. Brown,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,6,153,25.5,73,1,,
86,A.J. Dillon,,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,5,11,2.2,5,0,,,,,,,
129,A.J. Green,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,7,82,11.7,22,0,,
277,AJ McCarron,Houston Texans,QB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,,
205,Aaron Jones,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,,
317,Aaron Rodgers,Green Bay Packers,QB,,10/25/2020,@Texans,W 35 - 20,23,34,283,8.3,4,0,0,0,132.4,,,,,,,,,,,,
156,Adam Humphries,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,1,19,19,19,0,,
373,Adam Trautman,New Orleans Saints,TE,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,0,0,,,0,,
300,Adrian Peterson,Detroit Lions,RB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,11,29,2.6,7,0,1,1,1,1,0,,
291,Albert Okwuegbunam,,TE,,10/25/2020,Chiefs,L 16 - 43,,,,,,,,,,,,,,,7,60,8.6,17,0,,
54,Alex Bachman,,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,,
99,Alex Erickson,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,,
351,Alex Smith,Washington Football Team,QB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,,
319,Allen Robinson,Chicago Bears,WR,,10/27/2020,@Rams,L 10 - 24,,,,,,,,,,,,,,,4,70,17.5,42,0,,
217,Alshon Jeffery,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,,
237,Alvin Kamara,New Orleans Saints,RB,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,14,83,5.9,32,0,8,65,8.1,17,0,,
60,Amari Cooper,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,1,5,5,5,0,7,80,11.4,32,0,,
321,Andre Roberts,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,,
47,Andrew Beck,,TE,,10/25/2020,Chiefs,L 16 - 43,,,,,,,,,,,,,,,,,,,,,
94,Andy Dalton,Dallas Cowboys,QB,,10/25/2020,@Football Team,L 3 - 25,9,19,75,3.9,0,1,3,30,36.1,3,16,5.3,,0,,,,,,1,0
196,Andy Isabella,Arizona Cardinals,WR,,10/26/2020,Seahawks,W 37 - 34,,,,,,,,,,,,,,,1,7,7,7,0,,
219,Andy Janovich,,RB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,,
118,Anthony Firkser,Tennessee Titans,TE,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,2,7,3.5,4,0,,
272,Anthony McFarland,Pittsburgh Steelers,RB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,1,6,6,6,0,0,0,,,0,,
261,Anthony Miller,Chicago Bears,WR,,10/27/2020,@Rams,L 10 - 24,,,,,,,,,,,,,,,3,20,6.7,8,0,,
142,Antonio Gibson,Washington Football Team,RB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,20,128,6.4,40,1,0,0,,,0,,
298,Artavis Pierce,Chicago Bears,RB,,10/27/2020,@Rams,L 10 - 24,,,,,,,,,,,,,,,,,,,,,
390,Auden Tate,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,0,0,,,0,,
74,Austin Carr,,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,,,,,,1,6,6,6,0,,
162,Austin Hooper,Cleveland Browns,TE,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,,
282,Austin Mack,New York Giants,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,,
278,Baker Mayfield,Cleveland Browns,QB,,10/25/2020,@Bengals,W 37 - 34,22,28,297,10.6,5,1,0,0,135.6,1,-1,-1,,0,,,,,,,
85,Ben DiNucci,Dallas Cowboys,QB,,10/25/2020,@Football Team,L 3 - 25,2,3,39,13,0,0,3,25,109.7,1,0,0,,0,,,,,,2,0
315,Ben Roethlisberger,Pittsburgh Steelers,QB,,10/25/2020,@Titans,W 27 - 24,32,49,268,5.5,2,3,0,0,67.4,1,-1,-1,,0,,,,,,,
343,Benny Snell,Pittsburgh Steelers,RB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,2,2,1,1,1,,,,,,,
149,Blaine Gabbert,Tampa Bay Buccaneers,QB,,10/25/2020,@Raiders,W 45 - 20,,,,,,,,,,,,,,,,,,,,,
45,Blake Bell,Dallas Cowboys,TE,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,,
365,Bo Scarbrough,,RB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,,
361,Boston Scott,Philadelphia Eagles,RB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,12,46,3.8,12,0,3,46,15.3,18,1,,
61,Brandin Cooks,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,7,60,8.6,12,0,,
11,Brandon Aiyuk,,WR,,10/25/2020,@Patriots,W 33 - 6,,,,,,,,,,,,,,,6,115,19.2,35,0,,
295,Brandon Powell,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,1,4,4,4,0,,
431,Brandon Zylstra,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,1,4,4,4,0,,
41,Braxton Berrios,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,4,35,8.8,22,0,,
302,Breshad Perriman,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,2,27,13.5,19,0,,
155,Brett Hundley,Arizona Cardinals,QB,,10/26/2020,Seahawks,W 37 - 34,,,,,,,,,,,,,,,,,,,,,
310,Brett Rypien,Denver Broncos,QB,,10/25/2020,Chiefs,L 16 - 43,,,,,,,,,,,,,,,,,,,,,
172,Brian Hill,Atlanta Falcons,RB,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,2,3,1.5,2,0,3,27,9,11,0,,
158,Brian Hoyer,New England Patriots,QB,,10/25/2020,49ers,L 6 - 33,,,,,,,,,,,,,,,,,,,,,
103,Bryan Edwards,Las Vegas Raiders,WR,,10/25/2020,Buccaneers,L 20 - 45,,,,,,,,,,,,,,,,,,,,,
161,Brycen Hopkins,Los Angeles Rams,TE,,10/27/2020,Bears,W 24 - 10,,,,,,,,,,,,,,,,,,,,,
159,Buddy Howell,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,,
294,Byron Pringle,,WR,,10/25/2020,@Broncos,W 43 - 16,,,,,,,,,,,,,,,,,,,,,
49,C.J. Beathard,San Francisco 49ers,QB,,10/25/2020,@Patriots,W 33 - 6,,,,,,,,,,,,,,,,,,,,,
37,C.J. Board,New York Giants,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,,
293,C.J. Prosise,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,,
323,Calvin Ridley,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,5,69,13.8,27,1,,
10,Cam Akers,Los Angeles Rams,RB,,10/27/2020,Bears,W 24 - 10,,,,,,,,,,,,,,,,,,,,,
284,Cam Newton,New England Patriots,QB,,10/25/2020,49ers,L 6 - 33,9,15,98,6.5,0,3,1,8,39.7,5,19,3.8,,0,,,,,,,
356,Cam Sims,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,1,22,22,22,0,,
31,Cameron Brate,Tampa Bay Buccaneers,TE,,10/25/2020,@Raiders,W 45 - 20,,,,,,,,,,,,,,,1,8,8,8,0,,
150,Carlos Hyde,Seattle Seahawks,RB,,10/26/2020,@Cardinals,L 34 - 37,,,,,,,,,,15,68,4.5,24,1,3,8,2.7,8,0,,
416,Carson Wentz,Philadelphia Eagles,QB,,10/23/2020,Giants,W 22 - 21,25,43,359,8.3,2,1,3,13,91.1,7,14,2,,1,,,,,,,
235,Case Keenum,Cleveland Browns,QB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,,
406,Ced Wilson,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,,
246,CeeDee Lamb,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,1,1,1,1,0,0,0,,,0,,
70,Cethan Carter,Cincinnati Bengals,TE,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,,
181,Chad Henne,Kansas City Chiefs,QB,,10/25/2020,@Broncos,W 43 - 16,2,2,13,6.5,0,0,1,3,93.8,4,-2,-0.5,,1,,,,,,,
399,Charlie Woerner,San Francisco 49ers,TE,,10/25/2020,@Patriots,W 33 - 6,,,,,,,,,,,,,,,,,,,,,
67,Chase Claypool,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,,,,,,1,-2,-2,-2,0,1,0
93,Chase Daniel,Detroit Lions,QB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,,
105,Chase Edmonds,Arizona Cardinals,RB,,10/26/2020,Seahawks,W 37 - 34,,,,,,,,,,5,58,11.6,32,0,7,87,12.4,21,0,,
71,Chris Carson,Seattle Seahawks,RB,,10/26/2020,@Cardinals,L 34 - 37,,,,,,,,,,5,34,6.8,10,0,1,7,7,7,0,,
137,Chris Godwin,Tampa Bay Buccaneers,WR,,10/25/2020,@Raiders,W 45 - 20,,,,,,,,,,,,,,,9,88,9.8,23,1,,
177,Chris Herndon,New York Jets,TE,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,,
280,Chris Manhertz,Carolina Panthers,TE,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,,
333,Chris Streveler,Arizona Cardinals,QB,,10/26/2020,Seahawks,W 37 - 34,,,,,,,,,,,,,,,,,,,,,
40,Christian Blake,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,,,,,,,
230,Christian Kirk,Arizona Cardinals,WR,,10/26/2020,Seahawks,W 37 - 34,,,,,,,,,,,,,,,5,37,7.4,16,2,,
102,Clyde Edwards-Helaire,Kansas City Chiefs,RB,,10/25/2020,@Broncos,W 43 - 16,,,,,,,,,,8,46,5.8,27,1,1,17,17,17,0,,
48,Cole Beasley,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,11,112,10.2,23,0,,
228,Cole Kmet,Chicago Bears,TE,,10/27/2020,@Rams,L 10 - 24,,,,,,,,,,,,,,,2,45,22.5,38,0,,
378,Colin Thompson,Carolina Panthers,TE,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,,
275,Colt McCoy,New York Giants,QB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,,
226,Cooper Kupp,Los Angeles Rams,WR,,10/27/2020,Bears,W 24 - 10,,,,,,,,,,1,16,16,16,0,6,43,7.2,13,0,,
307,Cordarrelle Patterson,Chicago Bears,WR,,10/27/2020,@Rams,L 10 - 24,,,,,,,,,,3,1,0.3,2,0,3,11,3.7,7,0,,
66,Corey Clement,,RB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,2,9,4.5,7,0,1,12,12,12,0,,
90,Corey Davis,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,,,,,,6,35,5.8,7,1,,
140,Cullen Gillaspia,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,,
