,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
248,P.J. Walker,Carolina Panthers,QB,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
32,Peyton Barber,Washington Football Team,RB,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,10,34,3.4,11,0,,,,,,
13,Pharaoh Brown,Houston Texans,TE,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
38,Pharoh Cooper,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
163,Qadree Ollison,Atlanta Falcons,RB,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,,,,,,
244,Quez Watkins,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,,,,,,,,,,,
46,Quintez Cephus,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,
43,Randall Cobb,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,0,,,,,8,95,11.9,28,,
108,Rashard Higgins,Cleveland Browns,WR,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,0,,,,,6,110,18.3,30,,
156,Ray-Ray McCloud,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,2,12,6,9,,
86,Reggie Gilliam,Buffalo Bills,TE,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,,,,,1,15,15,15,,
178,Richard Rodgers,Philadelphia Eagles,TE,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,,,,,6,85,14.2,30,,
53,Rico Dowdle,Dallas Cowboys,RB,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
1,Robby Anderson,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,0,,,,,6,74,12.3,26,,
74,Robert Foster,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
218,Robert Tonyan,Green Bay Packers,TE,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,0,,,,,2,32,16,31,,
93,Russell Gage,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,0,,,,,6,54,9,16,,
77,Ryan Finley,Cincinnati Bengals,QB,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
80,Ryan Griffin,New York Jets,TE,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
230,Ryan Tannehill,Tennessee Titans,QB,,10/25/2020,Steelers,L 24 - 27,18,30,220,7.3,2,0,2,10,104.9,2,5,2.5,,0,,,,,,
61,Sam Darnold,New York Jets,QB,,10/25/2020,Bills,L 10 - 18,12,23,120,5.2,0,2,6,29,31.1,,,,,,,,,,1,0
170,Samaje Perine,Cincinnati Bengals,RB,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,1,3,3,3,0,1,3,3,,,0
151,Sean McKeon,Dallas Cowboys,TE,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
180,Seth Roberts,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
57,Stefon Diggs,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,,,,,6,48,8,12,,
50,Stephen Carlson,Cleveland Browns,TE,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,
206,Sterling Shepard,New York Giants,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,1,,,,,6,59,9.8,29,,
101,T.J. Hockenson,Detroit Lions,TE,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,1,,,,,5,59,11.8,16,,
249,T.J. Yeldon,Buffalo Bills,RB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
116,Taiwan Jones,Buffalo Bills,RB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,,,,,,,,,,,
103,Taysom Hill,New Orleans Saints,QB,,10/25/2020,Panthers,W 27 - 24,1,1,0,0,0,0,0,0,79.2,1,6,6,,0,,,,,,
226,Taywan Taylor,Cleveland Browns,WR,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,
18,Teddy Bridgewater,Carolina Panthers,QB,,10/25/2020,@Saints,L 24 - 27,23,28,254,9.1,2,0,1,8,128.3,2,10,5,,0,,,,,,
107,Tee Higgins,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,1,1,7,7,7,5,71,14.2,27,0,
111,Temarrick Hemingway,Washington Football Team,TE,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,0,,,,,0,0,,,,
149,Terry McLaurin,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,1,,,,,7,90,12.9,52,,
20,Tim Boyle,Green Bay Packers,QB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,2,-1,-0.5,,0,,,,,,
79,Todd Gurley,Atlanta Falcons,RB,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,23,63,2.7,13,2,2,19,9.5,,,0
12,Tony Brown,Washington Football Team,WR,,10/25/2020,Cowboys,W 25 - 3,,,,,,,,,,,,,,,,,,,,
167,Tony Pollard,Dallas Cowboys,RB,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,8,16,2,6,0,1,6,6,,,0
71,Travis Fulgham,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,,,,,5,73,14.6,40,,
238,Trayveon Williams,Cincinnati Bengals,RB,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
196,Tre'Quan Smith,New Orleans Saints,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,0,,,,,4,54,13.5,23,,
51,Trenton Cannon,Carolina Panthers,RB,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,1,7,7,7,0,,,,,,
241,Trevon Wesco,New York Jets,TE,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,0,,,,,0,0,,,,
68,Trey Edmunds,Pittsburgh Steelers,RB,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,,,,,,,,,,,
125,Ty Johnson,New York Jets,RB,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
21,Tyler Boyd,Cincinnati Bengals,WR,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,1,,,,,11,101,9.2,16,,
64,Tyler Ervin,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
132,Tyler Kroft,Buffalo Bills,TE,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,,,,,4,64,16,38,,
154,Vance McDonald,Pittsburgh Steelers,TE,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,2,14,7,9,,
195,Vyncint Smith,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
92,Wayne Gallman,New York Giants,RB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,10,34,3.4,14,1,5,20,4,,,0
70,Will Fuller,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,1,,,,,3,35,11.7,24,,
81,Will Grier,Carolina Panthers,QB,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
90,Zach Gentry,Pittsburgh Steelers,TE,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,,,,,,,,,,,
142,Zack Moss,Buffalo Bills,RB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,7,47,6.7,26,0,3,25,8.3,,,0
