,Player Name,Team,Position,WK,Game Date,OPP,RESULT,PASS COMP,PASS ATT,PASS YDS,PASS AVG,PASS TD,PASS INT,SCK,SCKY,PASS RATE,RUSH ATT,RUSH YDS,RUSH AVG,RUSH LONG,RUSH TD,REC YDS,REC AVG,REC LONG,REC TD,FUM,FUM LOST
242,Carson Wentz,Philadelphia Eagles,QB,,10/23/2020,Giants,W 22 - 21,25,43,359,8.3,2,1,3,13,91.1,7,14,2,,1,,,,,,
133,Case Keenum,Cleveland Browns,QB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,,,,,,,,,,,
235,Ced Wilson,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,,,,,,,,,,,
140,CeeDee Lamb,Dallas Cowboys,WR,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,0,1,1,1,1,0,0,,,0,
48,Cethan Carter,Cincinnati Bengals,TE,,10/25/2020,Browns,L 34 - 37,,,,,,,,,,,,,,,,,,,,
45,Chase Claypool,Pittsburgh Steelers,WR,,10/25/2020,@Titans,W 27 - 24,,,,,,,,,,0,,,,,1,-2,-2,-2,,1
62,Chase Daniel,Detroit Lions,QB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,
109,Chris Herndon,New York Jets,TE,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,0,,,,,0,0,,,,
159,Chris Manhertz,Carolina Panthers,TE,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
25,Christian Blake,Atlanta Falcons,WR,,10/25/2020,Lions,L 22 - 23,,,,,,,,,,,,,,,,,,,,
30,Cole Beasley,Buffalo Bills,WR,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,0,,,,,11,112,10.2,23,,
221,Colin Thompson,Carolina Panthers,TE,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,,,,,,,,,,,
155,Colt McCoy,New York Giants,QB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,,,,,,,,,,,
44,Corey Clement,Philadelphia Eagles,RB,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,2,9,4.5,7,0,1,12,12,,,0
60,Corey Davis,Tennessee Titans,WR,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,1,,,,,6,35,5.8,7,,
87,Cullen Gillaspia,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
214,Curtis Samuel,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,0,1,5,5,5,6,48,8,22,1,
184,D'Andre Swift,Detroit Lions,RB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,9,27,3,13,1,4,21,5.3,,,0
123,D'Ernest Johnson,Cleveland Browns,RB,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,1,3,3,3,0,,,,,,
144,D.J. Moore,Carolina Panthers,WR,,10/25/2020,@Saints,L 24 - 27,,,,,,,,,,2,,,,,4,93,23.3,74,,
208,Dalton Schultz,Dallas Cowboys,TE,,10/25/2020,@Football Team,L 3 - 25,,,,,,,,,,0,,,,,2,22,11,14,,
17,Daniel Brown,New York Jets,TE,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,,,,,,,,,,,
119,Daniel Jones,New York Giants,QB,,10/23/2020,@Eagles,L 21 - 22,20,30,187,6.2,2,1,3,22,91.9,4,92,23,,0,,,,,1,1
2,Danny Amendola,Detroit Lions,WR,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,0,,,,,3,62,20.7,36,,
202,Darius Slayton,New York Giants,WR,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,0,,,,,2,23,11.5,12,,
78,Darren Fells,Houston Texans,TE,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
205,Darrius Shepherd,Green Bay Packers,WR,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,0,,,,,0,0,,,,
7,Davante Adams,Green Bay Packers,WR,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,2,,,,,13,196,15.1,45,,
23,David Blough,Detroit Lions,QB,,10/25/2020,@Falcons,W 23 - 22,,,,,,,,,,,,,,,,,,,,
124,David Johnson,Houston Texans,RB,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,14,42,3,13,0,4,42,10.5,,,1
161,David Njoku,Cleveland Browns,TE,,10/25/2020,@Bengals,W 37 - 34,,,,,,,,,,1,,,,,2,20,10,16,,
47,DeAndre Carter,Houston Texans,WR,,10/25/2020,Packers,L 20 - 35,,,,,,,,,,,,,,,,,,,,
131,DeSean Jackson,Philadelphia Eagles,WR,,10/23/2020,Giants,W 22 - 21,,,,,,,,,,0,1,12,12,12,3,34,11.3,15,0,
146,Denzel Mims,New York Jets,WR,,10/25/2020,Bills,L 10 - 18,,,,,,,,,,0,,,,,4,42,10.5,16,,
113,Deonte Harris,New Orleans Saints,WR,,10/25/2020,Panthers,W 27 - 24,,,,,,,,,,1,,,,,4,46,11.5,18,,
110,Derrick Henry,Tennessee Titans,RB,,10/25/2020,Steelers,L 24 - 27,,,,,,,,,,20,75,3.8,17,1,2,-3,-1.5,,,0
243,Deshaun Watson,Houston Texans,QB,,10/25/2020,Packers,L 20 - 35,29,39,309,7.9,2,0,3,23,114.2,7,38,5.4,,0,,,,,,
203,Devin Singletary,Buffalo Bills,RB,,10/25/2020,@Jets,W 18 - 10,,,,,,,,,,8,29,3.6,12,0,2,18,9,,,0
73,Devonta Freeman,New York Giants,RB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,3,8,2.7,7,0,0,0,,,,0
239,Dexter Williams,Green Bay Packers,RB,,10/25/2020,@Texans,W 35 - 20,,,,,,,,,,,,,,,,,,,,
138,Dion Lewis,New York Giants,RB,,10/23/2020,@Eagles,L 21 - 22,,,,,,,,,,3,23,7.7,19,0,,,,,,
