,Name,Team,Position,Salary
405,Dalvin Cook,MIN,RB,10500.0
275,Derrick Henry,TEN,RB,10000.0
356,Davante Adams,GB,WR,9500.0
474,Patrick Mahomes,KC,QB,9000.0
114,Russell Wilson,SEA,QB,9000.0
396,Nick Chubb,CLE,RB,8700.0
556,Kyler Murray,ARI,QB,8700.0
399,Tyreek Hill,KC,WR,8600.0
528,Josh Allen,BUF,QB,8600.0
652,Aaron Rodgers,GB,QB,8500.0
748,DK Metcalf,SEA,WR,8500.0
599,Calvin Ridley,ATL,WR,8400.0
293,Aaron Jones,GB,RB,8400.0
745,AJ Brown,TEN,WR,8200.0
418,Deshaun Watson,HOU,QB,8200.0
196,Keenan Allen,LAC,WR,8100.0
583,Chris Carson,SEA,RB,8000.0
110,DeAndre Hopkins,ARI,WR,8000.0
249,Travis Kelce,KC,TE,8000.0
94,Julio Jones,ATL,WR,8000.0
141,Stefon Diggs,BUF,WR,7900.0
659,Justin Herbert,LAC,QB,7900.0
158,Tyler Lockett,SEA,WR,7900.0
112,Ryan Tannehill,TEN,QB,7800.0
71,James Robinson,JAC,RB,7800.0
279,Adam Thielen,MIN,WR,7800.0
743,Josh Jacobs,LV,RB,7800.0
793,Justin Jefferson,MIN,WR,7700.0
351,Taysom Hill,NO,QB,7700.0
633,Ben Roethlisberger,PIT,QB,7600.0
329,Will Fuller,HOU,WR,7500.0
92,Cam Newton,NE,QB,7500.0
331,Alvin Kamara,NO,RB,7500.0
625,Drew Brees,NO,QB,7500.0
374,Joe Mixon,CIN,RB,7400.0
635,Matt Ryan,ATL,QB,7400.0
757,Ryan Fitzpatrick,MIA,QB,7400.0
120,Kirk Cousins,MIN,QB,7300.0
454,Terry McLaurin,WSH,WR,7300.0
744,Alexander Mattison,MIN,RB,7300.0
682,Carson Wentz,PHI,QB,7300.0
728,Miles Sanders,PHI,RB,7200.0
185,Michael Thomas,NO,WR,7200.0
264,Jared Goff,LAR,QB,7200.0
355,Derek Carr,LV,QB,7200.0
316,Baker Mayfield,CLE,QB,7100.0
207,Robert Woods,LAR,WR,7100.0
558,Daniel Jones,NYG,QB,7100.0
772,Austin Ekeler,LAC,RB,7000.0
408,Kenny Golladay,DET,WR,7000.0
188,Raheem Mostert,SF,RB,7000.0
763,Philip Rivers,IND,QB,7000.0
522,Gardner Minshew,JAC,QB,7000.0
140,Darren Waller,LV,TE,7000.0
137,Jameis Winston,NO,QB,7000.0
267,Mitchell Trubisky,CHI,QB,6900.0
186,Allen Robinson,CHI,WR,6900.0
116,Nick Foles,CHI,QB,6900.0
669,Jalen Hurts,PHI,QB,6900.0
825,D'Andre Swift,DET,RB,6800.0
250,DeVante Parker,MIA,WR,6800.0
145,Mike Glennon,JAC,QB,6800.0
638,Matthew Stafford,DET,QB,6800.0
191,Melvin Gordon,DEN,RB,6800.0
634,Diontae Johnson,PIT,WR,6800.0
822,Antonio Gibson,WSH,RB,6700.0
794,Clyde Edwards-Helaire,KC,RB,6700.0
750,Chase Claypool,PIT,WR,6700.0
821,Tua Tagovailoa,MIA,QB,6700.0
578,Drew Lock,DEN,QB,6700.0
765,Cooper Kupp,LAR,WR,6600.0
220,Todd Gurley,ATL,RB,6600.0
227,Kenyan Drake,ARI,RB,6600.0
773,Alex Smith,WSH,QB,6600.0
413,Jimmy Garoppolo,SF,QB,6600.0
317,Nick Mullens,SF,QB,6600.0
796,Brandon Aiyuk,SF,WR,6600.0
296,Tyler Boyd,CIN,WR,6600.0
203,Brandin Cooks,HOU,WR,6500.0
28,Colt McCoy,NYG,QB,6500.0
562,Sam Darnold,NYJ,QB,6500.0
298,James Conner,PIT,RB,6500.0
565,Nyheim Hines,IND,RB,6400.0
817,Jonathan Taylor,IND,RB,6400.0
389,Jake Luton,JAC,QB,6400.0
818,Tee Higgins,CIN,WR,6400.0
753,Dwayne Haskins,WSH,QB,6400.0
345,Kareem Hunt,CLE,RB,6300.0
642,Joe Flacco,NYJ,QB,6300.0
358,Ryan Finley,CIN,QB,6300.0
388,DJ Chark,JAC,WR,6300.0
479,Travis Fulgham,PHI,WR,6300.0
529,David Johnson,HOU,RB,6200.0
780,Dallas Goedert,PHI,TE,6200.0
127,Case Keenum,CLE,QB,6200.0
754,David Montgomery,CHI,RB,6200.0
444,JuJu Smith-Schuster,PIT,WR,6200.0
103,Tyrod Taylor,LAC,QB,6200.0
135,Jamison Crowder,NYJ,WR,6200.0
170,CJ Beathard,SF,QB,6200.0
400,Mason Rudolph,PIT,QB,6100.0
349,Corey Davis,TEN,WR,6100.0
720,TJ Hockenson,DET,TE,6100.0
391,Kyle Allen,WSH,QB,6100.0
216,Jeff Driskel,DEN,QB,6100.0
508,Brett Rypien,DEN,QB,6100.0
500,Jarrett Stidham,NE,QB,6100.0
205,Matt Barkley,BUF,QB,6100.0
762,Brian Hoyer,NE,QB,6100.0
283,Wayne Gallman,NYG,RB,6100.0
235,Jarvis Landry,CLE,WR,6000.0
271,Chris Streveler,ARI,QB,6000.0
291,Joshua Dobbs,PIT,QB,6000.0
1,Easton Stick,LAC,QB,6000.0
421,Clayton Thorson,NYG,QB,6000.0
369,Manny Wilkins,GB,QB,6000.0
607,Brian Lewerke,NE,QB,6000.0
381,David Blough,DET,QB,6000.0
582,Steven Montez,WSH,QB,6000.0
445,Deebo Samuel,SF,WR,6000.0
273,Danny Etling,SEA,QB,6000.0
667,Jacob Eason,IND,QB,6000.0
274,Kurt Benkert,ATL,QB,6000.0
177,Trevor Siemian,NO,QB,6000.0
564,Kyle Shurmur,KC,QB,6000.0
655,Khalil Tate,PHI,QB,6000.0
725,Anthony Gordon,SEA,QB,6000.0
156,Geno Smith,SEA,QB,6000.0
169,Nate Sudfeld,PHI,QB,6000.0
278,Devontae Booker,LV,RB,6000.0
475,DeShone Kizer,TEN,QB,6000.0
199,Marcus Mariota,LV,QB,6000.0
202,Sean Mannion,MIN,QB,6000.0
644,Josh McCown,HOU,QB,6000.0
346,Logan Woodside,TEN,QB,6000.0
451,John Wolford,LAR,QB,6000.0
645,Matt Moore,KC,QB,6000.0
640,Matt Schaub,ATL,QB,6000.0
231,Brandon Allen,CIN,QB,6000.0
323,Evan Engram,NYG,TE,6000.0
280,George Kittle,SF,TE,6000.0
340,David Fales,NYJ,QB,6000.0
228,AJ McCarron,HOU,QB,6000.0
673,Darius Bradwell,LAC,QB,6000.0
252,Paxton Lynch,PIT,QB,6000.0
294,Tim Boyle,GB,QB,6000.0
224,Tyler Bray,CHI,QB,6000.0
223,Nathan Peterman,LV,QB,6000.0
672,Shea Patterson,KC,QB,6000.0
259,Blake Bortles,DEN,QB,6000.0
215,Jacoby Brissett,IND,QB,6000.0
302,Hunter Henry,LAC,TE,6000.0
653,Jordan Love,GB,QB,6000.0
212,Brett Hundley,ARI,QB,6000.0
575,Josh Love,LAR,QB,6000.0
281,Davis Webb,BUF,QB,6000.0
412,Alex McGough,HOU,QB,6000.0
504,Kendall Hinton,DEN,QB,6000.0
74,Kevin Davidson,CLE,QB,6000.0
813,Jordan Ta'amu,KC,QB,6000.0
781,Kyle Lauletta,CLE,QB,6000.0
128,Alex Tanney,NYG,QB,6000.0
77,Broc Rutter,SF,QB,6000.0
826,Jake Fromm,BUF,QB,6000.0
537,Nick Tiano,HOU,QB,6000.0
84,Jalen Morton,GB,QB,6000.0
809,Chase Daniel,DET,QB,6000.0
16,Jake Dolegala,NE,QB,6000.0
521,Josh Thomas,BUF,QB,6000.0
149,Duke Johnson,HOU,RB,6000.0
548,Joe Burrow,CIN,QB,6000.0
519,Riley Neal,DEN,QB,6000.0
87,Case Cookus,NYG,QB,6000.0
511,J'mar Smith,NE,QB,6000.0
738,Cole McDonald,TEN,QB,6000.0
132,Chad Kelly,IND,QB,6000.0
493,Jake Browning,MIN,QB,6000.0
759,Chad Henne,KC,QB,6000.0
121,Marvin Jones,DET,WR,6000.0
61,Reid Sinnett,MIA,QB,6000.0
840,Devlin Hodges,PIT,QB,6000.0
512,James Morgan,NYJ,QB,6000.0
490,Bryce Perkins,LAR,QB,6000.0
777,Robert Tonyan,GB,TE,5900.0
699,Benny Snell,PIT,RB,5900.0
601,Damien Harris,NE,RB,5900.0
258,Breshad Perriman,NYJ,WR,5900.0
566,Jakobi Meyers,NE,WR,5900.0
144,Giovani Bernard,CIN,RB,5800.0
284,Mike Williams,LAC,WR,5800.0
495,Christian Kirk,ARI,WR,5800.0
260,Latavius Murray,NO,RB,5800.0
404,Brian Hill,ATL,RB,5800.0
210,Zach Ertz,PHI,TE,5700.0
295,Marquez Valdes-Scantling,GB,WR,5700.0
456,Mike Gesicki,MIA,TE,5700.0
180,Carlos Hyde,SEA,RB,5700.0
414,John Brown,BUF,WR,5700.0
193,James White,NE,RB,5700.0
415,Jerick McKinnon,SF,RB,5700.0
337,Boston Scott,PHI,RB,5700.0
571,Darius Slayton,NYG,WR,5700.0
719,Noah Fant,DEN,TE,5700.0
820,Jerry Jeudy,DEN,WR,5700.0
365,Jonnu Smith,TEN,TE,5700.0
803,Salvon Ahmed,MIA,RB,5600.0
680,Darrell Henderson,LAR,RB,5600.0
679,Zack Moss,BUF,RB,5600.0
164,Sterling Shepard,NYG,WR,5600.0
175,Le'Veon Bell,KC,RB,5600.0
660,Michael Pittman,IND,WR,5600.0
641,Adrian Peterson,DET,RB,5600.0
577,Hayden Hurst,ATL,TE,5600.0
