,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
0,0,458,Dalvin Cook,MIN,RB,11000.0
1,1,475,Christian McCaffrey,CAR,RB,10000.0
2,2,403,Davante Adams,GB,WR,9500.0
3,3,637,Kyler Murray,ARI,QB,9100.0
4,4,540,Patrick Mahomes,KC,QB,9000.0
5,5,131,Russell Wilson,SEA,QB,8800.0
6,6,472,Deshaun Watson,HOU,QB,8700.0
7,7,375,Alvin Kamara,NO,RB,8600.0
8,8,746,Aaron Rodgers,GB,QB,8600.0
9,9,599,Josh Allen,BUF,QB,8600.0
10,10,452,Tyreek Hill,KC,WR,8600.0
11,11,309,Ezekiel Elliott,DAL,RB,8500.0
12,12,125,DeAndre Hopkins,ARI,WR,8500.0
13,13,753,Justin Herbert,LAC,QB,8400.0
14,14,449,Nick Chubb,CLE,RB,8400.0
15,15,852,DK Metcalf,SEA,WR,8400.0
16,16,621,Lamar Jackson,BAL,QB,8300.0
17,17,313,Derrick Henry,TEN,RB,8300.0
18,18,335,Aaron Jones,GB,RB,8200.0
19,19,219,Keenan Allen,LAC,WR,8200.0
20,20,684,Calvin Ridley,ATL,WR,8100.0
21,21,723,Ben Roethlisberger,PIT,QB,8000.0
22,22,106,Julio Jones,ATL,WR,8000.0
23,23,283,Travis Kelce,KC,TE,8000.0
24,24,668,Chris Carson,SEA,RB,8000.0
25,25,847,Josh Jacobs,LV,RB,8000.0
26,26,177,Tyler Lockett,SEA,WR,7900.0
27,27,516,Terry McLaurin,WSH,WR,7900.0
28,28,713,Tom Brady,TB,QB,7900.0
29,29,159,Stefon Diggs,BUF,WR,7900.0
30,30,318,Adam Thielen,MIN,WR,7800.0
31,31,104,Cam Newton,NE,QB,7700.0
32,32,208,Michael Thomas,NO,WR,7700.0
33,33,780,Carson Wentz,PHI,QB,7600.0
34,34,725,Matt Ryan,ATL,QB,7600.0
35,35,714,Drew Brees,NO,QB,7500.0
36,36,424,Joe Mixon,CIN,RB,7500.0
37,37,849,AJ Brown,TEN,WR,7500.0
38,38,129,Ryan Tannehill,TEN,QB,7500.0
39,39,829,Miles Sanders,PHI,RB,7500.0
40,40,79,James Robinson,JAC,RB,7400.0
41,41,373,Will Fuller,HOU,WR,7400.0
42,42,493,Chris Godwin,TB,WR,7400.0
43,43,109,Andy Dalton,DAL,QB,7400.0
44,44,861,Ryan Fitzpatrick,MIA,QB,7400.0
