,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
0,0,404,Christian McCaffrey,CAR,RB,10000.0
1,1,267,Derrick Henry,TEN,RB,9500.0
2,2,461,Patrick Mahomes,KC,QB,9200.0
3,3,392,Dalvin Cook,MIN,RB,9200.0
4,4,345,Davante Adams,GB,WR,9100.0
5,5,318,Alvin Kamara,NO,RB,9000.0
6,6,264,Ezekiel Elliott,DAL,RB,8900.0
7,7,112,Russell Wilson,SEA,QB,8700.0
8,8,179,Michael Thomas,NO,WR,8600.0
9,9,286,Aaron Jones,GB,RB,8500.0
10,10,210,Mike Davis,CAR,RB,8400.0
11,11,583,Calvin Ridley,ATL,WR,8400.0
12,12,641,Aaron Rodgers,GB,QB,8400.0
13,13,531,Lamar Jackson,BAL,QB,8300.0
14,14,92,Julio Jones,ATL,WR,8300.0
15,15,334,Kareem Hunt,CLE,RB,8200.0
16,16,513,Josh Allen,BUF,QB,8200.0
17,17,386,Tyreek Hill,KC,WR,8100.0
18,18,383,Nick Chubb,CLE,RB,8000.0
19,19,621,Matt Ryan,ATL,QB,8000.0
20,20,242,Travis Kelce,KC,TE,7900.0
21,21,715,Miles Sanders,PHI,RB,7900.0
22,22,736,DK Metcalf,SEA,WR,7800.0
23,23,731,Josh Jacobs,LV,RB,7800.0
24,24,610,Tom Brady,TB,QB,7700.0
25,25,273,George Kittle,SF,TE,7700.0
26,26,272,Adam Thielen,MIN,WR,7700.0
27,27,647,Justin Herbert,LAC,QB,7700.0
28,28,421,Chris Godwin,TB,WR,7600.0
29,29,538,Joe Burrow,CIN,QB,7600.0
30,30,394,Kenny Golladay,DET,WR,7600.0
31,31,571,Chris Carson,SEA,RB,7600.0
32,32,611,Drew Brees,NO,QB,7600.0
33,33,672,Carson Wentz,PHI,QB,7500.0
34,34,780,Clyde Edwards-Helaire,KC,RB,7500.0
35,35,733,AJ Brown,TEN,WR,7500.0
36,36,110,Ryan Tannehill,TEN,QB,7500.0
37,37,216,Amari Cooper,DAL,WR,7500.0
38,38,90,Cam Newton,NE,QB,7400.0
39,39,188,Keenan Allen,LAC,WR,7400.0
40,40,365,Joe Mixon,CIN,RB,7400.0
41,41,751,Cooper Kupp,LAR,WR,7300.0
42,42,344,Derek Carr,LV,QB,7300.0
43,43,256,Jared Goff,LAR,QB,7300.0
44,44,803,Jonathan Taylor,IND,RB,7300.0
45,45,243,Teddy Bridgewater,CAR,QB,7300.0
46,46,624,Matthew Stafford,DET,QB,7200.0
47,47,152,Tyler Lockett,SEA,WR,7200.0
48,48,303,Baker Mayfield,CLE,QB,7200.0
49,49,137,Stefon Diggs,BUF,WR,7100.0
50,50,619,Ben Roethlisberger,PIT,QB,7100.0
51,51,236,Mike Evans,TB,WR,7100.0
52,52,209,Todd Gurley,ATL,RB,7100.0
53,53,117,Kirk Cousins,MIN,QB,7100.0
54,54,199,Robert Woods,LAR,WR,7000.0
55,55,569,Drew Lock,DEN,QB,7000.0
56,56,527,DJ Moore,CAR,WR,7000.0
57,57,364,Mark Andrews,BAL,TE,7000.0
58,58,341,Jamaal Williams,GB,RB,7000.0
59,59,749,Philip Rivers,IND,QB,6900.0
60,60,290,James Conner,PIT,RB,6900.0
61,61,546,Daniel Jones,NYG,QB,6900.0
62,62,180,Allen Robinson,CHI,WR,6800.0
63,63,136,Darren Waller,LV,TE,6800.0
64,64,807,Tua Tagovailoa,MIA,QB,6800.0
65,65,95,Andy Dalton,DAL,QB,6800.0
66,66,323,Boston Scott,PHI,RB,6800.0
67,67,114,Nick Foles,CHI,QB,6700.0
68,68,184,Melvin Gordon,DEN,RB,6700.0
69,69,221,Odell Beckham,CLE,WR,6700.0
70,70,147,Robby Anderson,CAR,WR,6600.0
71,71,779,Justin Jefferson,MIN,WR,6600.0
72,72,397,Jimmy Garoppolo,SF,QB,6600.0
73,73,484,Jarrett Stidham,NE,QB,6500.0
74,74,431,JuJu Smith-Schuster,PIT,WR,6500.0
75,75,182,Raheem Mostert,SF,RB,6500.0
76,76,732,Alexander Mattison,MIN,RB,6500.0
77,77,756,Austin Ekeler,LAC,RB,6500.0
78,78,748,Brian Hoyer,NE,QB,6500.0
79,79,552,Sam Darnold,NYJ,QB,6500.0
80,80,542,Ben DiNucci,DAL,QB,6500.0
81,81,743,Ryan Fitzpatrick,MIA,QB,6400.0
82,82,289,Tyler Boyd,CIN,WR,6400.0
83,83,260,Mitchell Trubisky,CHI,QB,6400.0
84,84,231,Garrett Gilbert,DAL,QB,6400.0
85,85,102,Tyrod Taylor,LAC,QB,6300.0
86,86,553,Ronald Jones,TB,RB,6300.0
87,87,132,Jamison Crowder,NYJ,WR,6300.0
88,88,465,Travis Fulgham,PHI,WR,6300.0
89,89,628,Joe Flacco,NYJ,QB,6300.0
90,90,811,D'Andre Swift,DET,RB,6300.0
91,91,563,Darius Slayton,NYG,WR,6200.0
92,92,304,Nick Mullens,SF,QB,6200.0
93,93,419,Jeff Wilson,SF,RB,6200.0
94,94,166,CJ Beathard,SF,QB,6200.0
95,95,620,Diontae Johnson,PIT,WR,6200.0
96,96,354,Jonnu Smith,TEN,TE,6100.0
97,97,656,Jalen Hurts,PHI,QB,6100.0
98,98,244,DeVante Parker,MIA,WR,6100.0
99,99,197,Matt Barkley,BUF,QB,6100.0
100,100,670,Darrell Henderson,LAR,RB,6100.0
101,101,206,Jeff Driskel,DEN,QB,6100.0
102,102,493,Brett Rypien,DEN,QB,6100.0
103,103,172,Trevor Siemian,TEN,QB,6000.0
104,104,1,Easton Stick,LAC,QB,6000.0
105,105,150,Geno Smith,SEA,QB,6000.0
106,106,707,TJ Hockenson,DET,TE,6000.0
107,107,30,Emmanuel Sanders,NO,WR,6000.0
108,108,348,Ryan Finley,CIN,QB,6000.0
109,109,28,Colt McCoy,NYG,QB,6000.0
110,110,165,Nate Sudfeld,PHI,QB,6000.0
111,111,804,Tee Higgins,CIN,WR,6000.0
112,112,171,Le'Veon Bell,KC,RB,6000.0
113,113,712,Anthony Gordon,SEA,QB,6000.0
114,114,193,Marcus Mariota,LV,QB,6000.0
115,115,227,Dak Prescott,DAL,QB,6000.0
116,116,266,Kurt Benkert,ATL,QB,6000.0
117,117,265,Danny Etling,SEA,QB,6000.0
118,118,495,J'mar Smith,NE,QB,6000.0
119,119,626,Matt Schaub,ATL,QB,6000.0
120,120,654,Jacob Eason,IND,QB,6000.0
121,121,252,Blake Bortles,DEN,QB,6000.0
122,122,248,Ryan Griffin,TB,QB,6000.0
123,123,660,Shea Patterson,KC,QB,6000.0
124,124,246,Paxton Lynch,PIT,QB,6000.0
125,125,661,Darius Bradwell,LAC,QB,6000.0
126,126,16,Jake Dolegala,NE,QB,6000.0
127,127,436,John Wolford,LAR,QB,6000.0
128,128,669,Tyler Huntley,BAL,QB,6000.0
129,129,812,Jake Fromm,BUF,QB,6000.0
130,130,194,Sean Mannion,MIN,QB,6000.0
131,131,326,David Fales,NYJ,QB,6000.0
132,132,332,Cooper Rush,NYG,QB,6000.0
133,133,219,Brandon Allen,CIN,QB,6000.0
134,134,214,Tyler Bray,CHI,QB,6000.0
135,135,213,Nathan Peterman,LV,QB,6000.0
136,136,490,Kendall Hinton,DEN,QB,6000.0
137,137,497,James Morgan,NYJ,QB,6000.0
138,138,359,Manny Wilkins,GB,QB,6000.0
139,139,205,Jacoby Brissett,IND,QB,6000.0
140,140,335,Logan Woodside,TEN,QB,6000.0
141,141,202,Zach Ertz,PHI,TE,6000.0
142,142,442,Trace McSorley,BAL,QB,6000.0
143,143,274,Davis Webb,BUF,QB,6000.0
144,144,357,Will Grier,CAR,QB,6000.0
145,145,399,Jerick McKinnon,SF,RB,6000.0
146,146,566,Josh Love,LAR,QB,6000.0
147,147,631,Josh McCown,PHI,QB,6000.0
148,148,508,Tommy Stevens,NO,QB,6000.0
149,149,514,Josh Rosen,TB,QB,6000.0
150,150,129,Chad Kelly,IND,QB,6000.0
151,151,71,Broc Rutter,SF,QB,6000.0
152,152,506,Josh Thomas,BUF,QB,6000.0
153,153,287,Tim Boyle,GB,QB,6000.0
154,154,82,Case Cookus,NYG,QB,6000.0
155,155,387,Mason Rudolph,PIT,QB,6000.0
156,156,126,Alex Tanney,NYG,QB,6000.0
157,157,766,Kyle Lauletta,CLE,QB,6000.0
158,158,124,Case Keenum,CLE,QB,6000.0
