,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
0,0,416,Christian McCaffrey,CAR,RB,10000.0
1,1,270,Ezekiel Elliott,DAL,RB,9500.0
2,2,329,Alvin Kamara,NO,RB,9300.0
3,3,470,Patrick Mahomes,KC,QB,9000.0
4,4,107,DeAndre Hopkins,ARI,WR,9000.0
5,5,352,Davante Adams,GB,WR,8900.0
6,6,274,Derrick Henry,TEN,RB,8900.0
7,7,517,Josh Allen,BUF,QB,8800.0
8,8,112,Russell Wilson,SEA,QB,8700.0
9,9,180,Michael Thomas,NO,WR,8600.0
10,10,292,Aaron Jones,GB,RB,8500.0
11,11,549,Kyler Murray,ARI,QB,8400.0
12,12,590,Calvin Ridley,ATL,WR,8400.0
13,13,90,Julio Jones,ATL,WR,8300.0
14,14,648,Aaron Rodgers,GB,QB,8100.0
15,15,392,Nick Chubb,CLE,RB,8000.0
16,16,395,Tyreek Hill,KC,WR,8000.0
17,17,414,Deshaun Watson,HOU,QB,8000.0
18,18,721,Miles Sanders,PHI,RB,7900.0
19,19,245,Travis Kelce,KC,TE,7900.0
20,20,736,Josh Jacobs,LV,RB,7800.0
21,21,627,Matt Ryan,ATL,QB,7800.0
22,22,220,Amari Cooper,DAL,WR,7800.0
23,23,213,Mike Davis,CAR,RB,7700.0
24,24,616,Drew Brees,NO,QB,7700.0
25,25,88,Cam Newton,NE,QB,7600.0
26,26,403,Kenny Golladay,DET,WR,7600.0
27,27,576,Chris Carson,SEA,RB,7600.0
28,28,261,Jared Goff,LAR,QB,7500.0
29,29,135,Stefon Diggs,BUF,WR,7500.0
30,30,654,Justin Herbert,LAC,QB,7500.0
31,31,370,Joe Mixon,CIN,RB,7400.0
32,32,615,Tom Brady,TB,QB,7400.0
33,33,625,Ben Roethlisberger,PIT,QB,7400.0
34,34,433,Chris Godwin,TB,WR,7400.0
35,35,151,Tyler Lockett,SEA,WR,7400.0
36,36,676,Carson Wentz,PHI,QB,7400.0
37,37,630,Matthew Stafford,DET,QB,7300.0
38,38,740,DK Metcalf,SEA,WR,7300.0
39,39,110,Ryan Tannehill,TEN,QB,7300.0
40,40,241,Mike Evans,TB,WR,7300.0
41,41,297,James Conner,PIT,RB,7200.0
42,42,92,Andy Dalton,DAL,QB,7200.0
43,43,510,Gardner Minshew,JAC,QB,7200.0
44,44,453,Terry McLaurin,WSH,WR,7100.0
45,45,342,Kareem Hunt,CLE,RB,7100.0
