,Unnamed: 0,Name,Team,Position,Salary
320,723,J.J. Taylor,NE,RB,4700.0
321,235,Jakeem Grant,MIA,WR,4700.0
322,415,Reggie Bonnafon,CAR,RB,4700.0
323,304,DaeSean Hamilton,DEN,WR,4700.0
324,207,Cordarrelle Patterson,CHI,WR,4700.0
325,624,JaMycal Hasty,SF,RB,4700.0
326,49,Washington Football Team,WSH,DST,4600.0
327,534,Steven Sims,WSH,WR,4600.0
328,825,Antonio Gandy-Golden,WSH,WR,4600.0
329,631,Marcedes Lewis,GB,TE,4600.0
330,704,Lamical Perine,NYJ,RB,4600.0
331,445,Noah Brown,DAL,WR,4600.0
332,454,Dante Pettis,SF,WR,4600.0
333,175,Jesse James,DET,TE,4600.0
334,180,Alex Erickson,CIN,WR,4600.0
335,391,Brian Hill,ATL,RB,4600.0
336,425,Ito Smith,ATL,RB,4600.0
337,354,Brandon Powell,ATL,WR,4600.0
338,702,Javon Wims,CHI,WR,4600.0
339,564,Lawrence Cager,NYJ,WR,4600.0
340,769,Justin Watson,TB,WR,4600.0
341,692,Benny Snell Jr.,PIT,RB,4600.0
342,309,Jordan Wilkins,IND,RB,4600.0
343,132,Chris Thompson,JAC,RB,4600.0
344,726,Ian Thomas,CAR,TE,4600.0
345,38,Los Angeles Rams,LAR,DST,4600.0
346,323,Boston Scott,PHI,RB,4600.0
347,606,Miles Boykin,BAL,WR,4600.0
348,137,Giovani Bernard,CIN,RB,4600.0
349,140,Duke Johnson Jr.,HOU,RB,4600.0
350,80,Reggie Begelton,GB,WR,4600.0
351,623,Deontay Burnett,PHI,WR,4600.0
352,463,Gerald Everett,LAR,TE,4600.0
353,758,C.J. Board,NYG,WR,4600.0
354,278,Gus Edwards,BAL,RB,4600.0
355,554,Isaiah Zuber,NE,WR,4500.0
356,505,David Sills V,NYG,WR,4500.0
357,560,Jared Pinkney,ATL,WR,4500.0
358,501,Jaylinn Hawkins,ATL,WR,4500.0
359,497,Stanley Morgan Jr.,CIN,WR,4500.0
360,546,Jordan Scarlett,CAR,RB,4500.0
361,496,Devine Ozigbo,JAC,RB,4500.0
362,550,Quadree Henderson,PIT,WR,4500.0
363,551,John Kelly,CLE,RB,4500.0
364,506,Chandler Cox,MIA,RB,4500.0
365,510,Olabisi Johnson,MIN,WR,4500.0
366,544,Mike Weber,KC,RB,4500.0
367,538,Gary Jennings Jr.,MIA,WR,4500.0
368,530,Omar Bayless,CAR,WR,4500.0
369,527,DeAndre Carter,HOU,WR,4500.0
370,563,Jakobi Meyers,NE,WR,4500.0
371,516,Deon Cain,PIT,WR,4500.0
372,512,James Gilbert,LAR,RB,4500.0
373,537,Ty Johnson,NYJ,RB,4500.0
374,541,James Proche,BAL,WR,4500.0
375,556,Kirk Merritt,MIA,WR,4500.0
376,509,Jacques Patrick,CIN,RB,4500.0
377,508,George Campbell,NYJ,WR,4500.0
378,542,Xavier Jones,LAR,RB,4500.0
379,507,Jauan Jennings,SF,WR,4500.0
380,557,Aca'Cedric Ware,TB,RB,4500.0
381,569,K.J. Osborn,MIN,WR,4500.0
382,547,Terry Godwin,JAC,WR,4500.0
383,0,Christian Wade,BUF,RB,4500.0
384,575,Johnathon Johnson,WSH,WR,4500.0
385,729,Isaiah Wright,WSH,WR,4500.0
386,761,Patrick Ricard,BAL,RB,4500.0
387,754,Alex Armah,CAR,RB,4500.0
388,752,Tarik Cohen,CHI,RB,4500.0
389,751,Chad Williams,KC,WR,4500.0
390,745,Matthew Slater,NE,WR,4500.0
391,742,Quez Watkins,PHI,WR,4500.0
392,741,Rashad Medaris,ARI,WR,4500.0
393,738,Binjimen Victor,NYG,WR,4500.0
394,735,Aleva Hifo,KC,WR,4500.0
395,734,Anthony Johnson,PIT,WR,4500.0
396,730,Adrian Killins Jr.,PHI,RB,4500.0
397,727,Patrick Taylor Jr.,GB,RB,4500.0
398,770,Trenton Cannon,CAR,RB,4500.0
399,725,Trishton Jackson,LAR,WR,4500.0
400,724,Denzel Mims,NYJ,WR,4500.0
401,722,Rico Dowdle,DAL,RB,4500.0
402,721,Antoine Wesley,BAL,WR,4500.0
403,720,Raymond Calais,LAR,RB,4500.0
404,719,Malcolm Perry,MIA,RB,4500.0
405,714,Sean Riley,NE,WR,4500.0
406,710,Justice Hill,BAL,RB,4500.0
407,709,Maurice Ffrench,KC,WR,4500.0
408,708,Quartney Davis,MIN,WR,4500.0
409,707,Kendrick Rogers,DAL,WR,4500.0
410,765,Brandon Zylstra,CAR,WR,4500.0
411,775,De'Lance Turner,MIA,RB,4500.0
412,576,Emanuel Hall,WSH,WR,4500.0
413,806,De'Michael Harris,IND,WR,4500.0
414,831,Sirgeo Hoffman,ARI,RB,4500.0
415,826,Darwin Thompson,KC,RB,4500.0
416,824,Jeff Thomas,NE,WR,4500.0
417,823,Easop Winston Jr.,LAR,WR,4500.0
418,822,Terry Wright,MIA,WR,4500.0
419,821,AJ Dillon,GB,RB,4500.0
420,820,Isaiah Hodgins,BUF,WR,4500.0
421,819,Cody White,PIT,WR,4500.0
422,818,Damion Willis,CIN,WR,4500.0
423,814,Donovan Peoples-Jones,CLE,WR,4500.0
424,813,Stephen Guidry,DAL,WR,4500.0
425,803,Scottie Phillips,HOU,RB,4500.0
426,778,Vyncint Smith,NYJ,WR,4500.0
427,802,Javon Leake,NYG,RB,4500.0
428,801,JoJo Ward,ARI,WR,4500.0
429,797,Noah Igbinoghene,MIA,WR,4500.0
430,796,Ahmad Wagner,CHI,WR,4500.0
431,795,Lynn Bowden Jr.,MIA,WR,4500.0
432,794,Salvon Ahmed,MIA,RB,4500.0
433,789,Michael Warren II,PHI,RB,4500.0
434,787,Dominique Dafney,IND,WR,4500.0
435,786,Nick Easley,BUF,WR,4500.0
436,783,Eno Benjamin,ARI,RB,4500.0
437,780,KhaDarel Hodge,CLE,WR,4500.0
438,705,Tyrie Cleveland,DEN,WR,4500.0
439,703,Tyler Simmons,HOU,WR,4500.0
440,701,Brian Herrien,CLE,RB,4500.0
441,602,Josh Adams,NYJ,RB,4500.0
442,617,LeVante Bellamy,DEN,RB,4500.0
443,616,Ja'Marcus Bradley,CLE,WR,4500.0
444,615,Michael Jacquet,PHI,WR,4500.0
445,613,Trenton Irwin,CIN,WR,4500.0
446,612,Cameron Scarlett,TEN,RB,4500.0
