,Unnamed: 0,Unnamed: 0.1,Name,Team,Position,Salary
120,120,256,Paxton Lynch,PIT,QB,6000.0
121,121,227,Tyler Bray,CHI,QB,6000.0
122,122,671,Darius Bradwell,LAC,QB,6000.0
123,123,419,Clayton Thorson,NYG,QB,6000.0
124,124,666,Jacob Eason,IND,QB,6000.0
125,125,239,Dak Prescott,DAL,QB,6000.0
126,126,228,Kenyan Drake,ARI,RB,6000.0
127,127,277,Danny Etling,SEA,QB,6000.0
128,128,1,Easton Stick,LAC,QB,6000.0
129,129,715,TJ Hockenson,DET,TE,6000.0
130,130,670,Shea Patterson,KC,QB,6000.0
131,131,226,Nathan Peterman,LV,QB,6000.0
132,132,489,Jake Browning,MIN,QB,6000.0
133,133,159,Geno Smith,SEA,QB,6000.0
134,134,832,Devlin Hodges,PIT,QB,6000.0
135,135,805,Chase Daniel,DET,QB,6000.0
136,136,217,Jacoby Brissett,IND,QB,6000.0
137,137,215,Brett Hundley,ARI,QB,6000.0
138,138,378,David Blough,DET,QB,6000.0
139,139,515,Riley Neal,DEN,QB,6000.0
140,140,278,Kurt Benkert,ATL,QB,6000.0
141,141,85,Case Cookus,NYG,QB,6000.0
142,142,62,Reid Sinnett,MIA,QB,6000.0
143,143,95,Blaine Gabbert,TB,QB,6000.0
144,144,27,Colt McCoy,NYG,QB,6000.0
145,145,339,David Fales,NYJ,QB,6000.0
146,146,344,Cooper Rush,DAL,QB,6000.0
147,147,346,Logan Woodside,TEN,QB,6000.0
148,148,751,Chad Henne,KC,QB,6000.0
149,149,349,Corey Davis,TEN,WR,6000.0
150,150,82,Jalen Morton,GB,QB,6000.0
151,151,809,Jordan Ta'amu,KC,QB,6000.0
152,152,531,Travis Jonsen,TB,QB,6000.0
153,153,587,Steven Montez,WSH,QB,6000.0
154,154,395,Mason Rudolph,PIT,QB,6000.0
155,155,75,Broc Rutter,SF,QB,6000.0
156,156,443,Deebo Samuel,SF,WR,6000.0
157,157,364,Will Grier,CAR,QB,6000.0
158,158,366,Manny Wilkins,GB,QB,6000.0
159,159,571,Kyle Shurmur,KC,QB,6000.0
160,160,525,Josh Rosen,TB,QB,6000.0
161,161,604,Damien Harris,NE,RB,6000.0
162,162,607,Brian Lewerke,NE,QB,6000.0
163,163,14,Jake Dolegala,NE,QB,6000.0
164,164,135,Chad Kelly,IND,QB,6000.0
165,165,638,Matt Schaub,ATL,QB,6000.0
166,166,509,James Morgan,NYJ,QB,6000.0
167,167,131,Alex Tanney,NYG,QB,6000.0
168,168,538,Nick Tiano,HOU,QB,6000.0
169,169,286,Davis Webb,BUF,QB,6000.0
170,170,474,DeShone Kizer,LV,QB,6000.0
171,171,732,Cole McDonald,TEN,QB,6000.0
172,172,320,Phillip Walker,CAR,QB,6000.0
173,173,632,Diontae Johnson,PIT,WR,6000.0
174,174,296,Joshua Dobbs,PIT,QB,6000.0
175,175,516,Josh Thomas,BUF,QB,6000.0
176,176,407,Alex McGough,HOU,QB,6000.0
177,177,116,Robert Griffin,BAL,QB,6000.0
178,178,298,Tim Boyle,GB,QB,6000.0
179,179,820,Jake Fromm,BUF,QB,6000.0
180,180,819,D'Andre Swift,DET,RB,6000.0
181,181,519,Tommy Stevens,NO,QB,6000.0
182,182,455,Trace McSorley,BAL,QB,6000.0
183,183,421,Justin Jackson,LAC,RB,5900.0
184,184,578,Darius Slayton,NYG,WR,5900.0
185,185,494,Myles Gaskin,MIA,RB,5900.0
186,186,508,Scotty Miller,TB,WR,5900.0
187,187,385,Leonard Fournette,TB,RB,5900.0
188,188,491,Christian Kirk,ARI,WR,5900.0
189,189,750,Jared Cook,NO,TE,5900.0
190,190,747,David Montgomery,CHI,RB,5900.0
191,191,796,Marquise Brown,BAL,WR,5800.0
192,192,714,Noah Fant,DEN,TE,5800.0
193,193,795,CeeDee Lamb,DAL,WR,5800.0
194,194,678,Zack Moss,BUF,RB,5800.0
195,195,24,Rob Gronkowski,TB,TE,5800.0
196,196,689,Devin Singletary,BUF,RB,5800.0
197,197,629,JaMycal Hasty,SF,RB,5800.0
198,198,185,Carlos Hyde,SEA,RB,5700.0
199,199,361,Jonnu Smith,TEN,TE,5700.0
200,200,814,Jerry Jeudy,DEN,WR,5700.0
201,201,753,Julian Edelman,NE,WR,5700.0
202,202,313,Phillip Lindsay,DEN,RB,5700.0
203,203,813,Henry Ruggs,LV,WR,5700.0
204,204,702,Mecole Hardman,KC,WR,5600.0
205,205,410,Jerick McKinnon,SF,RB,5600.0
206,206,303,Hunter Henry,LAC,TE,5600.0
207,207,322,Jordan Wilkins,IND,RB,5600.0
208,208,582,Hayden Hurst,ATL,TE,5600.0
209,209,647,Tyler Johnson,TB,WR,5600.0
210,210,379,Curtis Samuel,CAR,WR,5600.0
211,211,96,Mark Ingram,BAL,RB,5600.0
212,212,288,Wayne Gallman,NYG,RB,5500.0
213,213,169,Sterling Shepard,NYG,WR,5500.0
214,214,323,Evan Engram,NYG,TE,5500.0
215,215,25,Golden Tate,NYG,WR,5500.0
216,216,672,Darnell Mooney,CHI,WR,5500.0
217,217,656,N'Keal Harry,NE,WR,5500.0
218,218,142,Devonta Freeman,NYG,RB,5500.0
219,219,136,Sammy Watkins,KC,WR,5500.0
220,220,409,John Brown,BUF,WR,5500.0
221,221,180,Le'Veon Bell,KC,RB,5500.0
222,222,462,Allen Lazard,GB,WR,5500.0
223,223,219,Trey Burton,IND,TE,5500.0
224,224,804,Laviska Shenault,JAC,WR,5400.0
225,225,572,Nyheim Hines,IND,RB,5400.0
226,226,146,Eric Ebron,PIT,TE,5400.0
227,227,729,Denzel Mims,NYJ,WR,5400.0
228,228,267,Demarcus Robinson,KC,WR,5400.0
229,229,295,Gus Edwards,BAL,RB,5400.0
230,230,383,Russell Gage,ATL,WR,5400.0
231,231,821,Joshua Kelley,LAC,RB,5400.0
232,232,99,Randall Cobb,HOU,WR,5400.0
233,233,197,James White,NE,RB,5400.0
234,234,676,Michael Gallup,DAL,WR,5400.0
235,235,772,Danny Amendola,DET,WR,5300.0
236,236,639,Adrian Peterson,DET,RB,5300.0
237,237,803,JK Dobbins,BAL,RB,5300.0
238,238,30,Jimmy Graham,CHI,TE,5300.0
239,239,121,TY Hilton,IND,WR,5300.0
240,240,470,Tre'Quan Smith,NO,WR,5300.0
241,241,126,Cole Beasley,BUF,WR,5300.0
242,242,705,Lamical Perine,NYJ,RB,5300.0
243,243,467,Tim Patrick,DEN,WR,5300.0
244,244,454,Mike Gesicki,MIA,TE,5300.0
245,245,174,Tevin Coleman,SF,RB,5200.0
246,246,577,Kerryon Johnson,DET,RB,5200.0
247,247,334,JD McKissic,WSH,RB,5200.0
248,248,390,Zach Pascal,IND,WR,5200.0
249,249,767,Kendrick Bourne,SF,WR,5200.0
250,250,224,Damiere Byrd,NE,WR,5200.0
251,251,268,Darren Fells,HOU,TE,5200.0
252,252,710,Travis Homer,SEA,RB,5200.0
253,253,762,Keelan Cole,JAC,WR,5200.0
254,254,761,David Moore,SEA,WR,5200.0
255,255,479,Hunter Renfrow,LV,WR,5100.0
256,256,326,Anthony Miller,CHI,WR,5100.0
257,257,827,DeeJay Dallas,SEA,RB,5100.0
258,258,374,Braxton Berrios,NYJ,WR,5100.0
259,259,299,Marquez Valdes-Scantling,GB,WR,5100.0
260,260,343,Willie Snead,BAL,WR,5100.0
261,261,737,Alexander Mattison,MIN,RB,5100.0
262,262,165,Rex Burkhead,NE,RB,5100.0
263,263,415,Dalton Schultz,DAL,TE,5100.0
264,264,539,Preston Williams,MIA,WR,5100.0
265,265,137,Adam Humphries,TEN,WR,5000.0
266,266,573,Jakobi Meyers,NE,WR,5000.0
267,267,133,Mo Alie-Cox,IND,TE,5000.0
268,268,132,Josh Gordon,SEA,WR,5000.0
269,269,644,Frank Gore,NYJ,RB,5000.0
270,270,692,Albert Okwuegbunam,DEN,TE,5000.0
271,271,156,Logan Thomas,WSH,TE,5000.0
272,272,694,Benny Snell,PIT,RB,5000.0
273,273,263,Breshad Perriman,NYJ,WR,5000.0
274,274,650,Larry Fitzgerald,ARI,WR,5000.0
275,275,393,Sony Michel,NE,RB,5000.0
276,276,212,Nelson Agholor,LV,WR,5000.0
277,277,265,Latavius Murray,NO,RB,5000.0
278,278,399,Brian Hill,ATL,RB,5000.0
279,279,50,Pittsburgh Steelers,PIT,DST,5000.0
280,280,659,Michael Pittman,IND,WR,5000.0
281,281,435,James Washington,PIT,WR,5000.0
282,282,245,Marcus Johnson,IND,WR,4900.0
283,283,668,Cedrick Wilson,DAL,WR,4900.0
284,284,45,New England Patriots,NE,DST,4900.0
285,285,290,Jack Doyle,IND,TE,4900.0
286,286,768,Anthony Firkser,TEN,TE,4900.0
287,287,576,Tony Pollard,DAL,RB,4900.0
288,288,12,Deonte Harris,NO,WR,4900.0
289,289,825,AJ Dillon,GB,RB,4900.0
290,290,283,Devontae Booker,LV,RB,4900.0
291,291,684,Kalif Raymond,TEN,WR,4900.0
292,292,617,Jalen Guyton,LAC,WR,4900.0
293,293,441,Royce Freeman,DEN,RB,4900.0
294,294,699,Marquez Callaway,NO,WR,4800.0
295,295,469,Jordan Akins,HOU,TE,4800.0
296,296,696,Devin Duvernay,BAL,WR,4800.0
297,297,457,Christian Blake,ATL,WR,4800.0
298,298,831,Gabriel Davis,BUF,WR,4800.0
299,299,40,Indianapolis Colts,IND,DST,4800.0
300,300,434,Ito Smith,ATL,RB,4800.0
301,301,151,Duke Johnson,HOU,RB,4800.0
302,302,427,Qadree Ollison,ATL,RB,4800.0
303,303,546,Ke'Shawn Vaughn,TB,RB,4800.0
304,304,778,Ross Dwelley,SF,TE,4800.0
305,305,655,Greg Olsen,SEA,TE,4800.0
306,306,613,Miles Boykin,BAL,WR,4800.0
307,307,793,KJ Hamler,DEN,WR,4800.0
308,308,389,Matt Breida,MIA,RB,4700.0
309,309,502,Devine Ozigbo,JAC,RB,4700.0
310,310,55,Washington Football Team,WSH,DST,4700.0
311,311,601,Olamide Zaccheaus,ATL,WR,4700.0
312,312,456,Isaiah Ford,MIA,WR,4700.0
313,313,594,Jeff Smith,NYJ,WR,4700.0
314,314,556,Andy Isabella,ARI,WR,4700.0
315,315,412,Cameron Brate,TB,TE,4700.0
316,316,776,Trenton Cannon,CAR,RB,4700.0
317,317,340,Tyler Ervin,GB,RB,4700.0
318,318,661,Byron Pringle,KC,WR,4700.0
319,319,225,Cordarrelle Patterson,CHI,WR,4700.0
320,320,141,Chris Thompson,JAC,RB,4700.0
321,321,111,Chris Hogan,NYJ,WR,4700.0
322,322,153,Tyler Kroft,BUF,TE,4700.0
323,323,673,Collin Johnson,JAC,WR,4700.0
324,324,730,Ian Thomas,CAR,TE,4600.0
325,325,703,Javon Wims,CHI,WR,4600.0
326,326,381,Darrel Williams,KC,RB,4600.0
327,327,392,Isaiah McKenzie,BUF,WR,4600.0
328,328,461,Will Dissly,SEA,TE,4600.0
329,329,723,Quintez Cephus,DET,WR,4600.0
330,330,735,Irv Smith,MIN,TE,4600.0
331,331,458,Jeremy McNichols,TEN,RB,4600.0
332,332,214,Ty Montgomery,NO,RB,4600.0
333,333,17,Malik Taylor,GB,WR,4600.0
334,334,119,Mohamed Sanu,SF,WR,4600.0
335,335,466,Ryan Nall,CHI,RB,4600.0
336,336,216,Marvin Hall,DET,WR,4600.0
337,337,168,Kenny Stills,HOU,WR,4600.0
