,Home,Away,Temp (C),Forecast,Wind (mph)
0,KC,HOU,14.4,Overcast,6
1,WSH,PHI,24.4,Partly Cloudy,4
2,NE,MIA,22.8,Clear,6
3,MIN,GB,n/a,DOME,2
4,JAX,IND,30.0,Humid and Mostly Cloudy,8
5,DET,CHI,n/a,DOME,11
6,CAR,LV,26.1,Clear,3
7,BUF,NYJ,18.3,Overcast,12
8,BAL,CLE,23.9,Partly Cloudy,5
9,ATL,SEA,n/a,DOME,3
10,CIN,LAC,28.3,Mostly Cloudy,4
11,SF,ARI,21.7,Clear,6
12,NO,TB,n/a,DOME,10
13,LAR,DAL,n/a,DOME,7
14,NYG,PIT,21.1,Clear,10
15,DEN,TEN,25.6,Foggy,7
