,Home,Away,Temp (C),Forecast,Wind (mph)
0,NYJ,DEN,18.3,Mostly Cloudy,4
1,WSH,BAL,18.9,Clear,4
2,TB,LAC,23.9,Humid and Overcast,7
3,MIA,SEA,30.0,Humid and Mostly Cloudy,13
4,HOU,MIN,26.1,Clear,2
5,DET,NO,n/a,DOME,5
6,DAL,CLE,22.8,Clear,11
7,CIN,JAX,18.9,Partly Cloudy,8
8,CHI,IND,9.4,Partly Cloudy,12
9,CAR,ARI,18.3,Clear,5
10,LAR,NYG,n/a,DOME,3
11,LV,BUF,n/a,DOME,4
12,SF,PHI,28.9,Clear,6
13,KC,NE,21.1,Clear,11
14,GB,ATL,11.7,Clear,12
