,Home,Away,Temp (C),Forecast,Wind (mph)
0,PHI,NYG,20.0,Partly Cloudy,3
1,TEN,PIT,14.4,Overcast,2
2,WSH,DAL,7.8,Overcast,6
3,NYJ,BUF,10.0,Partly Cloudy,6
4,NO,CAR,n/a,DOME,5
5,HOU,GB,21.7,Mostly Cloudy,5
6,CIN,CLE,8.9,Mostly Cloudy,5
7,ATL,DET,n/a,DOME,2
8,LV,TB,n/a,DOME,7
9,NE,SF,9.4,Overcast,5
10,DEN,KC,-10.0,Foggy,8
11,LAC,JAX,n/a,DOME,7
12,ARI,SEA,n/a,DOME,11
13,LAR,CHI,n/a,DOME,4
