,Home,Away,Temp (C),Forecast,Wind (mph)
0,DET,HOU,n/a,DOME,10
1,DAL,WSH,21.7,Clear,9
2,NYJ,MIA,10.0,Clear,5
3,NE,ARI,10.0,Clear,6
4,MIN,CAR,n/a,DOME,17
5,JAX,CLE,20.6,Mostly Cloudy,2
6,IND,TEN,n/a,DOME,5
7,CIN,NYG,7.8,Mostly Cloudy,4
8,BUF,LAC,7.8,Clear,11
9,ATL,LV,n/a,DOME,7
10,LAR,SF,n/a,DOME,3
11,DEN,NO,2.2,Clear,3
12,TB,KC,26.1,Mostly Cloudy,8
13,GB,CHI,1.1,Mostly Cloudy,14
14,PHI,SEA,16.7,Clear,12
15,PIT,BAL,0.6,Foggy,13
