,Home,Away,Day,Time
0,HOU,TEN,Sun,17:00
1,CIN,IND,Sun,17:00
2,ATL,MIN,Sun,17:00
3,DEN,NE,Sun,17:00
4,WSH,NYG,Sun,17:00
5,BAL,PHI,Sun,17:00
6,CLE,PIT,Sun,17:00
7,CHI,CAR,Sun,17:00
8,DET,JAX,Sun,17:00
9,NYJ,MIA,Sun,20:05
10,GB,TB,Sun,20:25
11,LAR,SF,Mon,00:20
12,KC,BUF,Mon,21:00
13,ARI,DAL,Tue,00:15
