,Home,Away,Day,Time
0,NYG,PHI,N/A,N/A
1,SEA,ARI,Mon,00:20
2,DET,ATL,N/A,N/A
3,CLE,CIN,N/A,N/A
4,PIT,TEN,N/A,N/A
5,CAR,NO,N/A,N/A
6,BUF,NYJ,N/A,N/A
7,DAL,WSH,N/A,N/A
8,GB,HOU,N/A,N/A
9,TB,LV,N/A,N/A
10,KC,DEN,N/A,N/A
11,SF,NE,N/A,N/A
12,JAX,LAC,N/A,N/A
13,CHI,LAR,Tue,00:15
