pfr,abrev
GNB,GB
DET,DET
MIN,MIN
NYG,NYG
HOU,HOU
PHI,PHI
NYJ,NYJ
CHI,CHI
BAL,BAL
LVR,LV
TAM,TB
MIA,MIA
IND,IND
SFO,SF
LAR,LAR
CIN,CIN
CLE,CLE
DEN,DEN
NWE,NE
BUF,BUF
SDG,LAC
LAC,LAC
CAR,CAR
WAS,WSH
TEN,TEN
PIT,PIT
JAX,JAX
NOR,NO
ARI,ARI
OAK,LV
STL,LAR
DAL,DAL
KAN,KC
SEA,SEA
ATL,ATL
