,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,IND,DEF,2,3,-,1,2,-,-,7,26.00
1,TB,DEF,6,2,-,1,-,-,-,10,16.00
2,NE,DEF,2,-,3,-,1,-,-,20,15.00
3,CLE,DEF,3,3,2,-,-,-,-,20,14.00
4,SF,DEF,2,1,2,-,-,-,-,9,12.00
5,MIA,DEF,4,1,1,-,-,-,-,13,12.00
6,CAR,DEF,2,1,3,-,-,-,-,16,11.00
7,SEA,DEF,2,2,1,1,-,-,-,31,9.00
8,PHI,DEF,8,-,-,-,-,-,-,23,8.00
9,CIN,DEF,3,2,-,-,-,-,-,23,7.00
10,KC,DEF,4,-,1,-,-,-,-,20,7.00
11,DET,DEF,1,3,-,-,-,-,-,23,7.00
12,BAL,DEF,-,-,1,-,-,-,1,34,7.00
13,PIT,DEF,5,1,-,-,-,-,-,21,7.00
14,TEN,DEF,2,2,1,-,-,-,-,30,7.00
15,BUF,DEF,2,1,1,-,-,-,-,32,5.00
16,ATL,DEF,2,2,-,-,-,-,-,30,5.00
17,CHI,DEF,2,1,-,-,-,-,-,26,4.00
18,ARI,DEF,4,-,-,-,-,-,-,26,4.00
19,LAR,DEF,4,1,1,-,-,-,-,35,4.00
20,GB,DEF,2,-,1,-,-,-,-,30,3.00
21,LV,DEF,2,1,-,-,-,-,-,30,3.00
22,MIN,DEF,2,1,-,-,-,-,-,31,3.00
23,DEN,DEF,2,-,-,-,-,-,-,26,2.00
24,LAC,DEF,2,-,-,-,-,-,-,21,2.00
25,DAL,DEF,4,-,1,-,-,-,-,36,2.00
26,WSH,DEF,2,-,-,-,-,-,-,34,1.00
27,HOU,DEF,2,-,-,-,-,-,-,28,1.00
28,JAX,DEF,1,-,-,-,-,-,-,31,0.00
29,NYJ,DEF,-,-,-,-,-,-,-,22,0.00
30,NYG,DEF,2,-,-,-,-,-,-,36,-2.00
31,NO,DEF,1,-,-,-,-,-,-,37,-3.00
