,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,DAL,DEF,2,2,2,-,-,-,1,33,15.00
1,BUF,DEF,3,-,1,-,1,-,-,19,12.00
2,IND,DEF,5,-,2,-,-,-,-,20,10.00
3,BAL,DEF,5,-,1,1,-,-,-,14,10.00
4,MIA,DEF,3,-,1,-,-,-,-,12,9.00
5,SEA,DEF,4,2,-,-,-,-,-,15,9.00
6,CIN,DEF,1,1,2,-,-,-,-,17,8.00
7,CLE,DEF,1,-,-,-,-,-,-,6,8.00
8,ARI,DEF,6,-,-,1,-,-,-,26,8.00
9,NO,DEF,4,-,1,1,-,-,-,32,7.00
10,PHI,DEF,1,1,2,-,-,-,-,31,6.00
11,NYJ,DEF,3,1,-,-,-,-,-,20,6.00
12,GB,DEF,3,-,1,-,-,-,-,16,6.00
13,TEN,DEF,-,1,2,-,-,-,-,23,6.00
14,CHI,DEF,3,1,-,-,-,-,-,27,5.00
15,CAR,DEF,5,-,-,-,-,-,-,24,5.00
16,NE,DEF,2,1,-,-,-,-,-,22,4.00
17,TB,DEF,3,-,-,-,-,-,-,27,3.00
18,LAC,DEF,1,1,-,-,-,-,-,27,3.00
19,KC,DEF,1,1,-,-,-,-,-,27,3.00
20,WSH,DEF,-,1,-,-,-,-,-,20,3.00
21,ATL,DEF,3,-,-,-,-,-,-,31,2.00
22,NYG,DEF,1,-,-,-,-,-,-,20,2.00
23,LAR,DEF,2,-,-,-,-,-,-,23,2.00
24,PIT,DEF,2,-,-,-,-,-,-,27,2.00
25,MIN,DEF,1,1,-,-,-,-,-,33,2.00
26,HOU,DEF,1,-,-,-,-,-,-,27,1.00
27,LV,DEF,1,-,-,-,-,-,-,30,0.00
28,DEN,DEF,1,-,1,-,-,-,-,42,-1.00
29,JAX,DEF,1,1,-,-,-,-,-,38,-1.00
30,DET,DEF,1,-,-,1,-,-,-,46,-1.00
31,SF,DEF,2,-,-,-,-,-,-,41,-2.00
