,Name,Position,Sacks,Def INT,Fum Rec,Saf,Def TD,Def 2pt Ret,Def Ret TD,Pts Allowed,Points Total
0,KC,DEF,2,3,1,-,1,-,-,10,20.00
1,PHI,DEF,5,2,1,-,1,-,-,20,18.00
2,LAR,DEF,5,1,-,-,-,-,-,9,11.00
3,NYJ,DEF,-,3,-,-,1,-,-,37,8.00
4,IND,DEF,1,1,-,-,-,-,-,11,7.00
5,SF,DEF,3,1,-,-,-,-,-,19,6.00
6,BUF,DEF,2,-,2,-,-,-,-,23,6.00
7,DEN,DEF,6,-,-,-,-,-,-,22,6.00
8,TB,DEF,2,1,1,-,-,-,-,25,6.00
9,BAL,DEF,3,-,1,-,-,-,-,17,6.00
10,CIN,DEF,3,1,-,-,-,-,-,25,5.00
11,CLE,DEF,3,1,2,-,-,-,-,38,5.00
12,NYG,DEF,2,-,1,-,-,-,-,17,5.00
13,GB,DEF,4,-,-,-,-,-,-,16,5.00
14,SEA,DEF,1,2,-,-,-,-,-,23,5.00
15,MIN,DEF,3,-,1,-,-,-,-,23,5.00
16,LAC,DEF,-,1,-,-,1,-,-,38,4.00
17,WSH,DEF,1,2,-,-,-,-,-,31,4.00
18,NE,DEF,1,-,1,-,-,-,-,20,4.00
19,NO,DEF,3,1,-,-,-,-,-,29,4.00
20,MIA,DEF,2,1,-,-,-,-,-,31,3.00
21,CAR,DEF,1,-,1,-,-,-,-,21,3.00
22,CHI,DEF,1,-,-,-,-,-,-,19,2.00
23,JAX,DEF,1,1,-,-,-,-,-,33,2.00
24,HOU,DEF,3,-,-,-,-,-,-,31,2.00
25,ARI,DEF,-,1,-,-,-,-,-,31,1.00
26,ATL,DEF,1,-,-,-,-,-,-,30,0.00
27,DET,DEF,2,1,-,-,-,-,-,35,0.00
28,LV,DEF,1,-,-,-,-,-,-,30,0.00
29,DAL,DEF,2,-,-,-,-,-,-,49,-2.00
30,PIT,DEF,-,-,-,-,-,-,-,-,0.00
31,TEN,DEF,-,-,-,-,-,-,-,-,0.00
